date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,480.0,492.95,480.0,478.55,484.0,483.55,487.06,492.95,203.0,8372924,"4,078,085,525.90",85170
2020-12-29,EQ,485.0,489.85,478.2,483.55,482.25,483.4,484.5,492.95,203.0,5866837,"2,842,463,017.35",71303
2020-12-30,EQ,484.0,487.6,478.15,483.4,484.75,485.4,483.05,492.95,203.0,3736356,"1,804,834,489.80",53291
2020-12-31,EQ,485.4,490.8,480.25,485.4,480.75,483.75,486.21,492.95,203.0,4386328,"2,132,659,133.05",62456
2021-01-01,EQ,485.0,508.0,482.55,483.75,505.0,503.85,495.57,508.0,203.0,7815730,"3,873,234,425.90",79171
2021-01-04,EQ,507.0,510.9,495.2,503.85,498.1,498.9,501.35,510.9,203.0,9998803,"5,012,948,738.45",88263
2021-01-05,EQ,498.9,504.5,492.0,498.9,498.75,499.45,499.14,510.9,203.0,5135408,"2,563,294,993.60",57609
2021-01-06,EQ,501.8,504.95,489.5,499.45,495.0,496.8,499.09,510.9,203.0,5203982,"2,597,232,899.80",55841
2021-01-07,EQ,500.1,520.9,499.5,496.8,513.45,513.85,512.28,520.9,203.0,10295126,"5,273,986,854.40",116095
2021-01-08,EQ,520.0,527.35,514.5,513.85,516.25,517.0,521.14,527.35,203.0,7272250,"3,789,849,024.45",105599
2021-01-11,EQ,520.45,522.5,504.0,517.0,506.95,508.35,509.17,527.35,203.0,7156036,"3,643,621,094.35",112381
2021-01-12,EQ,507.0,520.65,502.55,508.35,510.7,511.25,514.38,527.35,203.0,6751375,"3,472,775,544.95",94103
2021-01-13,EQ,515.9,540.0,514.6,511.25,533.9,536.65,527.18,540.0,203.0,11045555,"5,822,948,497.45",118708
2021-01-14,EQ,537.95,542.45,530.1,536.65,534.55,536.95,536.54,542.45,203.0,6066782,"3,255,066,784.05",73956
2021-01-15,EQ,536.8,541.0,524.0,536.95,528.0,527.95,531.23,542.45,203.0,5427713,"2,883,338,254.60",72798
2021-01-18,EQ,531.0,532.3,503.8,527.95,511.1,515.5,517.81,542.45,203.0,6258367,"3,240,668,909.45",83239
2021-01-19,EQ,516.0,535.0,516.0,515.5,533.0,532.8,527.84,542.45,203.0,6694907,"3,533,860,465.95",82187
2021-01-20,EQ,529.0,562.5,529.0,532.8,556.25,558.6,550.15,562.5,203.0,14440729,"7,944,585,144.15",159124
2021-01-21,EQ,561.85,561.85,542.65,558.6,549.75,547.65,551.88,562.5,203.0,8870257,"4,895,306,507.45",117414
2021-01-22,EQ,549.5,557.5,531.7,547.65,535.0,535.8,545.45,562.5,203.0,6843849,"3,733,008,812.95",86849
2021-01-25,EQ,543.0,547.45,522.0,535.8,523.4,523.65,532.01,562.5,203.0,5816153,"3,094,242,490.10",75883
2021-01-27,EQ,528.25,536.0,512.5,523.65,516.65,518.85,523.59,562.5,203.0,8920054,"4,670,411,926.70",105470
2021-01-28,EQ,515.7,527.95,507.05,518.85,520.3,519.1,519.12,562.5,203.0,5707393,"2,962,807,750.10",72088
2021-01-29,EQ,527.55,533.1,507.1,519.1,510.0,509.7,520.22,562.5,203.0,6781488,"3,527,876,648.40",81398
2021-02-01,EQ,514.3,545.45,500.1,509.7,543.8,542.75,521.81,562.5,203.0,10259084,"5,353,254,917.15",144291
2021-02-02,EQ,548.7,554.85,540.0,542.75,553.3,550.8,547.68,562.5,203.0,7160471,"3,921,659,690.50",72629
2021-02-03,EQ,549.55,562.3,542.0,550.8,560.0,560.1,555.66,562.5,203.0,7462289,"4,146,513,325.30",73872
2021-02-04,EQ,557.9,573.4,554.05,560.1,568.7,568.4,565.59,573.4,203.0,6850462,"3,874,550,036.00",76877
2021-02-05,EQ,571.0,573.95,561.65,568.4,567.6,566.95,568.7,573.95,203.0,5586868,"3,177,237,232.50",65457
2021-02-08,EQ,572.15,594.0,571.1,566.95,583.3,582.05,583.52,594.0,203.0,8887710,"5,186,133,387.80",118318
2021-02-09,EQ,589.65,589.8,573.2,582.05,582.2,581.95,581.89,594.0,203.0,10917915,"6,353,078,363.25",110355
2021-02-10,EQ,584.75,587.0,550.5,581.95,578.4,576.85,567.22,594.0,203.0,19987392,"11,337,293,385.70",202060
2021-02-11,EQ,576.85,593.7,576.3,576.85,590.25,591.85,585.92,594.0,203.0,10595917,"6,208,310,908.15",98093
2021-02-12,EQ,592.3,621.65,586.1,591.85,611.75,616.6,606.51,621.65,203.0,24953701,"15,134,677,388.95",253089
2021-02-15,EQ,617.95,639.9,610.8,616.6,625.8,627.75,627.65,639.9,203.0,15146033,"9,506,462,378.65",184606
2021-02-16,EQ,629.8,643.5,628.05,627.75,637.4,636.55,637.44,643.5,203.0,15120148,"9,638,125,111.15",241095
2021-02-17,EQ,658.0,670.0,646.9,636.55,654.0,655.75,658.2,670.0,203.0,34868085,"22,950,189,490.75",469652
2021-02-18,EQ,660.8,670.0,649.05,655.75,664.2,664.05,659.78,670.0,203.0,13189027,"8,701,891,515.10",161477
2021-02-19,EQ,664.95,676.65,628.65,664.05,655.0,653.5,658.84,676.65,203.0,17553743,"11,565,022,396.50",219949
2021-02-22,EQ,658.8,678.5,649.0,653.5,672.0,673.8,665.66,678.5,203.0,16739107,"11,142,495,641.05",200480
2021-02-23,EQ,680.0,682.7,659.25,673.8,662.0,662.0,668.7,682.7,203.0,11247164,"7,520,940,821.50",160718
