date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,751.10,754.50,747.00,752.30,749.00,749.15,749.98,809.60,460.2,284935,"213,695,601.50",13485
2015-01-02,EQ,751.25,781.45,751.25,749.15,776.05,775.05,771.41,809.60,460.2,2080850,"1,605,197,100.50",56086
2015-01-05,EQ,779.90,787.90,772.70,775.05,774.65,775.00,778.57,809.60,460.2,1326999,"1,033,161,795.80",33728
2015-01-06,EQ,775.00,783.00,750.40,775.00,756.15,756.50,769.79,809.60,460.2,1510720,"1,162,929,862.00",33064
2015-01-07,EQ,763.40,778.35,759.25,756.50,773.10,771.70,770.69,809.60,460.2,1427667,"1,100,285,032.45",45009
2015-01-08,EQ,783.80,822.90,778.10,771.70,821.45,820.35,804.43,822.90,460.2,2769416,"2,227,810,457.10",66151
2015-01-09,EQ,828.45,829.00,804.05,820.35,810.80,812.50,813.13,829.00,460.2,1708427,"1,389,173,619.50",47902
2015-01-12,EQ,813.05,818.40,800.20,812.50,806.00,807.75,809.25,829.00,460.2,1320557,"1,068,660,249.30",25809
2015-01-13,EQ,813.00,842.45,812.10,807.75,835.00,833.85,835.42,842.45,460.2,3835281,"3,204,086,706.35",66941
2015-01-14,EQ,840.00,850.00,830.20,833.85,842.00,842.65,841.93,850.00,460.2,2320114,"1,953,377,160.15",94693
2015-01-15,EQ,849.00,850.00,833.00,842.65,838.00,839.35,840.36,850.00,460.2,1308063,"1,099,239,063.05",30388
2015-01-16,EQ,844.90,859.00,840.00,839.35,843.50,843.45,849.61,859.00,460.2,1568660,"1,332,748,994.80",43857
2015-01-19,EQ,846.00,848.00,829.55,843.45,830.50,831.90,836.39,859.00,460.2,1041563,"871,150,703.60",37673
2015-01-20,EQ,835.00,847.00,835.00,831.90,838.00,839.20,840.61,859.00,460.2,1314139,"1,104,675,882.20",39510
2015-01-21,EQ,845.00,855.90,839.20,839.20,851.00,851.30,850.10,859.00,460.2,1663391,"1,414,052,026.70",60343
2015-01-22,EQ,856.50,881.65,852.85,851.30,862.00,867.15,871.25,881.65,460.2,1995155,"1,738,274,580.00",58798
2015-01-23,EQ,870.80,879.95,860.10,867.15,860.90,862.10,866.93,881.65,460.2,1531430,"1,327,639,243.45",36730
2015-01-27,EQ,868.90,892.80,865.50,862.10,889.50,890.50,886.57,892.80,460.2,1831293,"1,623,574,404.05",51617
2015-01-28,EQ,893.05,921.00,891.05,890.50,909.00,910.25,911.08,921.00,460.2,2895714,"2,638,238,287.90",71270
2015-01-29,EQ,913.80,922.50,867.20,910.25,880.25,881.30,885.60,922.50,460.2,5326269,"4,716,926,749.40",135803
2015-01-30,EQ,888.50,888.50,854.10,881.30,858.20,857.75,861.69,922.50,460.2,3291034,"2,835,838,677.20",110106
2015-02-02,EQ,850.00,851.10,803.50,857.75,808.95,808.10,815.11,922.50,460.2,4808585,"3,919,535,947.40",139180
2015-02-03,EQ,809.80,826.50,802.00,808.10,815.50,814.70,813.39,922.50,460.2,3048559,"2,479,662,490.90",84512
2015-02-04,EQ,819.80,823.20,800.80,814.70,802.00,803.85,808.67,922.50,460.2,912365,"737,800,862.10",26400
2015-02-05,EQ,812.00,826.40,808.00,803.85,810.50,810.85,819.20,922.50,460.2,1668101,"1,366,504,063.30",40647
2015-02-06,EQ,810.00,815.00,788.80,810.85,798.05,797.65,799.87,922.50,460.2,1668283,"1,334,413,533.95",54493
2015-02-09,EQ,790.00,822.00,783.40,797.65,804.00,803.65,805.60,922.50,460.2,1910672,"1,539,235,686.80",54351
2015-02-10,EQ,801.90,829.90,799.85,803.65,825.00,822.20,820.96,922.50,460.2,2235687,"1,835,403,925.90",55739
2015-02-11,EQ,830.00,845.00,828.00,822.20,843.00,840.75,837.81,922.50,460.2,1227804,"1,028,665,270.05",34647
2015-02-12,EQ,847.00,849.90,819.35,840.75,820.00,823.75,830.58,922.50,460.2,1974102,"1,639,645,797.95",55522
2015-02-13,EQ,824.35,834.95,815.05,823.75,825.45,826.75,826.21,922.50,460.2,1323475,"1,093,468,541.70",37442
2015-02-16,EQ,834.00,842.50,818.00,826.75,834.85,834.15,830.42,922.50,460.2,1584956,"1,316,178,944.10",58392
2015-02-18,EQ,839.10,842.00,819.70,834.15,821.95,821.05,826.79,922.50,460.2,1448399,"1,197,519,875.75",30769
2015-02-19,EQ,826.00,838.00,826.00,821.05,832.90,834.10,832.17,922.50,460.2,1216904,"1,012,669,227.00",34270
2015-02-20,EQ,834.25,836.10,823.20,834.10,825.00,825.70,829.39,922.50,460.2,699111,"579,835,386.75",31907
2015-02-23,EQ,829.50,833.00,806.10,825.70,809.40,809.60,819.75,922.50,464.05,1434240,"1,175,712,489.80",34633
2015-02-24,EQ,810.00,813.50,798.00,809.60,799.90,799.55,804.35,922.50,464.05,1141027,"917,781,762.95",38154
2015-02-25,EQ,805.20,816.00,805.00,799.55,813.85,813.85,810.74,922.50,464.05,1537365,"1,246,400,289.35",59203
