date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,614.0,620.8,614.0,610.2,617.25,617.65,618.16,765.85,286.0,8444506,"5,220,024,663.35",113588
2020-12-29,EQ,620.7,632.4,618.6,617.65,630.4,630.2,627.14,765.85,286.0,13765454,"8,632,918,951.70",164055
2020-12-30,EQ,632.25,634.0,618.2,630.2,623.6,625.1,624.41,765.85,286.0,10262221,"6,407,811,682.50",123098
2020-12-31,EQ,622.4,625.95,616.0,625.1,619.0,620.45,620.51,765.85,286.0,12306502,"7,636,264,236.20",135320
2021-01-01,EQ,620.25,625.45,617.55,620.45,623.4,623.8,622.15,765.85,286.0,6047062,"3,762,202,336.05",84795
2021-01-04,EQ,627.8,633.0,621.3,623.8,625.75,624.7,626.37,760.7,286.0,14068156,"8,811,802,334.35",140952
2021-01-05,EQ,618.0,667.9,618.0,624.7,664.15,664.45,649.82,760.7,286.0,37973963,"24,676,368,295.35",393175
2021-01-06,EQ,662.0,667.15,649.15,664.45,651.55,654.25,659.35,760.7,286.0,20829645,"13,733,935,601.45",232735
2021-01-07,EQ,659.0,676.5,659.0,654.25,670.1,671.1,668.78,760.7,286.0,17887570,"11,962,937,455.30",203566
2021-01-08,EQ,678.0,678.85,668.5,671.1,672.95,672.7,673.19,760.7,286.0,12272794,"8,261,904,693.35",136289
2021-01-11,EQ,676.0,676.65,660.15,672.7,666.9,666.95,665.41,760.7,286.0,7928365,"5,275,574,045.15",103383
2021-01-12,EQ,661.3,685.0,659.25,666.95,674.9,675.7,673.93,760.7,286.0,13301893,"8,964,522,024.75",189900
2021-01-13,EQ,676.0,691.2,669.05,675.7,686.05,687.8,682.48,760.7,286.0,15645903,"10,678,066,334.40",202987
2021-01-14,EQ,678.5,687.8,674.65,687.8,676.5,676.0,680.9,760.7,286.0,9337503,"6,357,912,520.80",184285
2021-01-15,EQ,677.6,682.95,669.6,676.0,674.75,674.85,675.83,760.7,286.0,12339771,"8,339,541,605.35",160977
2021-01-18,EQ,674.45,675.0,651.15,674.85,652.0,657.0,665.06,760.7,286.0,13460603,"8,952,081,143.45",171985
2021-01-19,EQ,663.55,671.95,659.75,657.0,670.5,668.75,667.4,760.7,286.0,9010539,"6,013,607,646.10",129722
2021-01-20,EQ,664.0,680.95,664.0,668.75,673.7,675.75,675.49,760.7,286.0,9980614,"6,741,758,864.70",123196
2021-01-21,EQ,680.75,695.0,669.75,675.75,678.0,675.85,686.3,760.7,286.0,15849438,"10,877,425,900.25",239767
2021-01-22,EQ,670.0,673.9,638.8,675.85,645.55,644.5,650.47,760.7,286.0,21392223,"13,915,078,756.15",312423
2021-01-25,EQ,654.0,668.0,639.35,644.5,658.0,658.4,659.39,760.7,286.0,21325345,"14,061,700,824.65",236342
2021-01-27,EQ,659.95,663.8,627.4,658.4,633.55,632.1,641.63,760.7,286.0,24462588,"15,695,921,081.70",374828
2021-01-28,EQ,622.0,674.7,616.0,632.1,667.1,670.7,651.91,760.7,286.0,64303975,"41,920,707,655.45",573501
2021-01-29,EQ,671.0,675.85,653.0,670.7,666.45,662.9,663.09,760.7,286.0,31273252,"20,737,032,240.10",350863
2021-02-01,EQ,665.0,717.0,654.35,662.9,714.0,709.35,686.12,760.7,286.0,30648270,"21,028,286,417.85",420444
2021-02-02,EQ,719.25,744.95,704.2,709.35,718.5,714.2,722.7,760.7,286.0,28703320,"20,743,799,698.15",336082
2021-02-03,EQ,720.0,736.8,715.55,714.2,731.3,733.8,729.55,760.7,286.0,23541361,"17,174,646,770.05",367908
2021-02-04,EQ,730.0,745.5,720.6,733.8,743.6,743.9,734.67,760.7,286.0,20490289,"15,053,511,744.55",451426
2021-02-05,EQ,749.0,766.3,717.0,743.9,722.65,719.6,741.96,766.3,286.0,31121503,"23,091,053,159.85",381780
2021-02-08,EQ,726.0,747.8,726.0,719.6,735.75,736.15,739.35,766.3,286.0,15662890,"11,580,313,302.60",279438
2021-02-09,EQ,735.75,750.0,726.2,736.15,740.0,742.5,740.18,766.3,286.0,22307807,"16,511,879,845.75",214724
2021-02-10,EQ,741.55,746.4,726.1,742.5,737.0,734.8,733.3,766.3,286.0,15140744,"11,102,710,404.15",218238
2021-02-11,EQ,731.0,744.15,731.0,734.8,740.55,740.1,738.91,766.3,286.0,11897710,"8,791,308,260.75",179789
2021-02-12,EQ,735.5,754.7,734.55,740.1,749.9,750.4,746.92,766.3,286.0,15668442,"11,703,070,189.85",208754
2021-02-15,EQ,759.9,799.0,753.9,750.4,797.0,794.0,777.14,799.0,286.0,20648115,"16,046,533,454.75",305990
2021-02-16,EQ,799.0,799.0,767.0,794.0,776.55,775.05,779.33,799.0,286.0,23968943,"18,679,632,179.65",469034
2021-02-17,EQ,774.0,785.0,764.3,775.05,775.5,777.75,776.04,799.0,286.0,16956357,"13,158,894,709.05",213111
2021-02-18,EQ,775.0,782.0,764.0,777.75,775.9,777.0,774.1,799.0,286.0,19685663,"15,238,630,654.80",213912
2021-02-19,EQ,772.9,777.2,741.35,777.0,750.6,749.65,761.1,799.0,286.0,15634787,"11,899,615,677.35",237598
2021-02-22,EQ,749.65,749.85,715.0,749.65,720.5,719.45,729.24,799.0,286.0,18123202,"13,216,169,445.80",246940
2021-02-23,EQ,732.35,734.95,712.6,719.45,718.0,715.95,723.36,799.0,286.0,16804763,"12,155,823,546.10",209036
2021-02-24,EQ,722.0,754.9,717.05,715.95,752.8,749.4,733.8,799.0,286.0,11207286,"8,223,949,091.65",138731
2021-02-25,EQ,765.0,783.5,762.15,749.4,769.0,770.65,774.88,799.0,286.0,26635119,"20,639,063,649.95",367784
2021-02-26,EQ,746.0,758.7,718.65,770.65,725.35,724.8,735.47,799.0,286.0,31306177,"23,024,807,933.40",359614
2021-03-01,EQ,738.0,743.5,722.25,724.8,730.45,728.55,732.35,799.0,286.0,14301187,"10,473,445,936.95",206937
2021-03-02,EQ,730.45,740.5,722.0,728.55,730.85,731.25,730.29,799.0,286.0,14503453,"10,591,763,865.15",184648
2021-03-03,EQ,740.5,760.8,735.1,731.25,751.9,753.95,750.05,799.0,286.0,13603791,"10,203,508,442.55",194215
2021-03-04,EQ,731.1,751.45,731.1,753.95,737.0,736.8,740.1,799.0,286.0,16896947,"12,505,418,411.35",189661
2021-03-05,EQ,732.0,744.1,720.5,736.8,734.5,730.75,732.57,799.0,286.0,16358252,"11,983,639,389.60",208331
2021-03-08,EQ,735.0,752.5,732.0,730.75,745.0,743.3,744.17,799.0,286.0,13898556,"10,342,892,342.15",177509
2021-03-09,EQ,758.7,758.7,740.0,743.3,744.6,745.45,748.48,799.0,286.0,18951683,"14,185,043,296.30",276230
2021-03-10,EQ,750.5,765.7,749.15,745.45,759.2,760.75,757.88,799.0,286.0,13377990,"10,138,855,902.25",174204
2021-03-12,EQ,772.6,776.6,745.0,760.75,749.05,750.6,760.49,799.0,286.0,16343307,"12,428,997,180.05",215516
2021-03-15,EQ,754.0,754.0,716.65,750.6,745.6,744.4,730.61,799.0,286.0,22466579,"16,414,378,237.40",290544
2021-03-16,EQ,751.0,752.0,735.95,744.4,737.55,737.75,741.69,799.0,286.0,11358574,"8,424,547,086.75",165289
2021-03-17,EQ,739.0,742.0,724.7,737.75,724.75,727.9,733.52,799.0,286.0,12380976,"9,081,707,767.20",154842
2021-03-18,EQ,736.0,743.1,707.25,727.9,718.35,718.75,724.7,799.0,286.0,12261544,"8,885,887,499.35",171073
2021-03-19,EQ,709.0,729.35,703.5,718.75,725.2,726.25,716.43,799.0,286.0,20377672,"14,599,143,328.90",246094
2021-03-22,EQ,719.0,730.0,709.3,726.25,717.0,716.2,717.52,799.0,286.0,14802230,"10,620,926,145.35",180771
2021-03-23,EQ,718.0,739.5,714.1,716.2,730.95,730.55,726.01,799.0,286.0,15949688,"11,579,576,663.10",232682
