date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"2,431.00","2,458.30","2,428.45","2,432.45","2,457.75","2,452.15","2,446.07","2,695.00","1,793.20",72928,"178,387,129.15",5234
2015-01-02,EQ,"2,457.00","2,476.40","2,432.00","2,452.15","2,446.00","2,451.75","2,452.07","2,695.00","1,793.20",164726,"403,919,700.45",10233
2015-01-05,EQ,"2,452.00","2,481.20","2,450.00","2,451.75","2,459.00","2,460.70","2,465.39","2,695.00","1,793.20",118873,"293,068,093.65",9881
2015-01-06,EQ,"2,454.30","2,469.90","2,430.00","2,460.70","2,445.00","2,441.50","2,442.89","2,695.00","1,793.20",580496,"1,418,088,576.15",12981
2015-01-07,EQ,"2,442.00","2,475.60","2,432.05","2,441.50","2,446.00","2,447.20","2,452.70","2,695.00","1,793.20",189191,"464,029,078.95",14913
2015-01-08,EQ,"2,447.65","2,465.00","2,436.10","2,447.20","2,448.00","2,450.40","2,449.91","2,695.00","1,793.20",4301348,"10,537,923,776.95",32264
2015-01-09,EQ,"2,455.00","2,468.90","2,350.00","2,450.40","2,375.00","2,375.85","2,395.83","2,695.00","1,793.20",245974,"589,311,978.20",17920
2015-01-12,EQ,"2,385.00","2,396.00","2,323.10","2,375.85","2,336.10","2,334.00","2,342.02","2,695.00","1,793.20",203022,"475,481,577.50",13417
2015-01-13,EQ,"2,340.00","2,355.15","2,313.80","2,334.00","2,326.45","2,324.10","2,332.46","2,695.00","1,793.20",161658,"377,061,245.60",10780
2015-01-14,EQ,"2,318.30","2,369.90","2,318.30","2,324.10","2,365.10","2,363.45","2,356.22","2,695.00","1,793.20",217775,"513,126,354.75",12160
2015-01-15,EQ,"2,380.10","2,437.35","2,357.75","2,363.45","2,415.00","2,417.95","2,408.76","2,695.00","1,793.20",726566,"1,750,119,954.05",39156
2015-01-16,EQ,"2,420.00","2,442.00","2,393.80","2,417.95","2,415.00","2,420.15","2,416.82","2,695.00","1,793.20",270014,"652,574,754.15",22161
2015-01-19,EQ,"2,420.10","2,420.10","2,399.50","2,420.15","2,404.95","2,403.90","2,407.21","2,695.00","1,793.20",368777,"887,724,098.50",8149
2015-01-20,EQ,"2,407.00","2,417.60","2,375.25","2,403.90","2,396.30","2,404.25","2,399.22","2,695.00","1,793.20",197434,"473,687,540.60",17433
2015-01-21,EQ,"2,420.00","2,456.50","2,399.45","2,404.25","2,454.00","2,446.65","2,434.61","2,695.00","1,793.20",201858,"491,445,806.65",12148
2015-01-22,EQ,"2,455.25","2,491.25","2,438.10","2,446.65","2,444.80","2,444.30","2,453.53","2,695.00","1,793.20",748394,"1,836,209,963.70",18367
2015-01-23,EQ,"2,470.90","2,474.00","2,420.00","2,444.30","2,437.80","2,441.50","2,445.30","2,695.00","1,793.20",356732,"872,317,421.55",22736
2015-01-27,EQ,"2,428.20","2,439.95","2,387.25","2,441.50","2,418.00","2,419.85","2,405.16","2,695.00","1,793.20",507659,"1,221,002,886.00",32083
