date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,"9,064.65","9,115.00","8,965.00","8,992.55","8,986.70","8,995.05","9,035.67","9,950.00","3,985.30",344994,"3,117,250,457.90",36833
2020-12-29,EQ,"9,040.10","9,056.10","8,897.45","8,995.05","8,980.00","8,976.05","8,978.21","9,950.00","3,985.30",406601,"3,650,551,162.60",38836
2020-12-30,EQ,"9,000.00","9,020.95","8,921.00","8,976.05","8,954.00","8,961.70","8,971.45","9,950.00","3,985.30",491074,"4,405,647,097.65",42488
2020-12-31,EQ,"8,949.00","9,030.00","8,840.00","8,961.70","8,885.40","8,906.35","8,930.62","9,950.00","3,985.30",476050,"4,251,420,019.05",39943
2021-01-01,EQ,"8,930.00","8,958.70","8,840.00","8,906.35","8,870.20","8,870.45","8,900.40","9,950.00","3,985.30",288101,"2,564,215,465.20",23360
2021-01-04,EQ,"8,940.00","9,065.00","8,841.75","8,870.45","8,915.00","8,898.75","8,927.99","9,950.00","3,985.30",613306,"5,475,591,985.60",49888
2021-01-05,EQ,"8,900.05","8,920.00","8,736.95","8,898.75","8,833.50","8,820.85","8,816.62","9,950.00","3,985.30",486214,"4,286,764,893.90",50203
2021-01-06,EQ,"8,900.00","8,900.00","8,636.00","8,820.85","8,774.95","8,786.35","8,749.16","9,950.00","3,985.30",599193,"5,242,437,179.50",60429
2021-01-07,EQ,"8,820.00","9,069.00","8,812.00","8,786.35","8,970.05","8,988.00","8,958.00","9,950.00","3,985.30",601648,"5,389,563,901.65",54053
2021-01-08,EQ,"9,036.00","9,265.00","8,948.00","8,988.00","9,166.00","9,171.60","9,145.89","9,950.00","3,985.30",824261,"7,538,600,104.70",68802
2021-01-11,EQ,"9,201.00","9,262.00","8,955.00","9,171.60","9,004.00","8,986.10","9,068.29","9,950.00","3,985.30",542444,"4,919,041,222.00",48441
2021-01-12,EQ,"9,004.00","9,069.90","8,922.50","8,986.10","8,950.00","8,959.00","8,988.27","9,950.00","3,985.30",577045,"5,186,636,464.60",46888
2021-01-13,EQ,"9,004.80","9,030.00","8,710.15","8,959.00","8,784.65","8,793.65","8,856.10","9,950.00","3,985.30",514078,"4,552,726,742.25",47300
2021-01-14,EQ,"8,814.00","8,929.95","8,675.00","8,793.65","8,761.00","8,747.35","8,779.24","9,950.00","3,985.30",568437,"4,990,445,529.15",61345
2021-01-15,EQ,"8,754.80","8,826.20","8,610.00","8,747.35","8,630.00","8,636.10","8,703.75","9,950.00","3,985.30",519651,"4,522,914,238.90",52056
2021-01-18,EQ,"8,636.10","8,636.10","8,273.70","8,636.10","8,350.95","8,354.60","8,395.89","9,950.00","3,985.30",634436,"5,326,655,333.15",68153
2021-01-19,EQ,"8,400.00","8,978.00","8,400.00","8,354.60","8,919.00","8,924.15","8,787.14","9,950.00","3,985.30",1379718,"12,123,777,808.15",105784
2021-01-20,EQ,"8,938.00","9,025.00","8,838.00","8,924.15","8,934.90","8,938.25","8,950.74","9,950.00","3,985.30",786496,"7,039,725,045.90",72645
2021-01-21,EQ,"8,995.00","9,388.85","8,950.50","8,938.25","9,063.00","9,052.80","9,241.60","9,950.00","3,985.30",1645377,"15,205,922,205.90",142622
2021-01-22,EQ,"9,070.00","9,213.50","8,965.20","9,052.80","9,053.00","9,071.00","9,086.37","9,950.00","3,985.30",839822,"7,630,931,143.70",76812
2021-01-25,EQ,"9,144.00","9,344.90","9,080.00","9,071.00","9,190.00","9,198.90","9,216.03","9,950.00","3,985.30",781122,"7,198,845,470.80",77012
2021-01-27,EQ,"9,165.00","9,284.95","9,042.05","9,198.90","9,099.20","9,126.10","9,160.23","9,950.00","3,985.30",616631,"5,648,481,903.90",68285
2021-01-28,EQ,"9,020.00","9,215.25","8,817.60","9,126.10","8,932.00","8,955.30","9,000.96","9,950.00","3,985.30",844736,"7,603,433,362.00",80479
2021-01-29,EQ,"9,041.95","9,109.35","8,675.55","8,955.30","8,718.60","8,722.75","8,932.07","9,950.00","3,985.30",727352,"6,496,762,466.45",69955
2021-02-01,EQ,"8,750.00","9,838.90","8,638.00","8,722.75","9,740.00","9,721.80","9,296.79","9,840.95","3,985.30",1565365,"14,552,862,242.00",144130
2021-02-02,EQ,"9,827.70","9,990.00","9,315.00","9,721.80","9,505.00","9,476.30","9,613.89","9,990.00","3,985.30",1394390,"13,405,505,925.00",135676
2021-02-03,EQ,"9,561.60","9,639.30","9,435.35","9,476.30","9,555.00","9,536.05","9,512.18","9,990.00","3,985.30",623545,"5,931,271,603.90",55559
2021-02-04,EQ,"9,510.00","9,760.00","9,470.50","9,536.05","9,708.00","9,700.55","9,643.02","9,990.00","3,985.30",604727,"5,831,395,657.95",71531
2021-02-05,EQ,"9,780.00","9,940.00","9,556.00","9,700.55","9,705.00","9,722.20","9,738.97","9,990.00","3,985.30",922561,"8,984,790,613.45",82958
2021-02-08,EQ,"9,750.00","10,110.00","9,738.05","9,722.20","10,068.45","10,021.05","9,971.57","10,110.00","3,985.30",985855,"9,830,522,550.05",109921
2021-02-09,EQ,"10,067.00","10,068.00","9,882.00","10,021.05","9,918.00","9,941.65","9,964.07","10,110.00","3,985.30",512607,"5,107,652,284.25",61486
2021-02-10,EQ,"9,901.00","10,354.60","9,901.00","9,941.65","10,215.15","10,227.95","10,205.70","10,354.60","3,985.30",1430667,"14,600,961,005.60",145592
2021-02-11,EQ,"10,105.00","10,417.90","10,105.00","10,227.95","10,220.05","10,216.65","10,275.38","10,417.90","3,985.30",715538,"7,352,428,354.25",58617
2021-02-12,EQ,"10,250.00","10,331.15","10,168.00","10,216.65","10,300.00","10,278.80","10,236.92","10,417.90","3,985.30",380285,"3,892,947,648.40",38095
2021-02-15,EQ,"10,330.20","10,579.00","10,280.00","10,278.80","10,500.00","10,537.70","10,486.75","10,579.00","3,985.30",536406,"5,625,157,441.10",50301
2021-02-16,EQ,"10,500.00","10,532.00","10,361.00","10,537.70","10,460.00","10,460.60","10,444.86","10,579.00","3,985.30",358604,"3,745,569,816.70",34451
2021-02-17,EQ,"10,420.00","10,498.80","10,112.20","10,460.60","10,195.00","10,185.65","10,260.60","10,579.00","3,985.30",582259,"5,974,324,936.55",57424
2021-02-18,EQ,"10,310.00","10,310.00","10,135.00","10,185.65","10,200.00","10,198.95","10,195.83","10,579.00","3,985.30",434741,"4,432,545,757.00",48601
2021-02-19,EQ,"10,150.00","10,427.65","10,140.00","10,198.95","10,237.95","10,250.45","10,247.84","10,579.00","3,985.30",623343,"6,387,922,119.35",52771
2021-02-22,EQ,"10,230.00","10,249.20","9,960.15","10,250.45","9,984.80","10,000.60","10,104.83","10,579.00","3,985.30",426908,"4,313,831,132.05",44332
2021-02-23,EQ,"10,051.00","10,195.00","9,929.15","10,000.60","10,008.60","10,008.65","10,057.26","10,579.00","3,985.30",342610,"3,445,718,106.00",44432
2021-02-24,EQ,"10,030.00","10,250.00","10,015.05","10,008.65","10,201.00","10,199.60","10,124.46","10,579.00","3,985.30",269976,"2,733,362,366.65",32454
2021-02-25,EQ,"10,340.00","10,377.95","10,131.60","10,199.60","10,234.00","10,264.45","10,275.00","10,579.00","3,985.30",354802,"3,645,591,402.75",39408
