date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"3,483.95","3,520.00","3,465.00","3,483.95","3,465.00","3,499.70","3,502.80","3,535.95","1,460.00",7566,"26,502,185.75",1118
2015-01-02,EQ,"3,490.00","3,520.00","3,416.20","3,499.70","3,448.00","3,443.75","3,495.99","3,535.95","1,460.00",14043,"49,094,121.65",1449
2015-01-05,EQ,"3,465.00","3,520.00","3,411.00","3,443.75","3,440.00","3,434.75","3,455.17","3,535.95","1,460.00",14462,"49,968,619.75",1396
2015-01-06,EQ,"3,450.00","3,485.00","3,392.20","3,434.75","3,425.00","3,425.85","3,437.68","3,535.95","1,460.00",13781,"47,374,628.60",2105
2015-01-07,EQ,"3,403.75","3,517.95","3,403.75","3,425.85","3,491.15","3,495.60","3,477.11","3,535.95","1,460.00",10947,"38,063,913.10",1655
2015-01-08,EQ,"3,465.50","3,518.80","3,465.50","3,495.60","3,481.00","3,489.65","3,492.24","3,535.95","1,460.00",9686,"33,825,823.05",1330
2015-01-09,EQ,"3,481.00","3,512.05","3,441.00","3,489.65","3,441.40","3,450.05","3,461.24","3,535.95","1,460.00",17316,"59,934,754.25",2232
2015-01-12,EQ,"3,450.05","3,510.00","3,398.50","3,450.05","3,451.20","3,438.20","3,447.19","3,535.95","1,460.00",11774,"40,587,250.35",1874
2015-01-13,EQ,"3,440.10","3,509.75","3,423.05","3,438.20","3,473.10","3,483.00","3,468.23","3,535.95","1,460.00",14192,"49,221,138.95",1407
2015-01-14,EQ,"3,499.85","4,138.00","3,477.70","3,483.00","3,750.00","3,773.95","3,820.91","4,138.00","1,460.00",417593,"1,595,583,186.80",46749
2015-01-15,EQ,"3,838.00","3,984.70","3,825.00","3,773.95","3,850.00","3,860.20","3,898.17","4,138.00","1,460.00",122320,"476,824,515.80",15835
2015-01-16,EQ,"3,858.00","3,979.00","3,802.25","3,860.20","3,936.00","3,937.80","3,915.76","4,138.00","1,460.00",50862,"199,163,321.25",7064
2015-01-19,EQ,"3,941.85","3,980.00","3,884.40","3,937.80","3,899.50","3,901.75","3,933.26","4,138.00","1,460.00",39899,"156,933,336.30",5603
2015-01-20,EQ,"3,935.00","3,940.20","3,895.00","3,901.75","3,900.00","3,904.75","3,919.95","4,138.00","1,460.00",18676,"73,208,968.65",3124
2015-01-21,EQ,"3,930.70","3,934.00","3,800.10","3,904.75","3,814.00","3,817.40","3,829.22","4,138.00","1,460.00",56574,"216,634,115.70",4347
2015-01-22,EQ,"3,844.50","3,890.00","3,806.00","3,817.40","3,826.00","3,840.65","3,846.14","4,138.00","1,460.00",12171,"46,811,393.20",3076
2015-01-23,EQ,"3,896.80","3,896.80","3,821.00","3,840.65","3,870.00","3,870.15","3,862.58","4,138.00","1,460.00",42418,"163,842,927.55",2801
2015-01-27,EQ,"3,884.50","4,325.00","3,860.05","3,870.15","4,152.20","4,169.55","4,154.29","4,325.00","1,460.00",115995,"481,877,106.05",14591
2015-01-28,EQ,"4,214.00","4,492.40","4,181.00","4,169.55","4,280.00","4,322.60","4,402.29","4,492.40","1,460.00",139405,"613,700,546.30",14342
2015-01-29,EQ,"4,331.70","4,344.95","4,110.25","4,322.60","4,120.00","4,128.40","4,185.14","4,492.40","1,460.00",40716,"170,402,300.40",6808
2015-01-30,EQ,"4,189.00","4,260.25","4,010.10","4,128.40","4,044.00","4,050.55","4,081.23","4,492.40","1,460.00",58987,"240,739,348.70",6093
2015-02-02,EQ,"4,099.00","4,229.95","4,018.95","4,050.55","4,150.50","4,160.10","4,168.90","4,492.40","1,460.00",37656,"156,984,069.25",5535
2015-02-03,EQ,"4,199.50","4,255.00","4,140.00","4,160.10","4,175.00","4,172.30","4,188.59","4,492.40","1,460.00",21049,"88,165,555.75",3173
2015-02-04,EQ,"4,199.85","4,210.00","4,054.30","4,172.30","4,210.00","4,107.20","4,098.58","4,492.40","1,460.00",28677,"117,535,003.10",2260
2015-02-05,EQ,"4,148.45","4,220.00","4,055.10","4,107.20","4,100.00","4,130.50","4,087.60","4,492.40","1,460.00",38473,"157,262,288.60",1814
2015-02-06,EQ,"4,130.50","4,135.00","3,971.00","4,130.50","4,019.00","4,042.50","4,039.57","4,492.40","1,460.00",33431,"135,046,776.30",3808
2015-02-09,EQ,"4,042.50","4,050.00","3,965.00","4,042.50","4,034.00","4,007.00","4,013.53","4,492.40","1,460.00",9806,"39,356,705.35",1438
2015-02-10,EQ,"4,031.00","4,050.00","3,966.90","4,007.00","4,004.00","4,003.80","4,008.47","4,492.40","1,460.00",17287,"69,294,395.75",1840
2015-02-11,EQ,"4,048.00","4,142.00","4,005.55","4,003.80","4,130.00","4,112.35","4,056.84","4,492.40","1,460.00",25034,"101,558,863.05",3891
2015-02-12,EQ,"4,120.00","4,162.20","4,064.05","4,112.35","4,142.00","4,126.25","4,121.07","4,492.40","1,460.00",19007,"78,329,122.40",3722
2015-02-13,EQ,"4,086.00","4,205.00","4,086.00","4,126.25","4,175.00","4,184.40","4,166.53","4,492.40","1,460.00",10420,"43,415,282.85",1607
2015-02-16,EQ,"4,398.85","4,398.85","4,184.40","4,184.40","4,310.00","4,306.25","4,315.79","4,492.40","1,475.05",33744,"145,632,007.65",3646
2015-02-18,EQ,"4,388.00","4,388.00","4,206.55","4,306.25","4,320.10","4,319.00","4,288.87","4,492.40","1,475.05",29201,"125,239,246.55",4698
2015-02-19,EQ,"4,322.05","4,328.85","4,201.00","4,319.00","4,287.35","4,309.45","4,281.99","4,492.40","1,475.05",28022,"119,989,842.90",2728
2015-02-20,EQ,"4,290.05","4,291.05","4,130.00","4,309.45","4,168.00","4,191.20","4,203.48","4,492.40","1,475.05",57214,"240,498,094.15",6646
2015-02-23,EQ,"4,160.00","4,250.00","4,137.35","4,191.20","4,140.00","4,162.55","4,204.93","4,492.40","1,512.00",11332,"47,650,228.50",1380
2015-02-24,EQ,"4,182.75","4,190.00","4,100.05","4,162.55","4,116.00","4,120.35","4,122.73","4,492.40","1,512.00",17074,"70,391,426.95",3663
2015-02-25,EQ,"4,156.60","4,190.00","4,060.00","4,120.35","4,082.45","4,081.50","4,082.51","4,492.40","1,512.00",56696,"231,462,151.55",4367
2015-02-26,EQ,"4,097.00","4,158.90","4,070.00","4,081.50","4,070.00","4,096.85","4,112.31","4,492.40","1,512.00",19052,"78,347,657.00",1637
2015-02-27,EQ,"4,110.05","4,159.90","4,061.05","4,096.85","4,100.50","4,107.10","4,093.31","4,492.40","1,512.00",28081,"114,944,314.70",4203
2015-02-28,EQ,"4,133.00","4,467.00","4,101.00","4,107.10","4,375.00","4,384.95","4,299.30","4,492.40","1,512.00",54319,"233,533,928.25",5908
2015-03-02,EQ,"4,390.50","4,444.00","4,263.35","4,384.95","4,351.50","4,371.35","4,384.16","4,492.40","1,550.00",41684,"182,749,250.20",5165
2015-03-03,EQ,"4,425.00","4,477.00","4,295.00","4,371.35","4,315.00","4,329.90","4,369.77","4,492.40","1,550.00",27537,"120,330,273.90",3044
