date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,520.1,527.0,516.6,517.3,521.5,521.6,522.37,612.0,361.75,12882390,"6,729,343,198.60",134281
2020-12-29,EQ,523.0,524.95,515.1,521.6,520.65,520.25,520.49,612.0,361.75,11246474,"5,853,727,837.45",132122
2020-12-30,EQ,523.4,523.4,513.3,520.25,516.0,516.15,516.11,612.0,361.75,10494434,"5,416,322,835.70",140094
2020-12-31,EQ,517.1,518.45,506.3,516.15,509.5,509.7,511.71,612.0,361.75,15524994,"7,944,285,299.80",160584
2021-01-01,EQ,512.25,516.4,508.2,509.7,515.0,515.15,511.92,612.0,361.75,10185843,"5,214,358,970.20",115803
2021-01-04,EQ,517.0,520.5,511.6,515.15,517.05,517.1,516.17,612.0,361.75,13240524,"6,834,336,261.05",206776
2021-01-05,EQ,514.0,516.9,511.1,517.1,513.55,514.0,514.07,612.0,361.75,10492428,"5,393,846,628.05",113527
2021-01-06,EQ,515.0,531.75,513.1,514.0,528.2,525.3,525.27,612.0,361.75,30269288,"15,899,469,920.65",268788
2021-01-07,EQ,532.0,554.45,527.1,525.3,544.15,545.25,544.18,612.0,361.75,38717913,"21,069,520,839.00",334312
2021-01-08,EQ,549.3,549.75,537.3,545.25,540.0,540.25,542.82,612.0,361.75,14270435,"7,746,345,547.15",125210
2021-01-11,EQ,541.5,554.35,541.5,540.25,546.2,547.15,548.55,612.0,361.75,19525604,"10,710,819,559.15",158909
2021-01-12,EQ,549.0,569.0,545.0,547.15,568.75,565.75,559.81,612.0,361.75,25380555,"14,208,170,262.65",247319
2021-01-13,EQ,588.0,601.7,567.0,565.75,576.3,578.25,586.01,612.0,361.75,83668562,"49,030,253,523.35",691695
2021-01-14,EQ,582.7,584.8,570.05,578.25,579.3,580.55,578.26,612.0,361.75,16661518,"9,634,652,219.65",249335
2021-01-15,EQ,609.55,610.65,593.8,580.55,603.5,602.65,601.78,612.0,361.75,56392307,"33,935,785,593.70",510948
2021-01-18,EQ,602.65,603.0,584.0,602.65,584.5,586.95,593.11,612.0,361.75,20965905,"12,435,110,814.50",248064
2021-01-19,EQ,591.1,597.45,586.5,586.95,591.45,592.3,593.22,612.0,361.75,10830923,"6,425,133,731.95",113605
2021-01-20,EQ,592.3,602.5,589.0,592.3,596.3,596.15,596.29,612.0,361.75,13087294,"7,803,883,836.05",143148
2021-01-21,EQ,600.25,604.05,574.4,596.15,585.15,581.35,590.56,612.0,361.75,17060331,"10,075,227,013.30",181028
2021-01-22,EQ,583.9,585.55,572.75,581.35,578.5,576.85,579.63,612.0,361.75,12429589,"7,204,623,788.75",166361
2021-01-25,EQ,579.0,587.85,569.55,576.85,579.35,580.75,580.67,612.0,361.75,12273498,"7,126,808,101.15",138024
2021-01-27,EQ,580.0,581.75,562.35,580.75,570.9,570.8,573.12,612.0,361.75,15280757,"8,757,731,200.35",195096
2021-01-28,EQ,566.5,575.85,562.75,570.8,572.4,570.9,569.72,612.0,361.75,14921448,"8,501,091,969.60",170888
2021-01-29,EQ,578.5,578.5,550.6,570.9,552.25,553.6,560.51,612.0,361.75,25051621,"14,041,671,850.95",254371
2021-02-01,EQ,559.0,581.1,549.2,553.6,580.0,579.15,566.42,612.0,361.75,13951025,"7,902,180,559.90",189069
2021-02-02,EQ,584.9,605.65,579.25,579.15,600.8,599.35,593.59,612.0,361.75,21311866,"12,650,443,192.75",220843
2021-02-03,EQ,609.4,622.5,599.45,599.35,611.9,608.85,613.31,622.5,361.75,30076561,"18,446,303,550.75",302042
2021-02-04,EQ,614.9,623.0,595.65,608.85,599.8,600.6,605.85,623.0,361.75,51018799,"30,909,763,017.35",480812
2021-02-05,EQ,603.8,605.9,576.25,600.6,584.2,581.1,585.16,623.0,361.75,34811620,"20,370,367,177.90",372792
2021-02-08,EQ,589.0,603.65,584.7,581.1,597.25,597.3,596.42,623.0,361.75,21247165,"12,672,304,481.95",253809
2021-02-09,EQ,598.9,607.75,595.0,597.3,601.0,598.95,601.64,623.0,361.75,20541765,"12,358,751,758.80",240538
2021-02-10,EQ,604.95,607.75,580.25,598.95,589.3,590.2,590.97,623.0,361.75,31059522,"18,355,259,542.95",314607
2021-02-11,EQ,592.0,603.55,589.0,590.2,594.55,598.1,598.59,623.0,361.75,18898771,"11,312,566,134.30",234354
2021-02-12,EQ,597.85,597.85,584.6,598.1,585.9,586.25,590.92,623.0,361.75,15611939,"9,225,345,868.75",156237
2021-02-15,EQ,592.1,603.0,590.0,586.25,593.55,593.7,597.31,623.0,361.75,17641523,"10,537,397,427.30",196034
2021-02-16,EQ,595.0,601.6,593.0,593.7,593.45,593.95,597.29,623.0,361.75,14787224,"8,832,271,405.35",137273
2021-02-17,EQ,596.95,598.8,590.05,593.95,598.0,593.85,594.02,623.0,361.75,16133750,"9,583,719,253.85",148002
2021-02-18,EQ,597.0,598.0,585.2,593.85,589.25,589.05,591.31,623.0,361.75,21784559,"12,881,387,332.95",225068
2021-02-19,EQ,590.0,596.0,575.5,589.05,581.5,581.35,587.31,623.0,361.75,19106404,"11,221,300,798.50",231192
2021-02-22,EQ,582.0,584.9,568.0,581.35,569.0,570.3,577.72,623.0,361.75,19854892,"11,470,577,067.50",205271
2021-02-23,EQ,575.0,577.0,564.0,570.3,567.0,565.55,571.18,623.0,361.75,23326447,"13,323,679,974.90",246360
2021-02-24,EQ,568.1,574.1,565.2,565.55,573.9,572.95,570.87,623.0,361.75,8725136,"4,980,903,599.85",96467
