date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,380.0,384.5,378.5,377.55,382.8,382.75,381.89,510.0,252.0,4903064,"1,872,422,278.45",53558
2020-12-29,EQ,384.5,385.6,377.65,382.75,381.85,381.5,381.47,510.0,252.0,4017007,"1,532,374,114.00",53056
2020-12-30,EQ,382.0,384.2,378.8,381.5,382.0,382.85,381.4,510.0,252.0,3091717,"1,179,172,017.15",33913
2020-12-31,EQ,382.0,384.55,379.55,382.85,381.6,381.1,381.15,510.0,252.0,4297220,"1,637,895,991.70",55410
2021-01-01,EQ,381.1,384.0,380.4,381.1,382.5,381.95,382.47,510.0,252.0,2861749,"1,094,541,652.55",34802
2021-01-04,EQ,384.9,396.9,384.5,381.95,396.2,395.35,391.22,510.0,252.0,8238892,"3,223,250,548.20",80559
2021-01-05,EQ,394.7,394.75,389.0,395.35,391.45,392.0,391.52,510.0,252.0,4532068,"1,774,411,878.85",53860
2021-01-06,EQ,392.6,396.95,382.55,392.0,388.0,387.3,389.43,510.0,252.0,8072360,"3,143,650,049.65",89945
2021-01-07,EQ,391.0,395.0,387.6,387.3,392.85,392.2,391.94,510.0,252.0,6560803,"2,571,420,952.80",70430
2021-01-08,EQ,395.0,406.0,394.25,392.2,400.5,400.15,401.76,510.0,252.0,12377956,"4,972,975,119.75",164601
2021-01-11,EQ,404.0,404.75,395.35,400.15,401.1,401.75,400.54,510.0,252.0,6834003,"2,737,269,021.15",72808
2021-01-12,EQ,401.5,409.0,397.45,401.75,404.0,402.55,404.45,510.0,252.0,8331071,"3,369,540,086.45",95068
2021-01-13,EQ,406.0,425.0,404.65,402.55,411.5,411.9,415.56,510.0,252.0,21181147,"8,802,040,296.25",237313
2021-01-14,EQ,412.0,430.0,411.0,411.9,425.0,426.7,420.55,510.0,252.0,12600096,"5,298,974,198.90",146168
2021-01-15,EQ,429.4,429.5,411.3,426.7,414.4,414.6,418.9,510.0,252.0,8827951,"3,698,001,738.90",130808
2021-01-18,EQ,414.0,416.9,402.0,414.6,406.25,409.55,408.33,510.0,252.0,8393582,"3,427,381,747.70",100333
2021-01-19,EQ,413.0,418.0,408.25,409.55,413.6,413.45,413.57,510.0,252.0,5547107,"2,294,118,067.55",76560
2021-01-20,EQ,415.0,416.9,409.25,413.45,412.2,413.85,413.29,510.0,252.0,4937393,"2,040,554,306.55",58108
2021-01-21,EQ,415.0,423.0,405.1,413.85,409.6,408.3,416.02,510.0,252.0,8768238,"3,647,732,771.90",97968
2021-01-22,EQ,409.0,412.95,394.95,408.3,396.9,396.05,403.11,510.0,252.0,7702419,"3,104,959,269.00",93338
2021-01-25,EQ,400.0,402.85,384.7,396.05,385.5,387.3,390.34,510.0,252.0,6030213,"2,353,862,897.25",94430
2021-01-27,EQ,385.55,390.25,379.75,387.3,381.45,380.6,384.57,510.0,252.0,6033438,"2,320,279,034.25",102742
2021-01-28,EQ,377.0,389.7,376.25,380.6,386.5,384.3,385.54,510.0,252.0,8155883,"3,144,412,206.05",90373
2021-01-29,EQ,389.9,396.55,381.35,384.3,385.75,383.6,389.32,510.0,252.0,8258955,"3,215,410,866.80",95570
2021-02-01,EQ,388.0,397.9,380.6,383.6,393.6,393.0,389.88,510.0,252.0,13938368,"5,434,243,999.05",133560
2021-02-02,EQ,396.75,411.0,393.25,393.0,409.5,408.0,403.89,510.0,252.0,8876838,"3,585,258,118.15",97195
2021-02-03,EQ,405.0,417.0,402.35,408.0,414.75,414.9,411.95,510.0,252.0,8509253,"3,505,373,889.45",88136
2021-02-04,EQ,413.6,422.5,410.55,414.9,418.05,418.55,418.49,510.0,252.0,7599341,"3,180,218,711.15",94469
2021-02-05,EQ,420.5,422.3,413.1,418.55,415.4,415.0,416.79,510.0,252.0,3861284,"1,609,330,622.40",45703
2021-02-08,EQ,420.0,424.4,416.0,415.0,420.0,420.05,420.16,495.55,252.0,6322827,"2,656,601,374.80",79568
2021-02-09,EQ,431.0,438.05,416.65,420.05,419.35,419.35,426.8,495.55,252.0,22577022,"9,635,800,824.30",200533
2021-02-10,EQ,422.2,424.95,409.05,419.35,416.0,415.8,416.15,495.55,252.0,9580296,"3,986,817,192.95",93016
2021-02-11,EQ,415.0,422.85,414.3,415.8,421.9,421.95,418.65,495.55,252.0,5729659,"2,398,730,491.90",85125
2021-02-12,EQ,423.0,425.85,414.6,421.95,418.2,418.1,420.1,495.55,252.0,5470945,"2,298,326,728.70",53873
2021-02-15,EQ,422.8,424.9,417.0,418.1,419.45,419.0,421.09,481.0,252.0,5518776,"2,323,893,010.80",55954
2021-02-16,EQ,417.8,422.6,416.2,419.0,418.3,417.95,418.35,481.0,252.0,5397662,"2,258,117,274.70",51091
2021-02-17,EQ,404.5,413.9,401.55,417.95,413.6,411.7,407.79,481.0,252.0,8589431,"3,502,702,431.95",87482
2021-02-18,EQ,415.35,434.35,410.7,411.7,431.0,432.2,424.2,481.0,252.0,20755494,"8,804,456,622.45",234653
2021-02-19,EQ,437.0,444.8,423.5,432.2,429.3,430.0,434.07,481.0,252.0,24446305,"10,611,502,300.75",252409
2021-02-22,EQ,429.3,435.25,418.0,430.0,418.8,422.55,429.08,481.0,252.0,9690341,"4,157,897,053.25",120772
2021-02-23,EQ,428.0,442.7,425.8,422.55,437.35,435.25,436.76,481.0,252.0,14397828,"6,288,426,931.35",158597
2021-02-24,EQ,440.0,445.0,436.1,435.25,438.5,438.7,441.15,481.0,252.0,5990683,"2,642,760,610.10",74754
2021-02-25,EQ,441.95,467.8,441.85,438.7,461.3,461.55,457.51,481.0,252.0,18810829,"8,606,139,869.55",182077
2021-02-26,EQ,454.95,466.35,440.25,461.55,449.9,449.85,454.09,481.0,252.0,18441539,"8,374,050,751.05",197233
2021-03-01,EQ,456.0,463.85,450.1,449.85,455.9,455.25,457.0,481.0,252.0,6092750,"2,784,402,695.65",64196
2021-03-02,EQ,474.5,482.4,462.0,455.25,470.0,469.0,472.96,482.4,252.0,26600333,"12,580,782,893.10",306906
2021-03-03,EQ,480.0,480.0,462.3,469.0,466.35,466.35,467.96,482.4,252.0,8837642,"4,135,633,564.95",101677
2021-03-04,EQ,462.0,472.65,459.25,466.35,464.5,463.9,466.34,482.4,252.0,6278311,"2,927,816,409.50",72087
2021-03-05,EQ,463.0,474.45,458.1,463.9,463.5,461.8,467.48,482.4,252.0,8896513,"4,158,921,704.85",113603
2021-03-08,EQ,462.0,472.95,461.8,461.8,467.2,466.7,468.28,482.4,252.0,5674769,"2,657,385,096.00",63190
2021-03-09,EQ,446.2,454.0,437.35,466.7,445.45,445.9,440.96,482.4,252.0,199790953,"88,100,530,104.70",432637
2021-03-10,EQ,451.0,451.9,442.05,445.9,445.95,445.5,446.62,482.4,252.0,11745802,"5,245,939,230.65",128874
2021-03-12,EQ,457.0,464.0,451.0,445.5,459.1,457.55,457.39,482.4,252.0,26396386,"12,073,501,840.30",254463
2021-03-15,EQ,464.45,465.0,451.3,457.55,460.0,460.55,456.95,482.4,252.0,16921115,"7,732,157,365.80",151239
2021-03-16,EQ,464.55,465.6,452.05,460.55,455.0,453.85,456.5,482.4,252.0,15391437,"7,026,183,581.00",106950
2021-03-17,EQ,442.0,446.7,430.1,453.85,431.0,432.05,437.36,482.4,252.0,28849799,"12,617,640,808.40",236759
2021-03-18,EQ,435.0,438.5,423.8,432.05,428.0,426.9,431.97,482.4,252.0,13180981,"5,693,758,828.90",116943
2021-03-19,EQ,426.0,438.4,419.2,426.9,434.1,432.95,429.38,482.4,252.0,13311475,"5,715,649,378.70",99432
