date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"1,838.55","1,863.00","1,823.25","1,840.10","1,830.00","1,831.50","1,840.76","1,865.00",809.10,48475,"89,230,924.55",3958
2015-01-02,EQ,"1,842.00","1,885.00","1,838.00","1,831.50","1,880.00","1,878.55","1,864.43","1,885.00",809.10,154493,"288,041,070.80",7059
2015-01-05,EQ,"1,889.00","1,926.95","1,872.30","1,878.55","1,894.50","1,879.85","1,900.91","1,926.95",809.10,172236,"327,405,186.55",11951
2015-01-06,EQ,"1,885.00","1,910.00","1,850.00","1,879.85","1,902.00","1,881.90","1,878.27","1,926.95",809.10,114142,"214,389,374.30",7837
2015-01-07,EQ,"1,891.95","2,008.90","1,891.95","1,881.90","1,996.50","1,995.75","1,965.32","2,008.90",809.10,473737,"931,046,377.45",31279
2015-01-08,EQ,"2,010.10","2,017.00","1,962.40","1,995.75","1,965.00","1,969.20","1,978.70","2,017.00",809.10,226447,"448,069,699.45",29108
2015-01-09,EQ,"1,976.00","1,979.80","1,927.05","1,969.20","1,944.95","1,945.30","1,950.93","2,017.00",809.10,241537,"471,222,226.50",37291
2015-01-12,EQ,"1,954.00","1,975.00","1,922.00","1,945.30","1,930.00","1,932.00","1,943.10","2,017.00",809.10,138391,"268,907,850.45",22991
2015-01-13,EQ,"1,948.00","1,970.00","1,925.50","1,932.00","1,925.50","1,933.40","1,947.47","2,017.00",809.10,231848,"451,517,478.45",24100
2015-01-14,EQ,"1,951.00","1,975.00","1,933.00","1,933.40","1,960.00","1,946.05","1,964.04","2,017.00",809.10,329106,"646,377,417.10",40740
2015-01-15,EQ,"2,000.00","2,000.00","1,921.00","1,946.05","1,935.00","1,934.15","1,939.97","2,017.00",809.10,190902,"370,344,131.70",34734
2015-01-16,EQ,"1,945.00","1,959.85","1,917.00","1,934.15","1,931.15","1,928.70","1,943.55","2,017.00",809.10,197901,"384,629,762.80",26610
2015-01-19,EQ,"1,940.00","1,942.00","1,896.50","1,928.70","1,904.00","1,908.65","1,924.41","2,017.00",809.10,140438,"270,260,243.65",12265
2015-01-20,EQ,"1,912.00","1,941.90","1,910.00","1,908.65","1,925.00","1,920.75","1,926.51","2,017.00",809.10,129237,"248,976,578.15",17101
2015-01-21,EQ,"1,912.00","1,935.00","1,896.00","1,920.75","1,911.10","1,915.05","1,919.34","2,017.00",809.10,135299,"259,685,369.50",19061
2015-01-22,EQ,"1,910.50","1,924.90","1,896.25","1,915.05","1,900.00","1,901.15","1,907.94","2,017.00",809.10,143831,"274,420,283.75",11576
2015-01-23,EQ,"1,920.00","1,927.00","1,906.00","1,901.15","1,910.00","1,914.65","1,914.51","2,017.00",809.10,230051,"440,435,965.55",15167
2015-01-27,EQ,"1,930.00","1,940.00","1,905.00","1,914.65","1,908.50","1,914.35","1,916.09","2,017.00",809.10,113739,"217,934,017.85",8077
2015-01-28,EQ,"1,920.00","1,920.40","1,905.00","1,914.35","1,915.00","1,913.75","1,915.67","2,017.00",809.10,227760,"436,313,429.30",9377
2015-01-29,EQ,"1,924.90","1,924.90","1,900.10","1,913.75","1,908.00","1,908.35","1,909.64","2,017.00",809.10,88687,"169,359,943.35",6475
2015-01-30,EQ,"1,915.00","1,915.00","1,875.10","1,908.35","1,895.00","1,889.00","1,901.06","2,017.00",809.10,100300,"190,676,407.50",10332
2015-02-02,EQ,"1,889.00","1,911.20","1,889.00","1,889.00","1,900.00","1,900.10","1,902.36","2,017.00",809.10,162006,"308,194,251.65",14085
2015-02-03,EQ,"1,917.00","1,938.00","1,910.65","1,900.10","1,918.10","1,924.25","1,927.85","2,017.00",809.10,240081,"462,840,712.00",15052
2015-02-04,EQ,"1,955.00","1,963.70","1,881.20","1,924.25","1,886.00","1,894.10","1,903.09","2,017.00",809.10,340145,"647,326,332.90",11383
2015-02-05,EQ,"1,904.45","1,906.50","1,846.25","1,894.10","1,854.50","1,853.50","1,883.91","2,017.00",809.10,153241,"288,692,880.65",14972
2015-02-06,EQ,"1,870.00","1,887.20","1,857.10","1,853.50","1,880.00","1,879.15","1,879.36","2,017.00",809.10,251003,"471,723,906.10",21122
2015-02-09,EQ,"1,873.00","1,915.90","1,864.00","1,879.15","1,915.00","1,882.15","1,880.80","2,017.00",809.10,343053,"645,214,750.00",12203
2015-02-10,EQ,"1,904.00","1,939.00","1,901.95","1,882.15","1,929.35","1,933.25","1,928.07","2,017.00",809.10,179871,"346,804,404.85",16719
2015-02-11,EQ,"1,937.00","1,937.00","1,906.00","1,933.25","1,926.00","1,929.70","1,926.91","2,017.00",809.10,195027,"375,800,135.70",15362
2015-02-12,EQ,"1,937.60","1,975.00","1,925.00","1,929.70","1,963.00","1,967.50","1,950.42","2,017.00",809.10,534151,"1,041,819,384.00",21928
2015-02-13,EQ,"1,976.00","2,040.00","1,900.00","1,967.50","2,025.00","2,022.90","2,004.04","2,040.00",809.10,322463,"646,229,386.90",17054
2015-02-16,EQ,"2,034.00","2,045.00","2,000.00","2,022.90","2,035.00","2,034.20","2,031.77","2,045.00",809.10,281729,"572,409,253.35",12562
2015-02-18,EQ,"2,044.95","2,085.00","2,008.20","2,034.20","2,085.00","2,055.80","2,039.22","2,085.00",809.10,147738,"301,269,856.55",16948
2015-02-19,EQ,"2,075.00","2,099.95","2,050.00","2,055.80","2,072.00","2,081.10","2,074.48","2,099.95",809.10,132525,"274,920,775.35",9127
2015-02-20,EQ,"2,082.00","2,117.00","2,045.00","2,081.10","2,088.00","2,097.55","2,074.33","2,117.00",809.10,166433,"345,236,763.35",14056
2015-02-23,EQ,"2,100.00","2,100.00","2,045.00","2,097.55","2,046.00","2,060.40","2,076.07","2,117.00",809.10,187173,"388,584,941.30",10694
2015-02-24,EQ,"2,062.00","2,088.00","2,051.00","2,060.40","2,070.00","2,073.00","2,071.26","2,117.00",809.10,89086,"184,520,614.75",8772
2015-02-25,EQ,"2,080.00","2,082.95","2,045.00","2,073.00","2,069.00","2,069.40","2,065.14","2,117.00",809.10,177607,"366,783,088.00",12947
2015-02-26,EQ,"2,071.00","2,098.35","2,033.95","2,069.40","2,054.00","2,055.65","2,070.30","2,117.00",809.10,172743,"357,629,293.25",11735
2015-02-27,EQ,"2,055.70","2,107.00","2,048.65","2,055.65","2,077.35","2,083.45","2,086.12","2,117.00",809.10,259758,"541,886,652.40",27162
2015-02-28,EQ,"2,090.00","2,102.00","2,054.15","2,083.45","2,095.00","2,095.40","2,085.78","2,117.00",809.10,49228,"102,679,013.30",2437
2015-03-02,EQ,"2,098.00","2,162.95","2,056.25","2,095.40","2,120.00","2,122.40","2,097.82","2,162.95",809.10,390979,"820,201,794.45",21049
2015-03-03,EQ,"2,122.00","2,189.00","2,120.00","2,122.40","2,166.00","2,168.65","2,167.02","2,189.00",809.10,373909,"810,268,434.00",32629
2015-03-04,EQ,"2,176.00","2,195.00","2,144.05","2,168.65","2,167.00","2,152.50","2,174.20","2,195.00",809.10,227500,"494,630,409.85",23263
2015-03-05,EQ,"2,156.00","2,246.00","2,155.00","2,152.50","2,217.00","2,210.75","2,213.75","2,246.00",809.10,405278,"897,184,498.10",36477
2015-03-09,EQ,"2,205.00","2,211.00","2,155.75","2,210.75","2,185.00","2,199.35","2,194.90","2,246.00",809.10,179452,"393,878,429.40",15586
2015-03-10,EQ,"2,210.00","2,212.20","2,116.50","2,199.35","2,128.00","2,156.05","2,169.33","2,246.00",809.10,156789,"340,127,095.95",22142
2015-03-11,EQ,"2,163.00","2,201.00","2,140.00","2,156.05","2,150.00","2,155.00","2,173.75","2,246.00",809.10,99255,"215,755,886.35",11542
2015-03-12,EQ,"2,162.00","2,215.00","2,159.10","2,155.00","2,191.00","2,196.65","2,200.98","2,246.00",809.10,252424,"555,580,050.35",23720
2015-03-13,EQ,"2,204.00","2,216.65","2,142.20","2,196.65","2,156.00","2,156.95","2,178.71","2,246.00",809.10,109240,"238,002,235.00",12444
2015-03-16,EQ,"2,164.00","2,169.80","2,125.05","2,156.95","2,149.50","2,150.50","2,151.15","2,246.00",809.10,72911,"156,842,659.85",8858
2015-03-17,EQ,"2,170.00","2,218.80","2,155.00","2,150.50","2,187.00","2,190.95","2,199.31","2,246.00",809.10,210959,"463,963,968.70",22219
