date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,837.6,839.00,825.2,833.2,829.95,830.15,833.16,839.00,355.3,4810932,"4,008,260,788.65",81422
2020-12-29,EQ,830.15,835.75,817.5,830.15,825.15,827.95,826.62,839.00,355.3,3311293,"2,737,184,583.20",65253
2020-12-30,EQ,830.0,830.00,816.05,827.95,823.4,823.8,821.25,839.00,355.3,2715404,"2,230,021,015.35",49155
2020-12-31,EQ,824.0,833.35,816.4,823.8,818.9,819.95,824.2,839.00,355.3,4842886,"3,991,520,661.45",72167
2021-01-01,EQ,822.8,828.95,820.65,819.95,827.3,826.6,826.17,839.00,355.3,2474916,"2,044,692,332.90",44615
2021-01-04,EQ,831.0,837.30,826.55,826.6,831.5,832.25,832.26,839.00,355.3,3487801,"2,902,752,557.80",60915
2021-01-05,EQ,832.25,843.75,825.3,832.25,827.75,827.25,831.58,843.75,355.3,4559213,"3,791,349,413.30",64786
2021-01-06,EQ,829.0,834.40,815.25,827.25,825.0,824.8,826.6,843.75,355.3,3318460,"2,743,047,281.35",59438
2021-01-07,EQ,830.0,830.45,818.0,824.8,829.4,826.55,824.16,843.75,355.3,2879675,"2,373,308,391.50",60348
2021-01-08,EQ,830.7,846.20,827.4,826.55,836.2,838.7,838.26,846.20,355.3,5072916,"4,252,438,018.80",125099
2021-01-11,EQ,839.0,860.00,832.75,838.7,859.0,856.85,848.45,860.00,355.3,5332109,"4,524,003,157.30",110720
2021-01-12,EQ,860.0,864.60,841.0,856.85,844.0,843.15,852.29,864.60,355.3,4338010,"3,697,257,149.80",78904
2021-01-13,EQ,847.35,852.00,832.5,843.15,840.9,841.7,843.39,864.60,355.3,3596529,"3,033,266,616.95",58977
2021-01-14,EQ,841.7,847.55,829.0,841.7,839.25,840.9,837.22,864.60,355.3,3652930,"3,058,293,399.35",56889
2021-01-15,EQ,839.0,844.90,821.0,840.9,824.45,823.7,830.46,864.60,355.3,3137877,"2,605,875,426.85",57322
2021-01-18,EQ,822.0,826.65,796.2,823.7,798.9,801.75,807.82,864.60,355.3,3742440,"3,023,231,872.90",63341
2021-01-19,EQ,802.5,825.40,802.5,801.75,825.0,822.45,815.77,864.60,355.3,3791378,"3,092,880,549.00",76171
2021-01-20,EQ,822.5,834.90,822.3,822.45,832.85,832.8,828.51,864.60,355.3,3056546,"2,532,392,573.95",60544
2021-01-21,EQ,835.0,839.30,809.0,832.8,817.65,812.75,825.72,864.60,355.3,3326213,"2,746,528,293.65",70380
2021-01-22,EQ,815.8,822.50,798.25,812.75,808.9,808.3,811.56,864.60,355.3,3883231,"3,151,475,334.35",83297
2021-01-25,EQ,813.0,857.00,808.25,808.3,839.0,836.8,839.3,864.60,355.3,10704200,"8,984,052,307.35",168368
2021-01-27,EQ,839.9,856.45,825.2,836.8,839.7,842.5,843.08,864.60,355.3,7410174,"6,247,389,509.85",133350
2021-01-28,EQ,835.5,848.85,825.7,842.5,840.3,841.9,839.27,864.60,355.3,4489853,"3,768,212,473.60",84347
2021-01-29,EQ,847.95,850.85,820.75,841.9,828.0,825.9,835.27,864.60,355.3,7185812,"6,002,117,718.60",127245
2021-02-01,EQ,815.0,831.00,779.95,825.9,805.95,806.4,812.75,864.60,355.3,13856367,"11,261,783,138.50",202806
2021-02-02,EQ,807.0,826.35,801.5,806.4,826.0,821.6,813.62,864.60,355.3,8486828,"6,905,067,694.75",118335
2021-02-03,EQ,826.0,878.90,824.2,821.6,852.25,849.25,858.38,878.90,355.3,15674616,"13,454,708,049.65",234283
2021-02-04,EQ,847.55,856.50,832.6,849.25,835.25,834.45,844.36,878.90,355.3,4639606,"3,917,492,519.00",79921
2021-02-05,EQ,839.6,854.90,830.5,834.45,848.0,847.7,844.64,878.90,355.3,7381183,"6,234,453,905.15",116960
2021-02-08,EQ,852.0,859.25,841.05,847.7,846.05,847.25,850.7,878.90,355.3,4244906,"3,611,127,804.80",89383
2021-02-09,EQ,848.0,856.85,839.0,847.25,841.7,841.75,848.13,878.90,355.3,4200281,"3,562,380,308.65",86900
2021-02-10,EQ,847.6,867.00,841.0,841.75,865.6,863.4,854.53,878.90,355.3,5665209,"4,841,082,010.80",107639
2021-02-11,EQ,868.0,874.90,856.0,863.4,858.0,859.8,862.65,878.90,355.3,5347864,"4,613,322,913.80",91349
2021-02-12,EQ,859.0,864.35,845.5,859.8,850.0,848.55,854.71,878.90,355.3,2473012,"2,113,701,205.10",47896
2021-02-15,EQ,850.1,856.60,842.0,848.55,845.0,844.3,849.53,878.90,355.3,2531913,"2,150,948,023.60",42774
2021-02-16,EQ,850.0,852.25,841.25,844.3,849.0,848.35,847.24,878.90,355.3,2808115,"2,379,153,038.05",47110
2021-02-17,EQ,849.45,854.70,833.0,848.35,834.6,835.7,842.11,878.90,355.3,2539649,"2,138,662,289.30",40035
2021-02-18,EQ,835.0,843.45,822.5,835.7,824.9,825.45,833.04,878.90,355.3,4114251,"3,427,330,047.30",80847
2021-02-19,EQ,823.8,825.45,799.0,825.45,808.8,807.35,813.12,878.90,355.3,3834443,"3,117,851,526.95",76673
2021-02-22,EQ,811.4,817.50,786.05,807.35,788.0,792.45,804.79,878.90,355.3,4090429,"3,291,936,116.30",82024
