date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,139.9,139.9,137.2,136.25,137.6,137.65,138.18,214.6,109.55,15223089,"2,103,532,777.40",70762
2020-12-29,EQ,138.9,139.6,134.6,137.65,135.35,135.1,136.43,214.6,109.55,21146540,"2,885,089,511.30",111869
2020-12-30,EQ,136.75,136.75,134.2,135.1,135.65,135.6,135.41,214.6,109.55,14180071,"1,920,053,454.60",62490
2020-12-31,EQ,135.6,136.7,134.75,135.6,135.35,135.45,135.56,214.6,109.55,15237166,"2,065,528,148.65",56681
2021-01-01,EQ,135.4,136.25,135.05,135.45,135.5,135.35,135.51,214.6,109.55,6995084,"947,938,204.55",42330
2021-01-04,EQ,136.85,137.75,135.8,135.35,137.35,137.25,136.85,214.6,109.55,11669647,"1,596,991,008.55",49612
2021-01-05,EQ,136.75,136.75,134.4,137.25,135.15,135.15,135.12,214.6,109.55,12371842,"1,671,642,228.90",64308
2021-01-06,EQ,135.4,137.3,133.8,135.15,135.0,135.1,135.57,214.6,109.55,14133415,"1,916,062,213.10",60724
2021-01-07,EQ,136.5,137.5,135.5,135.1,136.5,136.5,136.29,214.6,109.55,17298525,"2,357,582,244.30",83089
2021-01-08,EQ,137.1,140.95,137.1,136.5,139.7,139.7,139.74,214.6,109.55,27964099,"3,907,729,749.85",163024
2021-01-11,EQ,140.5,143.0,140.3,139.7,141.8,141.7,141.8,214.6,109.55,24790683,"3,515,317,102.10",111880
2021-01-12,EQ,142.5,147.55,141.7,141.7,146.8,146.65,145.41,214.6,109.55,28433070,"4,134,443,936.55",158349
2021-01-13,EQ,148.5,148.8,143.5,146.65,145.55,145.8,146.75,214.6,109.55,21154236,"3,104,463,249.00",93307
2021-01-14,EQ,146.6,148.2,144.85,145.8,147.1,146.65,146.84,214.6,109.55,14755992,"2,166,711,851.55",91577
2021-01-15,EQ,146.8,147.6,142.35,146.65,143.55,143.25,144.83,214.6,109.55,10647008,"1,541,969,378.45",56384
2021-01-18,EQ,143.3,143.9,136.6,143.25,138.05,138.7,138.99,209.8,109.55,17085592,"2,374,768,894.10",86603
2021-01-19,EQ,140.85,141.9,139.6,138.7,140.5,140.1,140.66,209.8,109.55,8951075,"1,259,041,398.65",48877
2021-01-20,EQ,140.5,141.95,138.65,140.1,141.15,141.5,140.08,209.8,109.55,11820498,"1,655,789,476.30",47055
