date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"1,734.80","1,753.00","1,724.50","1,723.25","1,749.10","1,745.45","1,739.04","1,888.05","1,210.00",93462,"162,534,496.60",4573
2015-01-02,EQ,"1,754.00","1,769.50","1,746.00","1,745.45","1,750.30","1,752.90","1,758.52","1,888.05","1,210.00",102080,"179,509,799.85",8769
2015-01-05,EQ,"1,752.75","1,765.65","1,732.50","1,752.90","1,732.50","1,742.35","1,750.37","1,888.05","1,210.00",60771,"106,371,827.65",4236
2015-01-06,EQ,"1,730.00","1,730.00","1,667.00","1,742.35","1,672.70","1,674.15","1,695.63","1,888.05","1,210.00",341448,"578,970,440.95",16449
2015-01-07,EQ,"1,676.20","1,699.15","1,635.00","1,674.15","1,647.20","1,649.65","1,650.93","1,888.05","1,210.00",207986,"343,369,833.75",11554
2015-01-08,EQ,"1,660.00","1,679.90","1,650.00","1,649.65","1,653.00","1,653.05","1,659.89","1,888.05","1,210.00",62430,"103,627,061.10",3460
2015-01-09,EQ,"1,660.00","1,718.85","1,660.00","1,653.05","1,714.00","1,702.25","1,686.03","1,888.05","1,210.00",76054,"128,229,697.10",4916
2015-01-12,EQ,"1,713.00","1,725.75","1,681.00","1,702.25","1,705.70","1,706.30","1,700.85","1,888.05","1,210.00",97432,"165,717,531.85",5962
2015-01-13,EQ,"1,705.00","1,729.90","1,705.00","1,706.30","1,724.60","1,723.90","1,720.07","1,888.05","1,210.00",56278,"96,802,077.40",5663
2015-01-14,EQ,"1,720.00","1,740.00","1,697.05","1,723.90","1,701.65","1,705.30","1,723.99","1,888.05","1,210.00",128082,"220,811,842.55",15097
2015-01-15,EQ,"1,710.65","1,728.25","1,690.05","1,705.30","1,694.00","1,695.60","1,702.36","1,888.05","1,210.00",94377,"160,663,507.85",6934
2015-01-16,EQ,"1,702.00","1,719.40","1,701.00","1,695.60","1,718.00","1,712.15","1,713.07","1,888.05","1,210.00",116634,"199,802,110.25",5999
2015-01-19,EQ,"1,721.00","1,728.00","1,705.40","1,712.15","1,710.55","1,712.15","1,714.98","1,888.05","1,210.00",94074,"161,335,027.90",4862
