date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"3,394.00","3,407.90","3,370.00","3,385.05","3,401.05","3,402.50","3,395.35","3,789.00","2,426.35",41137,"139,674,331.25",2010
2015-01-02,EQ,"3,405.10","3,506.00","3,399.00","3,402.50","3,505.00","3,495.70","3,467.31","3,789.00","2,426.35",44930,"155,786,300.10",3649
2015-01-05,EQ,"3,500.00","3,547.60","3,477.00","3,495.70","3,505.25","3,508.85","3,507.36","3,789.00","2,426.35",99014,"347,277,669.85",4229
2015-01-06,EQ,"3,487.00","3,489.00","3,341.90","3,508.85","3,370.00","3,375.05","3,422.32","3,789.00","2,426.35",125355,"429,004,392.25",9458
2015-01-07,EQ,"3,400.00","3,434.00","3,370.00","3,375.05","3,410.95","3,417.50","3,397.03","3,789.00","2,426.35",130144,"442,103,158.00",3844
2015-01-08,EQ,"3,430.00","3,462.00","3,398.30","3,417.50","3,424.25","3,424.95","3,432.12","3,789.00","2,426.35",41048,"140,881,601.60",2697
2015-01-09,EQ,"3,430.00","3,463.70","3,395.00","3,424.95","3,409.95","3,404.55","3,421.48","3,789.00","2,426.35",50866,"174,037,199.35",4583
2015-01-12,EQ,"3,409.50","3,448.00","3,393.00","3,404.55","3,439.00","3,435.55","3,414.32","3,789.00","2,426.35",28484,"97,253,498.85",2588
2015-01-13,EQ,"3,467.00","3,590.00","3,447.00","3,435.55","3,545.00","3,546.35","3,516.57","3,789.00","2,426.35",94327,"331,707,103.65",8061
2015-01-14,EQ,"3,545.00","3,599.90","3,540.40","3,546.35","3,565.00","3,566.80","3,577.69","3,789.00","2,426.35",53587,"191,717,430.85",4609
2015-01-15,EQ,"3,600.00","3,693.00","3,570.05","3,566.80","3,655.00","3,668.15","3,651.21","3,789.00","2,426.35",107561,"392,727,960.95",9216
2015-01-16,EQ,"3,668.15","3,697.40","3,615.10","3,668.15","3,652.60","3,636.50","3,644.50","3,789.00","2,426.35",78625,"286,548,706.30",4907
2015-01-19,EQ,"3,652.60","3,715.00","3,642.80","3,636.50","3,660.00","3,652.50","3,682.18","3,789.00","2,426.35",72836,"268,195,121.25",5490
2015-01-20,EQ,"3,686.95","3,707.00","3,666.00","3,652.50","3,693.35","3,691.55","3,689.64","3,789.00","2,426.35",68112,"251,308,632.60",8043
