date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"1,599.00","1,611.65","1,585.60","1,596.90","1,605.50","1,606.80","1,604.76","1,776.25","1,234.10",334123,"536,186,206.65",14239
2015-01-02,EQ,"1,602.05","1,618.95","1,600.05","1,606.80","1,607.00","1,605.25","1,608.73","1,776.25","1,234.10",233343,"375,386,382.70",12194
2015-01-05,EQ,"1,615.00","1,615.00","1,568.70","1,605.25","1,581.00","1,578.25","1,586.98","1,776.25","1,242.15",503156,"798,500,371.85",28045
2015-01-06,EQ,"1,574.00","1,574.40","1,522.65","1,578.25","1,543.05","1,536.10","1,553.35","1,776.25","1,242.15",867602,"1,347,687,528.25",53920
2015-01-07,EQ,"1,539.50","1,548.00","1,492.70","1,536.10","1,500.00","1,499.60","1,517.47","1,776.25","1,242.15",885140,"1,343,175,418.95",39157
2015-01-08,EQ,"1,517.00","1,540.00","1,495.00","1,499.60","1,536.50","1,534.30","1,510.48","1,776.25","1,242.15",976509,"1,474,996,113.40",57004
2015-01-09,EQ,"1,536.65","1,583.65","1,522.90","1,534.30","1,546.30","1,545.55","1,545.74","1,776.25","1,242.15",1541112,"2,382,153,542.45",65701
2015-01-12,EQ,"1,555.10","1,579.00","1,540.70","1,545.55","1,575.00","1,575.55","1,562.35","1,776.25","1,256.00",665421,"1,039,622,988.00",42335
2015-01-13,EQ,"1,575.55","1,594.95","1,563.35","1,575.55","1,580.70","1,583.60","1,583.22","1,776.25","1,256.00",729018,"1,154,193,805.30",54305
2015-01-14,EQ,"1,595.90","1,598.80","1,550.30","1,583.60","1,575.20","1,578.80","1,571.96","1,776.25","1,256.00",1033319,"1,624,331,465.30",67925
2015-01-15,EQ,"1,594.95","1,618.45","1,552.45","1,578.80","1,598.60","1,593.25","1,596.15","1,776.25","1,256.00",914744,"1,460,066,335.25",57993
2015-01-16,EQ,"1,594.00","1,644.10","1,575.55","1,593.25","1,638.00","1,639.00","1,615.05","1,776.25","1,256.00",796337,"1,286,123,574.85",60519
2015-01-19,EQ,"1,650.00","1,730.00","1,639.80","1,639.00","1,646.10","1,644.65","1,674.58","1,776.25","1,256.00",833958,"1,396,529,946.05",41312
2015-01-20,EQ,"1,662.50","1,679.25","1,649.70","1,644.65","1,668.00","1,672.15","1,669.76","1,776.25","1,256.00",774817,"1,293,758,429.50",43863
2015-01-21,EQ,"1,661.20","1,692.00","1,641.00","1,672.15","1,684.95","1,687.25","1,667.03","1,776.25","1,256.00",1885258,"3,142,780,938.20",88386
2015-01-22,EQ,"1,688.00","1,693.05","1,657.00","1,687.25","1,662.00","1,665.70","1,665.79","1,776.25","1,256.00",942276,"1,569,636,913.85",46030
2015-01-23,EQ,"1,663.10","1,668.90","1,631.30","1,665.70","1,646.00","1,646.65","1,647.41","1,776.25","1,256.00",1170769,"1,928,734,683.25",92707
2015-01-27,EQ,"1,648.90","1,648.90","1,607.55","1,646.65","1,613.60","1,616.35","1,615.85","1,776.25","1,256.00",1115443,"1,802,387,535.15",77760
2015-01-28,EQ,"1,610.00","1,665.75","1,610.00","1,616.35","1,658.90","1,659.40","1,654.21","1,776.25","1,256.00",1043347,"1,725,919,215.90",56883
2015-01-29,EQ,"1,658.00","1,662.70","1,608.90","1,659.40","1,654.00","1,648.95","1,636.31","1,776.25","1,256.00",1187860,"1,943,712,490.50",71410
2015-01-30,EQ,"1,810.00","1,820.00","1,753.15","1,648.95","1,794.35","1,791.75","1,785.25","1,820.00","1,256.00",5353836,"9,557,931,912.55",220843
2015-02-02,EQ,"1,800.00","1,900.00","1,798.05","1,791.75","1,893.65","1,891.00","1,871.97","1,900.00","1,256.00",2522439,"4,721,927,140.75",129957
2015-02-03,EQ,"1,910.00","1,915.00","1,871.00","1,891.00","1,900.00","1,900.25","1,888.52","1,915.00","1,256.00",2110568,"3,985,845,654.25",108143
2015-02-04,EQ,"1,900.00","1,910.00","1,885.55","1,900.25","1,902.80","1,900.35","1,897.48","1,915.00","1,256.00",1234975,"2,343,342,196.10",59084
2015-02-05,EQ,"1,900.00","1,980.85","1,886.95","1,900.35","1,974.00","1,972.65","1,947.49","1,980.85","1,256.00",2123724,"4,135,933,913.30",107385
2015-02-06,EQ,"1,970.00","1,997.00","1,945.30","1,972.65","1,960.00","1,954.70","1,965.33","1,997.00","1,256.00",1005962,"1,977,047,942.85",106082
2015-02-09,EQ,"1,941.00","2,009.50","1,931.30","1,954.70","1,988.00","1,994.30","1,976.18","2,009.50","1,256.00",1167627,"2,307,446,536.25",103983
2015-02-10,EQ,"1,985.00","1,987.85","1,925.00","1,994.30","1,941.70","1,933.35","1,953.92","2,009.50","1,256.00",1446602,"2,826,542,275.85",103921
2015-02-11,EQ,"1,939.70","1,967.00","1,921.20","1,933.35","1,958.80","1,955.70","1,950.74","2,009.50","1,256.00",535629,"1,044,871,638.45",41847
2015-02-12,EQ,"1,950.00","1,990.00","1,949.00","1,955.70","1,985.15","1,984.40","1,977.32","2,009.50","1,256.00",1091344,"2,157,933,999.40",70446
2015-02-13,EQ,"1,990.00","2,004.00","1,976.80","1,984.40","1,996.05","1,992.95","1,992.21","2,009.50","1,256.00",821502,"1,636,607,644.70",66552
2015-02-16,EQ,"1,995.05","2,008.00","1,980.60","1,992.95","1,987.90","1,984.85","1,997.59","2,009.50","1,256.00",756217,"1,510,615,005.60",46900
2015-02-18,EQ,"1,991.55","2,040.00","1,987.55","1,984.85","2,038.00","2,033.15","2,015.39","2,040.00","1,256.00",1581951,"3,188,245,558.90",50572
2015-02-19,EQ,"2,030.00","2,054.70","2,020.00","2,033.15","2,049.00","2,048.15","2,044.70","2,054.70","1,256.00",1034238,"2,114,705,806.50",39578
2015-02-20,EQ,"2,050.00","2,055.00","1,996.10","2,048.15","2,000.00","2,000.75","2,018.68","2,055.00","1,256.00",667143,"1,346,751,349.70",38115
2015-02-23,EQ,"2,000.00","2,027.70","1,958.45","2,000.75","1,960.00","1,971.00","1,989.86","2,055.00","1,256.00",666585,"1,326,410,233.75",47291
2015-02-24,EQ,"1,971.00","1,998.80","1,955.65","1,971.00","1,975.75","1,976.05","1,979.68","2,055.00","1,256.00",910762,"1,803,020,093.20",72679
2015-02-25,EQ,"1,989.50","1,993.60","1,971.80","1,976.05","1,981.00","1,983.20","1,983.59","2,055.00","1,256.00",569087,"1,128,832,618.30",47157
