date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"1,130.00","1,131.15","1,120.10","1,135.90","1,125.90","1,124.00","1,124.23","1,177.80",755.00,401576,"451,464,950.40",11804
2015-01-02,EQ,"1,127.30","1,176.95","1,125.35","1,124.00","1,171.05","1,171.90","1,159.93","1,177.80",755.00,2019816,"2,342,844,535.05",59071
2015-01-05,EQ,"1,168.80","1,175.00","1,150.40","1,171.90","1,154.95","1,156.40","1,159.24","1,177.80",755.00,2219458,"2,572,880,193.40",57749
2015-01-06,EQ,"1,148.60","1,148.60","1,096.10","1,156.40","1,098.00","1,101.95","1,117.84","1,177.80",755.00,2531748,"2,830,099,552.25",81436
2015-01-07,EQ,"1,097.50","1,114.15","1,095.00","1,101.95","1,097.65","1,099.25","1,105.58","1,177.80",755.00,2406880,"2,660,992,424.35",133109
2015-01-08,EQ,"1,114.00","1,128.50","1,110.00","1,099.25","1,122.15","1,123.35","1,118.69","1,177.80",755.00,1675711,"1,874,600,119.40",44297
2015-01-09,EQ,"1,127.00","1,135.95","1,103.40","1,123.35","1,110.00","1,113.30","1,119.75","1,177.80",755.00,1125756,"1,260,570,300.80",57487
2015-01-12,EQ,"1,114.35","1,135.00","1,098.40","1,113.30","1,129.15","1,128.55","1,114.18","1,177.80",755.00,1483952,"1,653,391,028.30",60582
2015-01-13,EQ,"1,134.40","1,137.30","1,113.60","1,128.55","1,123.10","1,122.20","1,128.59","1,177.80",755.00,1460452,"1,648,246,362.65",62788
2015-01-14,EQ,"1,128.70","1,136.85","1,112.60","1,122.20","1,120.90","1,120.30","1,124.14","1,177.80",755.00,1407126,"1,581,800,313.65",57137
2015-01-15,EQ,"1,145.05","1,210.90","1,144.70","1,120.30","1,194.00","1,202.55","1,180.53","1,210.90",755.00,3691695,"4,358,144,100.10",76512
2015-01-16,EQ,"1,207.50","1,209.00","1,191.00","1,202.55","1,198.00","1,194.55","1,197.21","1,210.90",755.00,3113114,"3,727,039,002.55",93983
