date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"3,111.00","3,120.00","3,083.00","3,106.65","3,097.35","3,105.40","3,099.55","3,269.95","1,907.10",112464,"348,587,360.45",7684
2015-01-02,EQ,"3,115.00","3,119.00","3,090.55","3,105.40","3,099.00","3,098.10","3,101.75","3,269.95","1,907.10",187675,"582,121,022.65",14638
2015-01-05,EQ,"3,104.00","3,146.90","3,098.10","3,098.10","3,111.00","3,119.40","3,124.33","3,269.95","1,907.10",160068,"500,104,611.90",12868
2015-01-06,EQ,"3,098.00","3,098.00","3,001.00","3,119.40","3,015.00","3,014.40","3,039.46","3,269.95","1,907.10",457760,"1,391,344,570.90",26926
2015-01-07,EQ,"3,014.00","3,022.00","2,966.70","3,014.40","2,977.00","2,974.05","2,986.69","3,269.95","1,907.10",378882,"1,131,602,175.70",24423
2015-01-08,EQ,"2,978.00","2,999.70","2,951.75","2,974.05","2,987.90","2,984.00","2,974.23","3,269.95","1,907.10",513335,"1,526,775,113.95",37866
2015-01-09,EQ,"2,998.85","3,011.00","2,966.25","2,984.00","2,986.50","2,992.25","2,991.38","3,269.95","1,907.10",365342,"1,092,875,545.30",25357
2015-01-12,EQ,"2,988.00","2,988.00","2,924.00","2,992.25","2,949.00","2,937.15","2,952.18","3,269.95","1,907.10",396343,"1,170,074,561.65",29168
2015-01-13,EQ,"2,951.00","2,962.55","2,887.55","2,937.15","2,895.80","2,893.20","2,913.08","3,269.95","1,907.10",387266,"1,128,135,016.75",30406
2015-01-14,EQ,"2,909.00","2,924.70","2,883.00","2,893.20","2,908.00","2,903.05","2,902.94","3,269.95","1,907.10",503348,"1,461,190,032.35",36386
2015-01-15,EQ,"2,940.00","2,970.00","2,928.65","2,903.05","2,942.00","2,950.55","2,946.28","3,269.95","1,907.10",548030,"1,614,648,330.35",34422
2015-01-16,EQ,"2,950.40","2,970.00","2,891.30","2,950.55","2,895.00","2,897.70","2,911.51","3,269.95","1,907.10",441344,"1,284,975,978.80",46671
2015-01-19,EQ,"2,900.05","2,920.00","2,836.00","2,897.70","2,846.20","2,841.30","2,860.75","3,269.95","1,907.10",494968,"1,415,980,976.10",44829
2015-01-20,EQ,"2,860.00","2,868.00","2,797.20","2,841.30","2,830.00","2,828.65","2,825.34","3,269.95","1,907.10",620515,"1,753,163,508.70",40631
2015-01-21,EQ,"2,833.90","2,894.00","2,833.90","2,828.65","2,890.00","2,875.15","2,857.91","3,269.95","1,907.10",502824,"1,437,026,443.10",46773
2015-01-22,EQ,"2,899.95","2,909.00","2,811.60","2,875.15","2,842.00","2,838.85","2,853.42","3,269.95","1,907.10",616241,"1,758,393,420.75",46099
2015-01-23,EQ,"2,870.00","2,895.60","2,851.00","2,838.85","2,867.15","2,862.80","2,868.98","3,269.95","1,907.10",616170,"1,767,778,874.15",38223
2015-01-27,EQ,"2,860.00","2,869.65","2,823.00","2,862.80","2,851.05","2,857.75","2,841.57","3,269.95","1,907.10",563105,"1,600,101,655.75",40226
2015-01-28,EQ,"2,860.00","2,895.50","2,840.55","2,857.75","2,864.50","2,865.10","2,865.98","3,269.95","1,907.10",415685,"1,191,345,657.15",36421
2015-01-29,EQ,"2,860.00","2,898.75","2,857.00","2,865.10","2,887.55","2,876.50","2,878.64","3,269.95","1,907.10",544345,"1,566,975,353.15",32358
2015-01-30,EQ,"2,887.55","2,936.85","2,857.40","2,876.50","2,870.00","2,865.50","2,899.36","3,269.95","1,907.10",447643,"1,297,879,619.55",32370
2015-02-02,EQ,"2,877.95","2,888.80","2,810.00","2,865.50","2,835.00","2,833.20","2,846.06","3,269.95","1,907.10",298183,"848,645,301.50",27200
2015-02-03,EQ,"2,857.50","2,860.00","2,791.00","2,833.20","2,815.05","2,812.40","2,815.08","3,269.95","1,907.10",377426,"1,062,485,888.90",23788
2015-02-04,EQ,"2,770.00","2,864.00","2,750.00","2,812.40","2,825.00","2,829.50","2,794.74","3,269.95","1,907.10",902976,"2,523,587,651.05",45671
