date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,239.15,241.15,237.7,236.95,240.1,239.9,239.63,255.95,84.9,8213627,"1,968,208,407.95",46115
2020-12-29,EQ,241.9,242.0,234.3,239.9,234.9,235.6,236.62,255.95,84.9,9405315,"2,225,450,876.90",60636
2020-12-30,EQ,236.4,239.15,232.65,235.6,236.45,237.4,235.77,255.95,84.9,8480116,"1,999,365,021.20",46855
2020-12-31,EQ,236.4,241.9,234.7,237.4,239.2,240.55,238.72,255.95,84.9,10380624,"2,478,012,227.95",59390
2021-01-01,EQ,239.0,240.0,237.6,240.55,238.25,238.35,238.52,255.95,84.9,5091899,"1,214,513,219.75",40872
2021-01-04,EQ,240.9,258.0,239.55,238.35,254.8,254.3,248.96,258.0,84.9,24902369,"6,199,644,820.35",133973
2021-01-05,EQ,251.1,252.75,247.0,254.3,249.8,250.3,249.18,258.0,84.9,12297457,"3,064,290,991.45",75525
2021-01-06,EQ,250.75,260.0,247.75,250.3,259.2,259.05,254.54,260.0,84.9,18029077,"4,589,173,186.45",91495
2021-01-07,EQ,261.45,275.4,261.0,259.05,271.5,272.9,270.79,275.4,84.9,32739259,"8,865,618,130.60",189225
2021-01-08,EQ,273.95,274.45,265.15,272.9,267.6,268.2,268.91,275.4,84.9,20606695,"5,541,245,364.15",107247
2021-01-11,EQ,267.6,269.4,258.0,268.2,263.75,264.7,262.52,275.4,84.9,13163440,"3,455,658,397.30",106214
2021-01-12,EQ,260.45,270.5,260.45,264.7,263.8,264.35,266.47,275.4,84.9,13136084,"3,500,371,702.60",84048
2021-01-13,EQ,265.5,268.4,258.85,264.35,261.65,262.65,263.11,275.4,84.9,13300126,"3,499,446,391.60",153390
2021-01-14,EQ,262.7,265.1,259.55,262.65,261.15,261.4,261.76,275.4,84.9,7601547,"1,989,799,400.15",59248
2021-01-15,EQ,262.0,263.3,251.1,261.4,253.5,253.35,255.67,275.4,84.9,17738049,"4,535,098,840.45",178249
2021-01-18,EQ,252.3,254.25,240.6,253.35,242.5,243.15,243.42,275.4,84.9,17989695,"4,379,021,808.90",147618
2021-01-19,EQ,246.5,252.65,243.35,243.15,251.95,251.55,247.85,275.4,84.9,10254337,"2,541,555,737.60",58663
2021-01-20,EQ,251.6,253.65,248.6,251.55,251.6,252.1,251.34,275.4,84.9,11090894,"2,787,597,441.30",71252
2021-01-21,EQ,252.85,254.55,246.45,252.1,250.4,248.9,251.12,275.4,84.9,8781513,"2,205,191,322.95",90360
2021-01-22,EQ,247.25,249.8,235.55,248.9,239.6,239.2,240.58,275.4,84.9,16005359,"3,850,585,188.30",114993
2021-01-25,EQ,240.7,243.9,233.6,239.2,240.45,240.3,239.62,275.4,84.9,8297942,"1,988,332,577.30",64528
2021-01-27,EQ,240.0,240.05,229.75,240.3,230.75,231.4,233.8,275.4,84.9,14139166,"3,305,750,581.75",126056
2021-01-28,EQ,225.0,232.1,224.55,231.4,228.75,229.05,228.41,275.4,84.9,13756664,"3,142,104,316.50",85256
2021-01-29,EQ,230.1,234.3,225.0,229.05,226.1,226.3,229.83,275.4,84.9,14992241,"3,445,666,479.80",104054
2021-02-01,EQ,227.35,243.95,226.55,226.3,242.0,241.15,234.75,275.4,84.9,12417894,"2,915,158,414.35",121835
2021-02-02,EQ,244.2,257.4,243.9,241.15,254.5,255.35,252.61,275.4,84.9,18251184,"4,610,411,469.05",123738
2021-02-03,EQ,254.0,263.4,252.55,255.35,257.0,257.25,257.81,275.4,84.9,15670948,"4,040,053,779.00",105090
2021-02-04,EQ,259.95,267.4,258.95,257.25,262.65,261.85,263.9,275.4,84.9,21296401,"5,620,221,094.55",145683
2021-02-05,EQ,264.0,266.0,255.9,261.85,262.6,262.05,261.6,275.4,84.9,12833374,"3,357,262,271.00",86179
2021-02-08,EQ,264.0,280.55,263.55,262.05,278.55,278.95,274.29,280.55,84.9,27556901,"7,558,600,563.50",207524
2021-02-09,EQ,278.55,285.9,275.65,278.95,278.95,278.05,281.42,285.9,84.9,22066741,"6,210,101,038.40",145738
2021-02-10,EQ,281.0,283.35,274.7,278.05,279.7,279.4,279.4,285.9,84.9,16789592,"4,690,993,975.65",132892
2021-02-11,EQ,280.8,297.35,279.85,279.4,294.8,295.4,290.91,297.35,84.9,47356292,"13,776,236,101.50",287892
