date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,759.3,761.9,754.15,760.1,759.5,758.45,757.96,829.75,537.2,372132,"282,062,601.50",11013
2015-01-02,EQ,757.0,766.0,752.65,758.45,757.05,755.95,759.92,829.75,537.2,1207322,"917,466,399.75",38908
2015-01-05,EQ,759.75,761.9,755.1,755.95,759.9,760.3,759.08,829.75,537.2,849252,"644,649,728.30",22009
2015-01-06,EQ,767.0,779.9,755.4,760.3,772.0,774.7,769.78,829.75,537.2,2738679,"2,108,180,902.75",53735
2015-01-07,EQ,779.0,806.8,779.0,774.7,799.5,801.9,799.0,829.75,537.2,3744143,"2,991,572,167.90",72153
2015-01-08,EQ,803.9,825.0,803.15,801.9,816.9,817.05,816.92,829.75,537.2,3076833,"2,513,536,267.80",66409
2015-01-09,EQ,818.5,868.4,817.05,817.05,864.85,864.6,846.88,868.4,537.2,3825060,"3,239,378,445.95",99634
2015-01-12,EQ,867.5,899.8,864.25,864.6,899.0,896.6,888.33,899.8,537.2,4338065,"3,853,617,198.95",124491
2015-01-13,EQ,899.95,908.65,876.4,896.6,884.45,884.55,889.9,908.65,537.2,3371700,"3,000,470,138.85",80829
2015-01-14,EQ,888.8,934.5,886.0,884.55,930.15,924.05,909.71,934.5,537.2,4578199,"4,164,847,262.05",88191
2015-01-15,EQ,934.95,937.4,909.7,924.05,923.0,921.55,920.19,937.4,537.2,3534537,"3,252,447,327.10",64719
2015-01-16,EQ,928.0,947.0,925.0,921.55,947.0,941.05,936.83,947.0,537.2,2021113,"1,893,438,916.90",45523
2015-01-19,EQ,946.3,947.4,886.05,941.05,893.7,892.55,911.24,947.4,542.0,7705398,"7,021,469,122.05",157290
2015-01-20,EQ,889.9,903.0,877.75,892.55,896.0,895.45,886.54,947.4,542.0,4355821,"3,861,621,378.55",88410
2015-01-21,EQ,897.0,948.4,888.5,895.45,943.25,941.95,922.67,948.4,542.0,4103989,"3,786,618,194.25",97260
2015-01-22,EQ,944.0,961.3,931.3,941.95,944.3,944.65,947.14,961.3,542.0,3585572,"3,396,030,994.10",82425
2015-01-23,EQ,947.0,968.85,944.65,944.65,963.5,965.3,958.52,968.85,542.0,2450001,"2,348,368,330.95",58104
2015-01-27,EQ,962.1,967.9,936.6,965.3,940.3,941.95,945.82,968.85,542.0,3274894,"3,097,467,636.30",81022
2015-01-28,EQ,938.0,940.8,928.15,941.95,931.7,933.85,934.82,968.85,542.0,2246526,"2,100,100,095.95",49699
