date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,352.7,353.45,350.2,353.1,353.0,352.3,351.84,"1,798.15",319.2,2348437,"826,267,124.75",27807
2015-01-02,EQ,352.0,363.5,352.0,352.3,363.0,362.3,360.06,"1,798.15",319.2,7520900,"2,708,011,767.90",80098
2015-01-05,EQ,365.3,367.4,361.5,362.3,363.5,363.05,364.41,"1,798.15",319.2,9378264,"3,417,514,586.10",87835
2015-01-06,EQ,359.4,359.9,346.2,363.05,346.4,347.65,351.8,"1,798.15",319.2,12074934,"4,247,973,198.15",122618
2015-01-07,EQ,345.6,346.25,335.45,347.65,340.5,338.25,339.25,"1,798.15",319.2,19322120,"6,555,032,909.10",181732
2015-01-08,EQ,345.0,348.5,341.2,338.25,347.55,347.45,344.66,"1,798.15",319.2,11416495,"3,934,774,729.65",141969
2015-01-09,EQ,349.95,350.4,337.1,347.45,342.5,341.85,342.64,"1,798.15",319.2,14273664,"4,890,673,115.65",167559
2015-01-12,EQ,342.75,347.6,338.7,341.85,346.65,346.55,343.24,"1,798.15",319.2,7549196,"2,591,172,612.10",109753
2015-01-13,EQ,349.0,349.0,339.75,346.55,341.75,340.9,343.63,"1,798.15",319.2,11909862,"4,092,608,920.10",140379
2015-01-14,EQ,339.25,341.8,333.0,340.9,338.25,336.9,337.4,"1,798.15",319.2,11934486,"4,026,752,623.15",184807
2015-01-15,EQ,352.15,356.0,347.55,336.9,350.8,352.85,352.24,"1,798.15",319.2,15148172,"5,335,838,458.80",132547
2015-01-16,EQ,352.85,354.6,347.45,352.85,353.65,353.85,352.15,"1,798.15",319.2,13387860,"4,714,497,663.10",99777
2015-01-19,EQ,355.5,361.8,353.5,353.85,360.05,360.8,358.89,"1,798.15",319.2,9342741,"3,353,036,301.75",92450
2015-01-20,EQ,359.7,369.25,359.7,360.8,367.0,367.75,364.28,"1,798.15",319.2,10434191,"3,801,000,536.85",159902
2015-01-21,EQ,366.5,370.95,365.15,367.75,367.3,368.45,367.66,"1,798.15",319.2,11325320,"4,163,885,999.40",112010
2015-01-22,EQ,368.9,372.3,364.6,368.45,369.0,369.8,368.77,"1,798.15",319.2,8473578,"3,124,836,739.40",84159
2015-01-23,EQ,374.9,375.5,368.7,369.8,369.0,370.7,371.63,"1,798.15",319.2,12295955,"4,569,516,253.10",112767
2015-01-27,EQ,374.5,384.8,372.7,370.7,383.8,383.5,379.52,"1,798.15",319.2,12666170,"4,807,103,325.50",138958
2015-01-28,EQ,382.95,393.4,381.6,383.5,382.4,384.05,386.08,"1,798.15",319.2,13443355,"5,190,226,298.40",156803
2015-01-29,EQ,380.1,383.8,375.55,384.05,380.7,380.3,378.9,"1,798.15",319.2,20077509,"7,607,448,495.85",180319
2015-01-30,EQ,381.45,382.0,354.65,380.3,360.25,360.7,366.87,"1,798.15",319.2,28520214,"10,463,121,602.05",219597
2015-02-02,EQ,360.3,360.7,350.0,360.7,352.4,351.85,352.93,"1,798.15",319.2,33787236,"11,924,520,602.10",213512
2015-02-03,EQ,352.0,356.8,345.1,351.85,347.0,346.6,349.32,"1,798.15",319.2,23614228,"8,249,025,011.35",174052
2015-02-04,EQ,346.05,347.25,340.25,346.6,346.0,344.65,343.87,"1,798.15",319.2,14217669,"4,889,067,085.50",124218
2015-02-05,EQ,340.9,345.3,332.75,344.65,335.15,335.6,340.16,"1,798.15",319.2,17065308,"5,804,960,469.50",170929
2015-02-06,EQ,336.0,340.0,327.7,335.6,329.7,329.35,333.6,"1,798.15",319.2,16192519,"5,401,900,988.75",135566
2015-02-09,EQ,327.5,327.5,318.5,329.35,322.1,320.05,322.07,"1,798.15",318.5,13937170,"4,488,786,254.05",127474
2015-02-10,EQ,318.5,335.0,316.4,320.05,331.9,331.05,327.08,"1,798.15",316.4,28455706,"9,307,433,648.00",260903
2015-02-11,EQ,334.1,339.95,333.95,331.05,335.0,334.7,336.95,"1,798.15",316.4,12483808,"4,206,388,074.20",114431
2015-02-12,EQ,338.2,341.35,330.0,334.7,340.2,339.15,334.11,"1,798.15",316.4,13065784,"4,365,465,817.00",141311
2015-02-13,EQ,344.0,345.9,340.2,339.15,343.75,343.85,343.21,"1,798.15",316.4,9024125,"3,097,176,227.90",94239
2015-02-16,EQ,346.95,346.95,336.4,343.85,337.85,338.05,340.9,"1,798.15",316.4,10076386,"3,435,037,595.15",121239
2015-02-18,EQ,339.7,344.0,339.7,338.05,342.95,342.4,342.39,"1,798.15",316.4,8027362,"2,748,468,037.10",72248
2015-02-19,EQ,340.1,343.85,332.25,342.4,340.0,338.55,337.01,"1,798.15",316.4,9387695,"3,163,746,656.80",83697
2015-02-20,EQ,335.0,335.8,328.5,338.55,330.45,330.95,332.27,"1,798.15",316.4,15633646,"5,194,622,342.20",162730
2015-02-23,EQ,333.0,334.5,327.0,330.95,327.9,329.0,331.55,"1,798.15",316.4,11124358,"3,688,314,278.00",139358
2015-02-24,EQ,329.5,331.4,324.5,329.0,326.8,326.05,327.38,"1,798.15",316.4,11070604,"3,624,308,784.05",109918
2015-02-25,EQ,327.6,331.0,321.25,326.05,323.9,322.5,326.53,"1,798.15",316.4,16390828,"5,352,118,668.80",201292
2015-02-26,EQ,324.7,325.45,320.15,322.5,321.9,321.3,322.22,"1,798.15",316.4,16687554,"5,377,025,327.50",134500
