date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,803.40,814.70,798.40,802.45,813.00,812.00,807.73,814.70,369.5,819116,"661,626,588.80",14192
2015-01-02,EQ,816.00,823.35,812.00,812.00,815.05,815.90,816.65,823.35,369.5,640249,"522,861,794.60",10890
2015-01-05,EQ,818.00,821.80,812.05,815.90,816.50,819.10,817.07,823.35,369.5,336910,"275,277,835.00",12396
2015-01-06,EQ,816.00,816.00,792.35,819.10,797.40,798.40,804.50,823.35,369.5,485801,"390,825,812.25",10566
2015-01-07,EQ,800.10,805.50,786.55,798.40,793.10,791.95,794.28,823.35,369.5,737973,"586,158,362.20",17737
2015-01-08,EQ,800.00,804.50,788.45,791.95,796.50,798.70,795.70,823.35,369.5,623621,"496,216,823.75",14756
2015-01-09,EQ,804.00,810.80,791.55,798.70,795.00,802.00,801.96,823.35,369.5,544145,"436,383,467.50",13441
2015-01-12,EQ,804.95,839.20,797.00,802.00,836.00,829.45,819.90,839.20,369.5,896776,"735,263,353.75",19954
2015-01-13,EQ,845.00,849.15,820.05,829.45,821.15,825.50,837.72,849.15,369.5,3264664,"2,734,864,626.15",67468
2015-01-14,EQ,831.70,832.90,811.10,825.50,820.45,816.65,820.28,849.15,369.5,1238612,"1,016,006,304.50",37490
2015-01-15,EQ,840.50,849.00,825.00,816.65,828.25,830.35,833.64,849.15,369.5,1493767,"1,245,262,666.70",40331
2015-01-16,EQ,831.70,837.85,813.30,830.35,833.50,831.85,829.27,849.15,369.5,1160723,"962,554,816.65",17518
2015-01-19,EQ,835.00,837.80,827.00,831.85,830.00,829.15,830.76,849.15,369.5,612731,"509,031,231.35",13363
2015-01-20,EQ,830.00,844.50,822.60,829.15,842.50,840.45,833.15,849.15,369.5,1318766,"1,098,731,713.45",18082
2015-01-21,EQ,845.00,859.50,839.45,840.45,841.15,842.55,849.90,859.50,369.5,1462665,"1,243,117,772.75",33975
2015-01-22,EQ,838.50,851.80,837.60,842.55,848.95,846.25,845.89,859.50,369.5,553285,"468,020,444.25",11037
2015-01-23,EQ,853.00,863.95,851.00,846.25,856.95,857.35,857.05,863.95,369.5,1179588,"1,010,962,510.75",22942
2015-01-27,EQ,857.00,870.00,851.40,857.35,861.00,863.25,861.80,870.00,369.5,840924,"724,710,705.60",19164
2015-01-28,EQ,859.95,880.00,858.20,863.25,867.15,868.75,870.31,880.00,369.5,925540,"805,509,698.15",20802
2015-01-29,EQ,863.50,878.95,862.95,868.75,874.55,876.05,869.93,880.00,369.5,687051,"597,683,700.05",15675
2015-01-30,EQ,877.00,884.80,866.25,876.05,869.05,870.20,872.70,884.80,369.5,888368,"775,278,845.55",18511
2015-02-02,EQ,865.10,877.85,856.10,870.20,876.70,874.55,867.19,884.80,371.75,666544,"578,023,287.00",18426
2015-02-03,EQ,876.60,889.80,857.25,874.55,860.00,861.35,869.65,889.80,371.75,1013403,"881,308,706.55",18052
2015-02-04,EQ,864.60,872.30,851.25,861.35,859.00,863.30,861.13,889.80,371.75,907333,"781,335,903.30",21797
2015-02-05,EQ,861.90,883.35,851.00,863.30,860.80,865.40,868.64,889.80,371.75,704581,"612,030,113.25",12758
2015-02-06,EQ,863.80,868.30,840.50,865.40,842.10,845.30,850.53,889.80,371.75,465226,"395,687,489.85",9893
2015-02-09,EQ,838.75,838.75,820.50,845.30,824.00,825.15,827.82,889.80,371.75,573650,"474,876,557.55",17766
