date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
24-Dec-2021,EQ,113.45,113.5,109.8,112.15,110.3,110.25,111.01,141.5,84.2,11602146,"1,288,012,014.35",65246
23-Dec-2021,EQ,109.9,112.45,109.7,109.05,112.35,112.15,111.75,141.5,84.2,10285091,"1,149,350,446.80",70909
22-Dec-2021,EQ,110.05,110.05,108.25,109.5,109.45,109.05,109.04,141.5,84.2,10895989,"1,188,102,535.20",66254
21-Dec-2021,EQ,109.5,110.3,108.65,108.75,109.65,109.5,109.52,141.5,84.2,8388306,"918,668,294.30",70768
20-Dec-2021,EQ,112.0,112.5,108.15,112.85,108.65,108.75,109.57,141.5,84.2,11809254,"1,293,998,677.75",91106
17-Dec-2021,EQ,115.95,116.0,112.35,115.75,113.0,112.85,113.43,141.5,84.2,11765814,"1,334,566,443.05",77434
16-Dec-2021,EQ,116.7,117.15,115.45,115.7,115.75,115.75,116.11,141.5,84.2,10633707,"1,234,691,395.00",55784
15-Dec-2021,EQ,117.7,118.4,115.5,117.9,115.65,115.7,116.53,141.5,84.2,11957959,"1,393,428,152.25",75500
14-Dec-2021,EQ,119.0,119.2,117.15,118.3,117.6,117.9,118.14,141.5,84.2,11614836,"1,372,165,329.80",66250
13-Dec-2021,EQ,121.0,121.3,117.85,120.05,118.3,118.3,119.37,141.5,84.2,13574697,"1,620,450,304.60",62442
10-Dec-2021,EQ,120.0,121.3,119.6,119.7,120.0,120.05,120.28,141.5,84.2,13554843,"1,630,416,514.65",58724
09-Dec-2021,EQ,121.0,121.5,119.45,120.4,119.9,119.7,120.32,141.5,84.2,12864956,"1,547,946,307.60",84012
08-Dec-2021,EQ,121.65,122.55,120.0,120.6,120.5,120.4,121.08,141.5,84.2,9800225,"1,186,638,094.35",68902
07-Dec-2021,EQ,121.8,123.35,120.25,120.95,120.8,120.6,121.61,141.5,84.2,9643120,"1,172,668,242.50",65633
06-Dec-2021,EQ,122.45,123.1,120.5,122.2,120.75,120.95,121.36,141.5,84.2,6252846,"758,839,325.55",50674
03-Dec-2021,EQ,121.0,122.85,120.75,120.65,122.4,122.2,122.0,141.5,84.1,9910726,"1,209,103,889.35",62657
02-Dec-2021,EQ,118.0,121.1,117.9,117.7,120.9,120.65,120.16,141.5,84.1,13790719,"1,657,061,370.60",86978
01-Dec-2021,EQ,119.65,119.95,116.5,118.95,117.95,117.7,117.81,141.5,84.1,13247777,"1,560,694,339.55",65854
30-Nov-2021,EQ,119.0,120.9,117.85,118.8,118.55,118.95,119.18,141.5,84.1,18375929,"2,189,982,227.10",95194
29-Nov-2021,EQ,119.55,120.95,117.85,120.95,118.75,118.8,119.31,141.5,84.1,10535707,"1,256,978,531.30",62706
26-Nov-2021,EQ,125.6,125.6,120.5,125.65,121.15,120.95,122.42,141.5,84.0,7725288,"945,760,204.40",73424
25-Nov-2021,EQ,127.6,128.0,124.5,127.6,126.15,125.65,125.66,141.5,84.0,6387962,"802,738,446.95",72471
24-Nov-2021,EQ,126.7,129.3,126.4,126.15,127.2,127.6,128.08,141.5,84.0,8101605,"1,037,666,457.40",85391
23-Nov-2021,EQ,124.0,126.85,123.75,124.5,125.9,126.15,125.56,141.5,84.0,12297812,"1,544,085,489.70",62370
22-Nov-2021,EQ,129.55,129.9,124.05,129.35,124.75,124.5,126.03,141.5,84.0,7749576,"976,716,885.80",67153
18-Nov-2021,EQ,128.45,130.25,127.6,128.45,129.2,129.35,129.09,141.5,83.4,7260896,"937,314,766.25",62642
17-Nov-2021,EQ,130.9,131.4,128.15,131.0,128.45,128.45,129.47,141.5,83.4,6220901,"805,445,129.45",47814
16-Nov-2021,EQ,133.4,133.5,130.65,132.85,130.7,131.0,131.66,141.5,83.4,6492595,"854,830,387.75",47363
15-Nov-2021,EQ,133.25,134.15,132.0,132.95,132.6,132.85,132.82,141.5,83.4,5872665,"780,025,839.80",50371
12-Nov-2021,EQ,134.0,134.8,132.05,133.3,133.2,132.95,133.13,141.5,80.1,9503361,"1,265,152,758.35",54366
11-Nov-2021,EQ,134.15,135.6,132.6,139.45,133.75,133.3,133.99,141.5,80.1,12699644,"1,701,610,028.25",118358
10-Nov-2021,EQ,139.4,141.3,138.7,139.7,139.7,139.45,139.93,141.5,80.1,10244603,"1,433,544,810.60",81264
09-Nov-2021,EQ,141.45,141.5,138.95,140.45,139.7,139.7,139.78,141.5,80.1,12921755,"1,806,141,811.55",75191
08-Nov-2021,EQ,135.0,140.9,134.25,134.65,140.75,140.45,138.56,140.9,80.1,24833133,"3,440,831,915.50",123764
04-Nov-2021,EQ,134.95,135.0,133.55,132.55,134.9,134.65,134.59,140.0,76.85,3324144,"447,389,306.30",43331
03-Nov-2021,EQ,130.8,135.0,130.4,130.8,132.7,132.55,133.02,140.0,76.85,20760692,"2,761,556,428.65",106754
02-Nov-2021,EQ,132.55,133.0,130.55,131.65,130.7,130.8,131.58,140.0,76.85,9688784,"1,274,836,325.35",57422
01-Nov-2021,EQ,132.1,132.85,126.6,127.95,131.5,131.65,129.46,140.0,76.85,17879133,"2,314,649,687.30",92592
29-Oct-2021,EQ,128.0,130.0,126.45,128.65,128.0,127.95,128.38,140.0,76.1,8408925,"1,079,548,005.05",49866
28-Oct-2021,EQ,130.8,131.4,127.75,130.8,128.95,128.65,129.09,140.0,76.1,9267487,"1,196,306,113.85",56329
27-Oct-2021,EQ,131.75,133.0,130.25,131.5,130.8,130.8,131.66,140.0,76.1,8941463,"1,177,262,811.70",50203
26-Oct-2021,EQ,131.0,132.4,130.05,130.45,131.95,131.5,131.34,140.0,76.1,10132403,"1,330,768,634.65",59531
25-Oct-2021,EQ,131.6,132.4,128.45,130.7,130.6,130.45,130.66,140.0,76.1,10037225,"1,311,500,344.20",55185
22-Oct-2021,EQ,132.55,133.65,130.0,131.65,130.85,130.7,131.28,140.0,74.6,10917937,"1,433,341,146.15",80528
21-Oct-2021,EQ,132.05,135.5,130.7,130.55,131.65,131.65,133.39,140.0,74.6,18346637,"2,447,339,760.35",107457
20-Oct-2021,EQ,133.2,134.3,129.65,133.8,130.95,130.55,131.37,140.0,74.6,10755221,"1,412,930,131.10",64884
19-Oct-2021,EQ,136.65,137.25,133.35,136.35,133.6,133.8,135.17,140.0,74.6,10316614,"1,394,472,922.15",45078
18-Oct-2021,EQ,140.0,140.0,135.7,134.4,136.25,136.35,137.07,140.0,74.6,14763816,"2,023,719,183.05",73512
14-Oct-2021,EQ,132.0,135.5,131.0,131.25,134.25,134.4,134.16,135.5,73.75,14040736,"1,883,705,451.10",95227
13-Oct-2021,EQ,131.95,132.35,130.3,131.25,131.25,131.25,131.52,134.9,73.75,9164815,"1,205,314,825.30",59359
12-Oct-2021,EQ,131.85,132.55,129.3,131.55,130.9,131.25,130.79,134.9,73.75,9992741,"1,306,982,713.35",52673
11-Oct-2021,EQ,132.15,133.95,131.2,131.8,131.85,131.55,132.14,134.9,73.75,6307813,"833,510,165.85",43023
08-Oct-2021,EQ,133.55,134.45,130.85,132.25,131.8,131.8,132.35,134.9,73.75,9093264,"1,203,499,443.70",55985
07-Oct-2021,EQ,130.5,132.9,129.85,130.1,132.1,132.25,131.84,134.9,73.75,12699622,"1,674,320,287.55",82297
06-Oct-2021,EQ,130.9,134.9,129.35,129.9,129.5,130.1,131.52,134.9,73.75,25424490,"3,343,807,192.05",122022
05-Oct-2021,EQ,126.25,130.6,126.25,126.25,130.15,129.9,129.6,130.6,73.75,20207254,"2,618,827,174.60",104792
04-Oct-2021,EQ,127.8,128.35,125.5,127.4,126.15,126.25,126.51,128.85,73.75,7563511,"956,895,249.65",53230
01-Oct-2021,EQ,125.65,128.85,125.0,125.3,127.05,127.4,126.83,128.85,73.0,13390167,"1,698,317,899.75",76913
30-Sep-2021,EQ,127.45,128.5,124.35,127.45,125.2,125.3,126.06,128.5,73.0,11997043,"1,512,357,734.75",66677
29-Sep-2021,EQ,122.25,128.0,122.0,122.95,127.9,127.45,126.22,128.0,73.0,19848536,"2,505,228,190.40",99284
28-Sep-2021,EQ,118.7,123.9,118.7,118.65,122.85,122.95,122.0,123.9,73.0,20386843,"2,487,188,700.95",100551
27-Sep-2021,EQ,118.15,118.85,117.5,117.25,118.2,118.65,118.26,119.45,73.0,9939220,"1,175,422,527.95",45897
24-Sep-2021,EQ,118.0,118.95,116.0,118.0,117.1,117.25,117.29,119.45,71.65,7922579,"929,216,919.25",42079
23-Sep-2021,EQ,117.0,118.65,116.8,116.45,117.85,118.0,117.49,119.45,71.65,8928265,"1,049,013,840.35",59076
22-Sep-2021,EQ,115.05,116.8,115.05,115.0,116.4,116.45,116.1,119.45,71.65,7834585,"909,557,768.70",42434
21-Sep-2021,EQ,114.55,115.65,113.35,114.6,114.95,115.0,114.6,119.45,71.65,9380594,"1,074,993,543.05",44478
20-Sep-2021,EQ,116.5,117.7,114.4,118.25,114.8,114.6,115.89,119.45,71.65,9170924,"1,062,803,654.50",48199
17-Sep-2021,EQ,118.7,119.45,116.1,118.35,117.8,118.25,118.1,119.45,71.65,34694650,"4,097,375,124.85",78075
16-Sep-2021,EQ,116.7,119.0,116.15,116.4,118.55,118.35,117.71,119.0,71.65,14086068,"1,658,049,249.00",72924
15-Sep-2021,EQ,115.45,116.85,115.2,115.25,116.7,116.4,116.25,117.85,71.65,12683906,"1,474,557,493.20",55201
14-Sep-2021,EQ,114.0,115.9,114.0,114.0,115.15,115.25,115.16,117.85,71.65,9235074,"1,063,539,537.60",54010
13-Sep-2021,EQ,112.8,114.25,112.5,112.8,114.0,114.0,113.37,117.85,71.65,8755616,"992,589,677.90",49194
09-Sep-2021,EQ,112.65,114.65,112.4,112.6,112.95,112.8,113.42,117.85,71.65,13322585,"1,511,043,809.55",62703
08-Sep-2021,EQ,111.1,112.9,111.1,111.85,112.3,112.6,112.26,117.85,71.65,8331481,"935,303,633.80",45984
07-Sep-2021,EQ,111.6,112.45,110.7,111.6,111.75,111.85,111.58,117.85,71.65,7583149,"846,164,867.70",35893
06-Sep-2021,EQ,113.75,113.8,111.25,113.1,111.35,111.6,112.17,117.85,71.65,7535291,"845,257,102.30",43890
03-Sep-2021,EQ,110.7,113.5,110.1,110.15,112.95,113.1,112.36,117.85,71.65,15271194,"1,715,873,945.80",71313
02-Sep-2021,EQ,109.8,110.35,109.0,110.75,110.0,110.15,109.82,117.85,71.65,11510399,"1,264,102,208.80",70082
01-Sep-2021,EQ,111.0,111.7,109.6,110.85,110.55,110.75,110.67,117.85,71.65,11800119,"1,305,910,285.50",53029
31-Aug-2021,EQ,108.0,111.3,107.4,107.35,110.95,110.85,109.79,117.85,71.65,22323605,"2,450,861,124.75",87810
30-Aug-2021,EQ,106.4,108.2,106.1,105.95,107.65,107.35,107.13,117.85,71.65,12826846,"1,374,144,337.90",51929
27-Aug-2021,EQ,105.75,106.45,105.3,105.6,105.65,105.95,105.89,117.85,71.65,5570805,"589,881,818.35",30939
26-Aug-2021,EQ,105.9,106.05,104.7,106.1,105.85,105.6,105.28,117.85,71.65,7953133,"837,305,117.15",31877
25-Aug-2021,EQ,106.5,106.95,105.4,105.9,105.9,106.1,106.19,117.85,71.65,7541658,"800,839,630.60",40595
24-Aug-2021,EQ,103.9,106.2,103.65,103.0,105.75,105.9,105.24,117.85,71.65,11898392,"1,252,239,155.20",53238
23-Aug-2021,EQ,104.9,104.9,102.2,103.5,102.85,103.0,103.28,117.85,71.65,6954749,"718,282,147.80",38707
20-Aug-2021,EQ,105.45,105.5,103.0,106.2,103.2,103.5,103.96,117.85,71.65,10490839,"1,090,648,105.95",54616
18-Aug-2021,EQ,106.4,106.5,104.7,105.7,106.0,106.2,105.73,117.85,71.65,12592530,"1,331,423,461.35",52121
17-Aug-2021,EQ,107.3,108.25,104.7,107.2,105.8,105.7,106.4,117.85,71.65,17129194,"1,822,553,869.30",75062
16-Aug-2021,EQ,104.75,107.45,104.3,104.65,107.05,107.2,105.86,117.85,71.65,21879419,"2,316,231,487.25",79388
13-Aug-2021,EQ,104.0,105.0,103.75,104.1,104.5,104.65,104.49,117.85,71.65,6700217,"700,082,080.25",39646
12-Aug-2021,EQ,104.65,105.5,103.75,104.65,104.15,104.1,104.65,117.85,71.65,8961763,"937,873,299.55",50140
