date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,209.0,210.2,207.85,208.6,209.6,209.5,209.19,243.9,134.6,15741000,"3,292,793,547.20",113830
2020-12-29,EQ,210.5,213.5,210.1,209.5,211.65,211.55,211.71,243.9,134.6,26546469,"5,620,085,127.60",142222
2020-12-30,EQ,212.7,213.5,209.55,211.55,211.0,211.15,211.22,243.9,134.6,18925262,"3,997,317,224.35",104450
2020-12-31,EQ,210.55,211.3,208.55,211.15,209.1,209.0,209.66,243.9,134.6,18245270,"3,825,391,530.55",138886
2021-01-01,EQ,209.9,214.2,209.3,209.0,213.9,213.85,212.11,243.9,134.6,19527333,"4,141,864,682.90",97216
2021-01-04,EQ,214.0,216.0,212.1,213.85,213.9,213.4,214.25,243.9,134.6,26891799,"5,761,671,016.10",145021
2021-01-05,EQ,212.45,213.25,210.6,213.4,211.75,211.45,211.51,243.9,134.6,18024083,"3,812,279,051.10",125014
2021-01-06,EQ,211.45,211.5,204.5,211.45,205.3,205.4,207.11,243.9,134.6,49067837,"10,162,278,633.65",275629
2021-01-07,EQ,206.1,207.6,202.1,205.4,203.25,202.8,203.92,243.9,134.6,34952401,"7,127,409,107.00",195120
2021-01-08,EQ,204.35,206.0,200.25,202.8,202.1,201.5,202.74,243.9,134.6,56427360,"11,439,843,997.50",287998
2021-01-11,EQ,204.0,206.1,201.25,201.5,202.65,202.5,203.15,243.9,134.6,42970983,"8,729,643,633.05",218401
2021-01-12,EQ,203.0,206.9,201.6,202.5,206.5,206.45,204.4,243.9,134.6,35617404,"7,280,038,737.70",222088
2021-01-13,EQ,207.45,213.0,205.25,206.45,211.2,211.25,210.15,243.9,134.6,63925996,"13,433,736,685.45",318171
2021-01-14,EQ,212.0,216.5,211.6,211.25,214.1,214.15,214.33,243.9,134.6,48304263,"10,353,108,933.60",241528
2021-01-15,EQ,214.9,218.5,211.2,214.15,217.9,217.85,215.81,243.9,134.6,58321158,"12,586,267,200.95",302828
2021-01-18,EQ,218.4,222.0,214.6,217.85,218.05,219.75,218.93,243.25,134.6,67607822,"14,801,462,308.45",344233
2021-01-19,EQ,221.0,221.7,217.5,219.75,218.95,218.85,219.4,243.25,134.6,31785089,"6,973,555,286.95",156756
2021-01-20,EQ,218.5,219.0,215.7,218.85,217.2,217.65,217.39,243.25,134.6,44672447,"9,711,214,712.75",201237
2021-01-21,EQ,219.0,219.5,212.2,217.65,215.15,213.7,216.38,243.25,134.6,28999164,"6,274,901,671.35",158624
2021-01-22,EQ,214.0,214.75,209.15,213.7,211.2,210.7,211.49,243.25,134.6,24712182,"5,226,356,343.45",217555
2021-01-25,EQ,212.0,212.5,206.85,210.7,208.15,207.8,209.04,239.25,134.6,24967899,"5,219,403,902.90",144604
2021-01-27,EQ,208.0,212.65,207.1,207.8,210.75,210.65,210.69,239.25,134.6,48471357,"10,212,257,634.80",218996
