date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"1,263.80","1,265.00","1,251.10","1,263.90","1,261.75","1,258.60","1,259.52","1,315.50",630.5,250998,"316,137,720.85",9230
2015-01-02,EQ,"1,261.00","1,279.00","1,258.30","1,258.60","1,278.00","1,271.55","1,271.97","1,315.50",630.5,631815,"803,652,186.45",25080
2015-01-05,EQ,"1,272.10","1,278.85","1,262.00","1,271.55","1,267.60","1,266.45","1,266.77","1,315.50",630.5,305115,"386,510,013.10",15419
2015-01-06,EQ,"1,255.00","1,262.25","1,233.55","1,266.45","1,253.00","1,251.35","1,251.25","1,315.50",630.5,1134543,"1,419,602,569.35",45554
2015-01-07,EQ,"1,247.50","1,303.95","1,247.50","1,251.35","1,272.90","1,271.50","1,280.55","1,315.50",630.5,1785887,"2,286,921,521.05",29405
2015-01-08,EQ,"1,300.00","1,353.00","1,286.40","1,271.50","1,343.00","1,340.65","1,319.67","1,353.00",630.5,3454883,"4,559,317,758.60",76329
2015-01-09,EQ,"1,354.40","1,370.50","1,340.55","1,340.65","1,359.90","1,360.95","1,359.17","1,370.50",630.5,3218705,"4,374,769,882.35",53915
2015-01-12,EQ,"1,360.95","1,387.00","1,348.30","1,360.95","1,372.00","1,371.00","1,371.59","1,387.00",630.5,843421,"1,156,829,965.15",54143
2015-01-13,EQ,"1,372.00","1,409.85","1,367.70","1,371.00","1,397.50","1,392.95","1,391.35","1,409.85",630.5,960821,"1,336,842,377.05",50646
2015-01-14,EQ,"1,394.10","1,397.50","1,377.20","1,392.95","1,393.00","1,391.20","1,386.50","1,409.85",630.5,759290,"1,052,753,328.95",27053
2015-01-15,EQ,"1,438.00","1,444.00","1,392.05","1,391.20","1,394.90","1,400.40","1,407.67","1,444.00",630.5,1985409,"2,794,804,616.35",34097
2015-01-16,EQ,"1,387.00","1,400.00","1,380.00","1,400.40","1,396.95","1,395.35","1,385.94","1,444.00",630.5,1340300,"1,857,575,874.35",31500
2015-01-19,EQ,"1,393.20","1,399.00","1,382.00","1,395.35","1,392.00","1,389.45","1,389.95","1,444.00",630.5,877538,"1,219,735,708.10",24997
2015-01-20,EQ,"1,392.00","1,401.40","1,382.65","1,389.45","1,393.00","1,395.70","1,393.21","1,444.00",630.5,1891863,"2,635,753,728.40",71231
2015-01-21,EQ,"1,396.00","1,419.00","1,385.05","1,395.70","1,387.00","1,388.15","1,398.71","1,444.00",630.5,1342065,"1,877,159,047.45",51126
2015-01-22,EQ,"1,386.65","1,398.50","1,370.15","1,388.15","1,387.90","1,387.65","1,384.63","1,444.00",630.5,2000008,"2,769,274,633.50",30854
2015-01-23,EQ,"1,392.10","1,395.75","1,382.00","1,387.65","1,383.95","1,385.30","1,387.60","1,444.00",630.5,777406,"1,078,732,327.55",51659
2015-01-27,EQ,"1,383.40","1,393.00","1,362.30","1,385.30","1,390.15","1,388.35","1,374.22","1,444.00",630.5,843366,"1,158,974,630.45",41025
2015-01-28,EQ,"1,383.10","1,390.00","1,346.55","1,388.35","1,355.00","1,351.15","1,376.95","1,444.00",630.5,3720199,"5,122,528,468.60",52071
2015-01-29,EQ,"1,349.00","1,354.85","1,324.75","1,351.15","1,328.00","1,331.40","1,335.26","1,444.00",630.5,2250427,"3,004,908,577.35",80632
2015-01-30,EQ,"1,340.00","1,348.90","1,317.35","1,331.40","1,318.00","1,322.20","1,329.50","1,444.00",630.5,1399250,"1,860,300,026.40",66959
2015-02-02,EQ,"1,320.00","1,360.00","1,304.40","1,322.20","1,355.35","1,352.35","1,329.10","1,444.00",630.5,1656369,"2,201,477,414.65",38801
2015-02-03,EQ,"1,360.90","1,366.00","1,300.10","1,352.35","1,300.30","1,306.30","1,323.51","1,444.00",630.5,1530821,"2,026,049,431.65",65479
2015-02-04,EQ,"1,308.95","1,328.35","1,285.00","1,306.30","1,288.90","1,291.50","1,303.03","1,444.00",630.5,1178329,"1,535,400,208.60",32819
2015-02-05,EQ,"1,288.00","1,309.30","1,276.70","1,291.50","1,290.75","1,287.90","1,294.19","1,444.00",630.5,916400,"1,185,996,691.90",38547
2015-02-06,EQ,"1,287.90","1,288.30","1,262.85","1,287.90","1,265.00","1,266.90","1,273.87","1,444.00",630.5,608270,"774,856,055.10",35998
2015-02-09,EQ,"1,251.00","1,283.10","1,236.25","1,266.90","1,261.10","1,266.25","1,258.31","1,444.00",630.5,824236,"1,037,143,664.75",33453
2015-02-10,EQ,"1,249.00","1,299.35","1,249.00","1,266.25","1,286.25","1,285.75","1,278.31","1,444.00",630.5,1425991,"1,822,856,211.40",36255
2015-02-11,EQ,"1,297.00","1,301.95","1,280.35","1,285.75","1,298.00","1,298.70","1,294.79","1,444.00",630.5,561657,"727,225,562.45",21486
2015-02-12,EQ,"1,302.00","1,306.00","1,278.60","1,298.70","1,296.20","1,296.60","1,291.04","1,444.00",630.5,1025873,"1,324,442,690.55",31013
2015-02-13,EQ,"1,300.00","1,322.80","1,282.80","1,296.60","1,310.00","1,309.50","1,299.97","1,444.00",630.5,1145896,"1,489,625,879.75",29817
2015-02-16,EQ,"1,323.00","1,323.00","1,284.60","1,309.50","1,287.30","1,292.45","1,303.91","1,444.00",643.1,549110,"715,989,877.90",24894
2015-02-18,EQ,"1,291.90","1,312.20","1,283.85","1,292.45","1,302.65","1,307.80","1,299.35","1,444.00",643.1,688087,"894,066,004.60",28978
2015-02-19,EQ,"1,309.50","1,316.80","1,285.00","1,307.80","1,307.00","1,307.25","1,301.73","1,444.00",643.1,647915,"843,409,801.80",23335
2015-02-20,EQ,"1,306.90","1,315.00","1,290.35","1,307.25","1,292.00","1,298.25","1,302.33","1,444.00",643.1,598341,"779,236,490.50",23889
2015-02-23,EQ,"1,331.90","1,334.90","1,307.00","1,298.25","1,316.00","1,316.85","1,314.70","1,444.00",662.0,1778711,"2,338,467,025.65",59723
2015-02-24,EQ,"1,316.85","1,354.00","1,313.55","1,316.85","1,351.05","1,350.30","1,339.96","1,444.00",662.0,3012665,"4,036,862,096.95",70106
2015-02-25,EQ,"1,356.00","1,365.75","1,337.50","1,350.30","1,341.20","1,342.55","1,351.11","1,444.00",662.0,1925131,"2,601,072,050.45",28810
2015-02-26,EQ,"1,341.40","1,349.40","1,315.00","1,342.55","1,324.00","1,333.35","1,335.69","1,444.00",662.0,1928360,"2,575,683,300.90",29848
2015-02-27,EQ,"1,327.10","1,344.15","1,320.35","1,333.35","1,335.65","1,337.75","1,335.51","1,444.00",662.0,626490,"836,683,172.50",20232
2015-02-28,EQ,"1,347.50","1,408.00","1,330.00","1,337.75","1,402.25","1,397.05","1,372.31","1,444.00",662.0,1084005,"1,487,587,034.05",30910
2015-03-02,EQ,"1,404.00","1,424.95","1,398.55","1,397.05","1,406.00","1,404.70","1,409.92","1,444.00",665.45,1806388,"2,546,862,588.20",45147
2015-03-03,EQ,"1,409.00","1,417.50","1,403.65","1,404.70","1,406.05","1,408.70","1,409.36","1,444.00",665.45,1627970,"2,294,389,779.10",28545
2015-03-04,EQ,"1,436.00","1,457.75","1,400.30","1,408.70","1,408.65","1,410.25","1,439.97","1,457.75",665.45,4013071,"5,778,709,542.40",50103
2015-03-05,EQ,"1,404.00","1,422.00","1,402.00","1,410.25","1,420.00","1,412.25","1,409.73","1,457.75",665.45,1430259,"2,016,274,323.20",39277
2015-03-09,EQ,"1,404.95","1,404.95","1,358.70","1,412.25","1,367.85","1,364.60","1,374.38","1,457.75",700.35,726522,"998,520,915.10",32400
2015-03-10,EQ,"1,367.85","1,371.70","1,319.00","1,364.60","1,351.95","1,347.80","1,345.14","1,457.75",700.35,728663,"980,150,827.95",42438
2015-03-11,EQ,"1,343.00","1,384.90","1,339.70","1,347.80","1,376.00","1,375.90","1,367.28","1,457.75",700.35,541921,"740,957,246.85",17076
2015-03-12,EQ,"1,387.00","1,390.65","1,354.85","1,375.90","1,365.15","1,370.00","1,375.64","1,457.75",700.35,410797,"565,110,751.65",15485
2015-03-13,EQ,"1,390.00","1,390.00","1,335.40","1,370.00","1,343.00","1,341.25","1,352.85","1,457.75",700.35,383249,"518,477,851.90",14294
2015-03-16,EQ,"1,337.00","1,343.70","1,303.95","1,341.25","1,316.60","1,314.95","1,317.74","1,457.75",737.2,826611,"1,089,258,020.65",42476
2015-03-17,EQ,"1,325.00","1,346.85","1,313.10","1,314.95","1,338.00","1,339.65","1,330.43","1,457.75",737.2,436528,"580,767,826.45",21027
2015-03-18,EQ,"1,339.70","1,348.50","1,324.15","1,339.65","1,340.15","1,342.90","1,337.53","1,457.75",737.2,582065,"778,530,490.80",31720
2015-03-19,EQ,"1,350.00","1,362.75","1,316.35","1,342.90","1,320.00","1,325.70","1,341.35","1,457.75",737.2,761415,"1,021,327,022.35",27496
2015-03-20,EQ,"1,321.00","1,344.00","1,307.00","1,325.70","1,341.50","1,339.70","1,323.55","1,457.75",737.2,794887,"1,052,072,418.95",37664
2015-03-23,EQ,"1,341.50","1,344.20","1,326.50","1,339.70","1,338.00","1,335.85","1,335.04","1,457.75",744.3,467600,"624,262,770.50",18788
2015-03-24,EQ,"1,326.10","1,362.00","1,326.10","1,335.85","1,340.20","1,340.75","1,340.33","1,457.75",744.3,324316,"434,691,019.15",13846
2015-03-25,EQ,"1,338.10","1,342.50","1,318.05","1,340.75","1,318.40","1,326.55","1,333.13","1,457.75",744.3,368787,"491,642,279.15",18147
2015-03-26,EQ,"1,314.70","1,338.85","1,300.00","1,326.55","1,319.50","1,305.40","1,311.09","1,457.75",744.3,1996369,"2,617,414,670.05",27424
2015-03-27,EQ,"1,320.00","1,324.00","1,275.70","1,305.40","1,300.20","1,299.15","1,294.47","1,457.75",744.3,488569,"632,440,317.00",23270
2015-03-30,EQ,"1,301.40","1,319.55","1,290.75","1,299.15","1,310.00","1,311.85","1,306.06","1,457.75",750.0,851656,"1,112,317,695.35",21099
2015-03-31,EQ,"1,314.95","1,324.70","1,300.25","1,311.85","1,308.90","1,313.25","1,312.75","1,457.75",750.0,382251,"501,801,425.80",15784
2015-04-01,EQ,"1,322.90","1,368.80","1,305.20","1,313.25","1,362.50","1,361.05","1,332.14","1,457.75",750.0,482614,"642,908,121.00",21080
