date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,"1,275.00","1,291.00","1,266.50","1,262.20","1,290.00","1,289.40","1,281.96","1,383.70",661.00,3405825,"4,366,118,062.50",88694
2020-12-29,EQ,"1,294.95","1,295.05","1,267.70","1,289.40","1,286.20","1,284.85","1,281.22","1,383.70",661.00,3778319,"4,840,862,990.00",102729
2020-12-30,EQ,"1,288.20","1,296.35","1,271.00","1,284.85","1,290.45","1,292.05","1,282.31","1,383.70",661.00,2866392,"3,675,610,101.30",56395
2020-12-31,EQ,"1,293.00","1,304.00","1,282.00","1,292.05","1,288.15","1,287.60","1,293.95","1,383.70",661.00,3889877,"5,033,309,680.00",92338
2021-01-01,EQ,"1,283.00","1,299.95","1,283.00","1,287.60","1,296.65","1,297.00","1,294.82","1,383.70",661.00,2058419,"2,665,287,378.65",60674
2021-01-04,EQ,"1,305.00","1,322.55","1,302.00","1,297.00","1,315.55","1,314.60","1,313.38","1,383.70",661.00,4014636,"5,272,759,846.45",96746
2021-01-05,EQ,"1,307.00","1,313.00","1,295.05","1,314.60","1,306.50","1,306.30","1,303.68","1,383.70",661.00,2833637,"3,694,155,073.20",90653
2021-01-06,EQ,"1,308.00","1,330.00","1,300.00","1,306.30","1,314.65","1,314.00","1,318.01","1,383.70",661.00,4615963,"6,083,902,451.50",101860
2021-01-07,EQ,"1,330.00","1,346.80","1,325.00","1,314.00","1,341.00","1,338.95","1,339.79","1,383.70",661.00,4270598,"5,721,705,235.80",122878
2021-01-08,EQ,"1,349.80","1,382.95","1,347.00","1,338.95","1,374.60","1,373.40","1,370.01","1,383.70",661.00,4984995,"6,829,485,325.45",136691
2021-01-11,EQ,"1,382.00","1,384.95","1,345.00","1,373.40","1,352.90","1,350.00","1,355.09","1,384.95",661.00,3252470,"4,407,391,070.45",136739
2021-01-12,EQ,"1,354.00","1,366.85","1,344.05","1,350.00","1,350.70","1,349.80","1,353.16","1,384.95",661.00,2836161,"3,837,790,062.45",95218
2021-01-13,EQ,"1,354.00","1,373.00","1,344.30","1,349.80","1,350.00","1,352.50","1,355.98","1,384.95",661.00,4389762,"5,952,438,373.95",129768
2021-01-14,EQ,"1,358.00","1,389.70","1,356.25","1,352.50","1,377.00","1,376.60","1,375.59","1,389.70",661.00,5168591,"7,109,874,066.25",139084
2021-01-15,EQ,"1,376.70","1,384.50","1,345.05","1,376.60","1,357.20","1,354.15","1,362.76","1,389.70",661.00,2587576,"3,526,246,534.65",88909
2021-01-18,EQ,"1,345.20","1,353.85","1,326.15","1,354.15","1,327.75","1,336.05","1,340.15","1,389.70",661.00,3185998,"4,269,717,951.40",108901
2021-01-19,EQ,"1,340.05","1,382.00","1,337.00","1,336.05","1,370.40","1,369.85","1,367.17","1,389.70",661.00,3885798,"5,312,546,616.05",104089
2021-01-20,EQ,"1,369.00","1,393.05","1,362.55","1,369.85","1,380.75","1,382.65","1,382.87","1,393.05",661.00,3957992,"5,473,384,366.65",177458
2021-01-21,EQ,"1,395.00","1,396.00","1,361.05","1,382.65","1,374.85","1,371.30","1,384.60","1,396.00",661.00,2985423,"4,133,627,734.55",160770
2021-01-22,EQ,"1,362.00","1,375.00","1,348.50","1,371.30","1,363.35","1,362.10","1,359.04","1,396.00",661.00,3282665,"4,461,274,806.85",138207
2021-01-25,EQ,"1,370.00","1,396.40","1,342.00","1,362.10","1,363.40","1,361.30","1,374.79","1,396.40",661.00,4847989,"6,664,958,166.95",126721
2021-01-27,EQ,"1,368.80","1,392.70","1,330.10","1,361.30","1,357.50","1,359.85","1,362.20","1,396.40",661.00,8896211,"12,118,432,869.00",259368
