date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"1,238.00","1,243.80","1,230.10","1,234.45","1,237.00","1,237.05","1,236.29","1,433.70",846.60,356669,"440,946,152.60",8215
2015-01-02,EQ,"1,230.25","1,243.70","1,222.50","1,237.05","1,223.40","1,224.65","1,232.51","1,433.70",846.60,639928,"788,714,897.90",23313
2015-01-05,EQ,"1,220.10","1,248.00","1,217.00","1,224.65","1,219.00","1,218.45","1,229.19","1,433.70",846.60,728354,"895,288,065.50",26020
2015-01-06,EQ,"1,215.00","1,224.35","1,201.00","1,218.45","1,214.45","1,211.65","1,212.61","1,433.70",846.60,1289557,"1,563,731,378.15",54947
2015-01-07,EQ,"1,212.00","1,231.40","1,202.50","1,211.65","1,227.00","1,224.15","1,222.17","1,433.70",846.60,1094907,"1,338,165,873.70",53931
2015-01-08,EQ,"1,230.00","1,246.75","1,230.00","1,224.15","1,233.00","1,237.60","1,239.18","1,433.70",846.60,836206,"1,036,206,638.30",40850
2015-01-09,EQ,"1,242.80","1,246.00","1,225.20","1,237.60","1,242.00","1,238.20","1,234.90","1,433.70",846.60,766147,"946,114,562.15",44337
2015-01-12,EQ,"1,234.30","1,237.80","1,217.00","1,238.20","1,231.00","1,233.00","1,226.69","1,433.70",846.60,448842,"550,588,298.70",32588
2015-01-13,EQ,"1,230.00","1,261.10","1,230.00","1,233.00","1,248.00","1,248.80","1,245.27","1,433.70",846.60,739489,"920,862,072.55",71896
2015-01-14,EQ,"1,245.30","1,262.50","1,224.45","1,248.80","1,235.15","1,236.95","1,245.64","1,433.70",846.60,1415858,"1,763,648,578.10",28172
2015-01-15,EQ,"1,259.00","1,294.00","1,253.40","1,236.95","1,265.00","1,278.10","1,280.01","1,433.70",846.60,1429518,"1,829,801,533.00",48566
2015-01-16,EQ,"1,277.00","1,312.85","1,274.55","1,278.10","1,310.00","1,304.60","1,298.54","1,433.70",846.60,1065542,"1,383,645,710.15",40025
2015-01-19,EQ,"1,304.90","1,335.00","1,296.00","1,304.60","1,331.50","1,332.20","1,320.23","1,433.70",846.60,681229,"899,378,969.90",34765
2015-01-20,EQ,"1,333.20","1,339.00","1,315.30","1,332.20","1,327.00","1,325.25","1,326.05","1,433.70",846.60,919145,"1,218,830,016.90",42817
