date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,715.4,718.8,707.3,710.9,710.7,710.95,712.04,764.45,245.4,2484872,"1,769,327,134.30",47547
2020-12-29,EQ,714.5,717.0,704.0,710.95,706.9,707.05,707.96,764.45,245.4,2808820,"1,988,519,789.35",74287
2020-12-30,EQ,710.0,724.3,704.35,707.05,719.0,720.7,713.82,764.45,245.4,3219036,"2,297,803,036.95",63378
2020-12-31,EQ,719.75,725.55,713.5,720.7,721.05,720.6,719.82,764.45,245.4,3723205,"2,680,047,147.95",85033
2021-01-01,EQ,725.0,744.75,723.0,720.6,731.8,732.45,737.58,764.45,245.4,9543128,"7,038,851,416.55",141701
2021-01-04,EQ,735.0,751.0,727.25,732.45,749.0,749.1,739.26,764.45,245.4,4547027,"3,361,430,289.35",75632
2021-01-05,EQ,748.0,748.0,730.0,749.1,739.0,740.1,736.81,764.45,245.4,3551554,"2,616,817,598.80",89301
2021-01-06,EQ,741.0,746.45,730.45,740.1,733.0,736.1,739.57,764.45,245.4,3601608,"2,663,645,626.95",86314
2021-01-07,EQ,743.0,755.0,740.1,736.1,744.0,744.4,748.05,764.45,245.4,4063641,"3,039,798,279.85",82407
2021-01-08,EQ,750.0,772.8,745.0,744.4,767.0,770.5,763.38,772.8,245.4,5998381,"4,579,046,016.05",124731
2021-01-11,EQ,773.05,791.4,763.2,770.5,788.3,789.1,780.01,791.4,245.4,6643610,"5,182,069,815.05",110656
2021-01-12,EQ,789.95,796.75,777.4,789.1,779.3,779.85,785.66,796.75,245.4,5532160,"4,346,394,140.20",94202
2021-01-13,EQ,784.6,837.5,782.25,779.85,824.0,828.35,820.15,837.5,245.4,19610461,"16,083,512,888.40",267325
2021-01-14,EQ,828.9,843.85,827.35,828.35,829.4,829.9,833.55,843.85,245.4,8576718,"7,149,090,097.70",123976
2021-01-15,EQ,828.0,838.0,815.35,829.9,820.3,819.65,824.33,843.85,245.4,4996951,"4,119,120,367.35",102732
2021-01-18,EQ,817.9,820.8,797.15,819.65,800.05,809.0,810.89,843.85,245.4,3955069,"3,207,124,927.05",76032
2021-01-19,EQ,810.0,819.6,801.55,809.0,808.6,808.05,809.88,843.85,245.4,3991167,"3,232,380,794.05",73501
2021-01-20,EQ,807.0,831.95,802.0,808.05,822.0,824.5,819.32,843.85,245.4,4502291,"3,688,836,676.25",98933
2021-01-21,EQ,823.0,835.0,800.3,824.5,811.95,808.25,824.06,843.85,245.4,4455107,"3,671,266,765.60",103684
2021-01-22,EQ,808.0,826.7,795.0,808.25,798.0,798.4,810.65,843.85,245.4,5588252,"4,530,140,883.30",104048
2021-01-25,EQ,802.1,812.95,784.25,798.4,795.95,794.55,795.27,843.85,245.4,3353172,"2,666,679,504.65",80262
2021-01-27,EQ,797.0,817.0,763.4,794.55,765.15,769.95,794.22,843.85,245.4,6585102,"5,230,010,892.80",143137
2021-01-28,EQ,758.0,778.1,756.1,769.95,764.85,765.0,765.25,843.85,245.4,4622634,"3,537,492,428.35",137863
2021-01-29,EQ,772.55,799.95,746.0,765.0,753.0,749.6,773.41,843.85,245.4,8761073,"6,775,910,947.30",141358
2021-02-01,EQ,753.0,808.85,741.55,749.6,795.9,795.15,783.02,843.85,245.4,6592083,"5,161,706,513.85",117679
2021-02-02,EQ,810.0,837.4,802.6,795.15,820.0,816.85,821.75,843.85,245.4,5334431,"4,383,565,941.20",109265
2021-02-03,EQ,821.0,858.9,818.0,816.85,834.05,833.2,844.86,858.9,245.4,8802838,"7,437,176,609.75",158795
2021-02-04,EQ,835.0,893.55,835.0,833.2,868.0,866.5,873.14,893.55,245.4,14706560,"12,840,847,127.30",275270
2021-02-05,EQ,879.9,881.7,841.2,866.5,862.85,865.5,860.91,893.55,245.4,15668083,"13,488,861,315.80",276241
2021-02-08,EQ,891.0,952.05,891.0,865.5,929.5,928.4,929.21,952.05,245.4,21179625,"19,680,309,880.30",384902
2021-02-09,EQ,929.5,939.0,885.2,928.4,899.05,895.0,907.2,952.05,245.4,9210613,"8,355,878,100.60",201549
2021-02-10,EQ,899.0,917.0,886.1,895.0,915.0,914.15,904.39,952.05,245.4,6465767,"5,847,546,031.05",135337
2021-02-11,EQ,916.45,920.05,902.35,914.15,918.95,914.2,911.04,952.05,245.4,3640848,"3,316,962,691.35",81340
2021-02-12,EQ,916.0,918.55,905.0,914.2,906.85,908.55,910.92,952.05,245.4,2484145,"2,262,850,625.55",55757
2021-02-15,EQ,910.9,920.0,898.25,908.55,909.8,911.85,913.43,952.05,245.4,4178613,"3,816,857,195.15",101506
2021-02-16,EQ,915.0,921.75,902.1,911.85,912.3,912.2,913.39,952.05,245.4,4223635,"3,857,838,713.00",89139
2021-02-17,EQ,905.0,920.15,904.6,912.2,913.8,914.95,913.91,952.05,245.4,3903522,"3,567,485,650.40",75200
2021-02-18,EQ,914.95,914.95,891.65,914.95,895.0,894.45,899.71,952.05,245.4,4616205,"4,153,260,910.90",83021
2021-02-19,EQ,890.0,905.65,862.85,894.45,881.45,879.25,887.51,952.05,245.4,5171996,"4,590,190,464.75",94543
2021-02-22,EQ,880.0,882.5,833.1,879.25,838.2,837.1,846.41,952.05,245.4,5960870,"5,045,335,061.50",172141
2021-02-23,EQ,842.1,856.95,819.1,837.1,838.6,840.95,839.65,952.05,245.4,7348084,"6,169,808,165.45",124750
2021-02-24,EQ,841.1,855.9,840.0,840.95,848.0,849.6,849.2,952.05,245.4,3184114,"2,703,935,447.20",53001
2021-02-25,EQ,853.1,866.6,842.05,849.6,859.1,859.0,857.27,952.05,245.4,6134649,"5,259,055,374.70",108180
2021-02-26,EQ,848.05,856.65,798.5,859.0,804.9,806.4,816.75,952.05,245.4,12073749,"9,861,182,703.15",204735
2021-03-01,EQ,821.0,852.7,816.2,806.4,819.0,819.45,834.62,952.05,245.4,9223619,"7,698,245,071.20",168656
2021-03-02,EQ,832.95,868.0,820.05,819.45,857.0,860.05,851.29,952.05,245.4,9706013,"8,262,638,691.45",158577
2021-03-03,EQ,866.95,868.0,847.05,860.05,851.45,852.05,854.47,952.05,245.4,5028771,"4,296,950,702.35",93878
2021-03-04,EQ,841.85,858.3,834.8,852.05,844.9,845.25,848.12,952.05,245.4,4574138,"3,879,415,449.90",97622
2021-03-05,EQ,840.0,860.75,838.35,845.25,839.6,840.4,849.2,952.05,245.4,5179108,"4,398,095,919.70",94706
2021-03-08,EQ,847.95,857.35,840.0,840.4,848.7,851.0,849.33,952.05,245.4,3474579,"2,951,062,018.90",64819
2021-03-09,EQ,853.0,865.7,842.0,851.0,849.6,852.0,854.47,952.05,245.4,3536262,"3,021,617,217.80",62103
2021-03-10,EQ,856.4,875.0,849.0,852.0,861.4,863.8,859.76,952.05,245.4,3971353,"3,414,405,946.30",96468
2021-03-12,EQ,869.5,876.2,844.15,863.8,859.45,855.8,861.94,952.05,245.4,4012449,"3,458,476,809.15",84366
2021-03-15,EQ,862.0,862.0,824.0,855.8,845.5,844.4,838.32,952.05,245.4,3069343,"2,573,087,404.85",73054
2021-03-16,EQ,852.0,856.5,840.0,844.4,844.25,842.85,845.72,952.05,245.4,2996797,"2,534,450,956.00",80571
2021-03-17,EQ,847.6,851.35,833.7,842.85,837.8,836.95,842.28,952.05,245.4,2034583,"1,713,687,944.95",48959
2021-03-18,EQ,842.0,860.55,834.0,836.95,844.75,845.65,849.21,952.05,245.4,5033325,"4,274,371,683.35",109462
2021-03-19,EQ,839.95,860.0,820.55,845.65,857.3,850.3,841.11,952.05,245.4,7538327,"6,340,598,004.85",105525
2021-03-22,EQ,849.8,859.35,832.15,850.3,851.05,853.05,846.59,952.05,245.4,2906300,"2,460,449,611.55",88372
2021-03-23,EQ,859.95,865.0,841.5,853.05,842.0,844.65,855.25,952.05,245.4,3925212,"3,357,031,209.00",101772
2021-03-24,EQ,836.25,845.0,808.6,844.65,813.0,811.4,823.26,952.05,245.4,4066262,"3,347,608,799.25",92887
2021-03-25,EQ,811.8,814.0,788.1,811.4,793.35,791.7,799.99,952.05,245.4,4501404,"3,601,075,195.20",116184
2021-03-26,EQ,799.85,814.65,792.15,791.7,796.0,799.35,806.28,952.05,245.4,4170972,"3,362,965,724.15",79081
2021-03-30,EQ,805.55,805.55,783.0,799.35,798.2,795.0,792.35,952.05,265.5,5671140,"4,493,504,543.80",115389
2021-03-31,EQ,795.1,805.75,790.1,795.0,793.0,795.25,796.41,952.05,265.5,3972382,"3,163,642,211.85",89584
2021-04-01,EQ,801.5,809.8,779.75,795.25,806.9,807.6,793.92,952.05,265.5,5678798,"4,508,535,903.90",105433
2021-04-05,EQ,808.3,808.8,769.25,807.6,775.95,774.45,779.29,952.05,292.75,4176802,"3,254,942,872.05",80941
2021-04-06,EQ,784.0,791.6,775.0,774.45,781.9,781.1,782.71,952.05,292.75,2984229,"2,335,785,844.50",66945
2021-04-07,EQ,781.3,798.6,775.4,781.1,797.2,796.3,789.99,952.05,292.75,2271095,"1,794,132,174.50",46177
2021-04-08,EQ,802.0,811.0,793.0,796.3,794.0,795.15,802.61,952.05,292.75,3324494,"2,668,281,926.90",75927
2021-04-09,EQ,795.0,801.0,785.0,795.15,790.7,791.15,792.67,952.05,292.75,2065092,"1,636,944,637.70",57727
2021-04-12,EQ,779.0,779.0,738.55,791.15,750.55,751.5,754.12,952.05,320.6,4628388,"3,490,372,542.30",153890
2021-04-13,EQ,754.0,817.0,750.8,751.5,810.0,811.25,794.88,952.05,320.6,12501628,"9,937,347,277.75",226756
2021-04-15,EQ,805.0,808.9,785.15,811.25,805.1,805.1,797.75,952.05,320.6,5256004,"4,192,952,701.90",135199
