date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"3,320.25","3,360.00","3,320.25","3,329.80","3,342.00","3,340.75","3,345.04","3,462.00","1,540.40",299232,"1,000,942,414.20",10315
2015-01-02,EQ,"3,360.00","3,383.00","3,350.50","3,340.75","3,360.00","3,359.60","3,365.71","3,462.00","1,540.40",233924,"787,320,596.05",10656
2015-01-05,EQ,"3,382.00","3,469.35","3,376.05","3,359.60","3,448.00","3,447.80","3,446.39","3,469.35","1,540.40",536747,"1,849,840,982.70",29571
2015-01-06,EQ,"3,439.00","3,439.00","3,382.50","3,447.80","3,393.90","3,395.25","3,408.41","3,469.35","1,540.40",422743,"1,440,882,885.05",20162
2015-01-07,EQ,"3,400.00","3,458.95","3,382.05","3,395.25","3,449.70","3,437.75","3,419.57","3,469.35","1,540.40",369241,"1,262,644,030.65",19251
2015-01-08,EQ,"3,465.00","3,509.55","3,444.00","3,437.75","3,484.00","3,475.50","3,480.66","3,509.55","1,540.40",422022,"1,468,916,514.10",18029
2015-01-09,EQ,"3,500.00","3,507.70","3,429.95","3,475.50","3,464.80","3,468.20","3,470.50","3,509.55","1,540.40",194054,"673,464,173.30",10538
2015-01-12,EQ,"3,470.00","3,483.65","3,445.15","3,468.20","3,459.00","3,462.90","3,463.15","3,509.55","1,540.40",152803,"529,179,759.85",6208
2015-01-13,EQ,"3,483.80","3,515.00","3,462.10","3,462.90","3,468.25","3,468.25","3,485.46","3,515.00","1,540.40",237771,"828,740,850.00",11085
2015-01-14,EQ,"3,471.85","3,531.00","3,461.30","3,468.25","3,510.00","3,516.00","3,506.85","3,531.00","1,540.40",429069,"1,504,680,576.25",14297
2015-01-15,EQ,"3,550.35","3,638.65","3,540.00","3,516.00","3,610.00","3,625.80","3,603.92","3,638.65","1,540.40",670686,"2,417,096,120.40",22771
2015-01-16,EQ,"3,615.25","3,625.00","3,592.05","3,625.80","3,618.50","3,616.60","3,610.91","3,638.65","1,540.40",379075,"1,368,807,040.55",11607
2015-01-19,EQ,"3,627.70","3,642.50","3,615.20","3,616.60","3,616.85","3,626.25","3,629.77","3,642.50","1,540.40",192537,"698,865,360.35",7979
2015-01-20,EQ,"3,618.00","3,636.00","3,584.50","3,626.25","3,605.50","3,605.55","3,603.44","3,642.50","1,540.40",333315,"1,201,079,905.65",12252
2015-01-21,EQ,"3,623.00","3,690.00","3,592.00","3,605.55","3,621.45","3,634.70","3,653.12","3,690.00","1,540.40",402419,"1,470,084,110.00",16163
2015-01-22,EQ,"3,648.00","3,648.00","3,592.10","3,634.70","3,598.90","3,597.25","3,606.92","3,690.00","1,540.40",318883,"1,150,185,984.40",11328
2015-01-23,EQ,"3,634.00","3,639.75","3,575.00","3,597.25","3,603.05","3,606.70","3,605.11","3,690.00","1,540.40",337571,"1,216,979,140.20",13842
2015-01-27,EQ,"3,644.95","3,704.70","3,585.15","3,606.70","3,695.00","3,687.90","3,649.22","3,704.70","1,540.40",1278436,"4,665,291,818.45",60969
