date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,"18,844.00","18,844.00","18,520.00","18,566.35","18,600.00","18,597.35","18,615.94","18,844.00","12,200.00",65357,"1,216,681,690.00",13526
2020-12-29,EQ,"18,620.00","18,700.00","18,175.40","18,597.35","18,270.05","18,262.65","18,334.69","18,844.00","12,200.00",198714,"3,643,359,907.00",36966
2020-12-30,EQ,"18,399.50","18,468.00","18,230.00","18,262.65","18,427.05","18,379.25","18,329.55","18,844.00","12,200.00",93654,"1,716,635,219.20",25109
2020-12-31,EQ,"18,278.05","18,450.00","18,257.50","18,379.25","18,377.00","18,390.25","18,356.17","18,844.00","12,200.00",85442,"1,568,388,288.40",18546
2021-01-01,EQ,"18,389.70","18,520.00","18,306.05","18,390.25","18,425.00","18,450.70","18,434.26","18,844.00","12,200.00",50286,"926,985,279.15",12539
2021-01-04,EQ,"18,495.00","18,630.00","18,329.75","18,450.70","18,396.55","18,377.95","18,449.23","18,844.00","12,200.00",62035,"1,144,497,688.20",15602
2021-01-05,EQ,"18,343.50","18,620.00","18,278.05","18,377.95","18,598.10","18,558.25","18,475.31","18,844.00","12,200.00",83673,"1,545,884,545.50",19901
2021-01-06,EQ,"18,510.05","18,600.00","18,430.00","18,558.25","18,490.05","18,515.25","18,506.03","18,844.00","12,200.00",57706,"1,067,908,952.95",16111
2021-01-07,EQ,"18,599.00","18,615.00","18,050.10","18,515.25","18,137.00","18,127.30","18,244.28","18,844.00","12,200.00",120605,"2,200,350,821.30",28858
2021-01-08,EQ,"18,227.30","18,350.00","18,000.00","18,127.30","18,302.10","18,306.25","18,153.68","18,844.00","12,200.00",151635,"2,752,733,293.30",36021
2021-01-11,EQ,"18,350.00","18,545.85","18,188.10","18,306.25","18,410.00","18,391.45","18,358.02","18,844.00","12,200.00",114555,"2,103,002,869.20",31931
2021-01-12,EQ,"18,410.00","18,439.95","17,950.00","18,391.45","18,000.00","17,999.10","18,097.99","18,844.00","12,200.00",141566,"2,562,060,731.35",34213
2021-01-13,EQ,"18,039.95","18,275.00","17,965.00","17,999.10","18,015.00","18,019.30","18,094.19","18,844.00","12,200.00",109387,"1,979,268,816.75",24012
2021-01-14,EQ,"18,049.00","18,229.40","18,049.00","18,019.30","18,109.60","18,132.60","18,129.19","18,844.00","12,200.00",58488,"1,060,340,270.85",15815
2021-01-15,EQ,"18,110.05","18,249.00","17,800.00","18,132.60","17,855.00","17,834.00","17,986.44","18,844.00","12,200.00",96401,"1,733,911,181.20",23718
2021-01-18,EQ,"17,849.95","18,074.00","17,556.75","17,834.00","17,599.95","17,630.70","17,820.53","18,844.00","12,200.00",120674,"2,150,475,038.65",25960
2021-01-19,EQ,"17,730.00","17,820.50","17,670.00","17,630.70","17,770.50","17,754.70","17,743.87","18,844.00","12,200.00",62849,"1,115,184,514.05",12794
2021-01-20,EQ,"17,767.00","17,940.00","17,623.05","17,754.70","17,682.00","17,681.30","17,752.99","18,844.00","12,200.00",73831,"1,310,721,300.00",18688
2021-01-21,EQ,"17,770.00","17,900.00","17,655.35","17,681.30","17,752.90","17,716.30","17,771.31","18,844.00","12,200.00",70977,"1,261,354,098.25",20312
2021-01-22,EQ,"17,784.00","17,882.30","17,550.00","17,716.30","17,639.00","17,589.60","17,691.35","18,844.00","12,200.00",98250,"1,738,174,989.85",26508
2021-01-25,EQ,"17,652.00","17,700.00","17,229.85","17,589.60","17,400.00","17,415.25","17,359.48","18,844.00","12,200.00",116436,"2,021,268,562.15",27225
2021-01-27,EQ,"17,472.95","17,597.70","17,340.25","17,415.25","17,525.00","17,538.10","17,482.26","18,844.00","12,200.00",66402,"1,160,857,052.90",17875
2021-01-28,EQ,"17,470.00","17,520.00","17,203.00","17,538.10","17,306.00","17,387.65","17,395.49","18,844.00","12,200.00",89055,"1,549,155,556.60",24579
2021-01-29,EQ,"17,385.05","17,467.85","16,961.30","17,387.65","17,150.00","17,060.00","17,224.84","18,844.00","12,200.00",112888,"1,944,477,791.55",21728
2021-02-01,EQ,"17,200.00","17,275.70","17,000.00","17,060.00","17,139.00","17,087.70","17,109.82","18,844.00","12,200.00",84406,"1,444,171,140.90",23144
2021-02-02,EQ,"17,150.05","17,350.00","17,054.50","17,087.70","17,185.00","17,190.30","17,213.21","18,844.00","12,200.00",130298,"2,242,846,639.90",22001
2021-02-03,EQ,"17,200.05","17,289.00","17,051.00","17,190.30","17,121.00","17,166.40","17,176.91","18,844.00","12,200.00",112325,"1,929,396,794.35",20785
2021-02-04,EQ,"17,199.90","17,226.95","17,052.45","17,166.40","17,078.00","17,074.00","17,108.27","18,844.00","12,200.00",92100,"1,575,671,976.60",25269
2021-02-05,EQ,"17,131.05","17,167.20","17,003.00","17,074.00","17,110.00","17,115.75","17,073.40","18,844.00","12,200.00",98097,"1,674,849,753.45",20251
2021-02-08,EQ,"17,180.00","17,284.90","17,101.15","17,115.75","17,192.00","17,218.20","17,208.48","18,844.00","12,200.00",121607,"2,092,671,979.80",27272
2021-02-09,EQ,"17,211.00","17,510.00","17,150.00","17,218.20","17,336.20","17,318.95","17,381.32","18,844.00","12,200.00",121012,"2,103,348,150.35",26632
2021-02-10,EQ,"17,340.20","17,436.80","17,086.50","17,318.95","17,215.00","17,177.35","17,222.24","18,844.00","12,200.00",116576,"2,007,699,735.60",31207
2021-02-11,EQ,"17,189.90","17,447.45","17,150.00","17,177.35","17,396.10","17,412.25","17,344.00","18,844.00","12,200.00",65366,"1,133,708,016.40",14706
2021-02-12,EQ,"17,410.10","17,519.00","17,240.00","17,412.25","17,240.00","17,294.30","17,364.00","18,844.00","12,200.00",54528,"946,823,997.65",11361
2021-02-15,EQ,"17,349.00","17,506.75","17,258.05","17,294.30","17,500.00","17,479.85","17,447.12","18,844.00","12,200.00",110119,"1,921,258,936.55",22833
2021-02-16,EQ,"17,555.00","17,646.00","17,139.10","17,479.85","17,200.00","17,217.25","17,304.64","18,844.00","12,200.00",229774,"3,976,155,431.30",41851
2021-02-17,EQ,"16,900.00","16,900.00","16,350.00","17,217.25","16,700.00","16,741.20","16,637.70","18,844.00","12,200.00",599343,"9,971,688,252.10",97399
2021-02-18,EQ,"16,756.00","16,900.00","16,300.00","16,741.20","16,430.00","16,364.70","16,477.73","18,844.00","12,200.00",251066,"4,136,996,906.15",46881
2021-02-19,EQ,"16,430.00","16,464.70","16,212.95","16,364.70","16,430.05","16,376.40","16,345.82","18,844.00","12,200.00",130275,"2,129,451,634.35",29439
2021-02-22,EQ,"16,411.05","16,530.00","16,024.60","16,376.40","16,104.00","16,096.30","16,193.87","18,844.00","12,200.00",214915,"3,480,304,571.55",40927
2021-02-23,EQ,"16,131.00","16,255.00","16,002.10","16,096.30","16,175.00","16,169.95","16,126.78","18,844.00","12,200.00",142998,"2,306,097,102.75",25939
2021-02-24,EQ,"16,283.00","16,378.00","16,100.00","16,169.95","16,375.00","16,346.15","16,178.23","18,844.00","12,200.00",84342,"1,364,504,299.70",13314
