date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,190.2,192.3,190.0,190.0,191.0,191.55,191.16,211.0,122.15,3869826,"739,737,644.85",31715
2020-12-29,EQ,191.6,192.65,189.0,191.55,189.5,189.7,190.01,211.0,122.15,4809185,"913,782,167.05",56720
2020-12-30,EQ,190.0,190.65,186.8,189.7,190.0,190.2,188.75,211.0,122.15,10762081,"2,031,367,203.55",31062
2020-12-31,EQ,190.5,191.0,188.05,190.2,188.5,189.85,189.67,211.0,122.15,13090566,"2,482,947,303.90",54967
2021-01-01,EQ,189.0,189.9,188.5,189.85,189.75,189.5,189.37,211.0,122.15,1729475,"327,507,042.80",20133
2021-01-04,EQ,190.0,190.4,188.0,189.5,188.35,188.45,188.81,211.0,122.15,4012428,"757,566,526.65",29474
2021-01-05,EQ,189.5,189.5,186.2,188.45,188.0,188.0,187.49,211.0,122.15,5894373,"1,105,150,848.65",43502
2021-01-06,EQ,188.0,197.6,187.0,188.0,195.8,196.15,192.87,211.0,122.15,30524202,"5,887,217,817.75",89335
2021-01-07,EQ,198.0,201.8,195.5,196.15,196.6,197.05,199.06,211.0,122.15,22573087,"4,493,427,904.25",87251
2021-01-08,EQ,198.75,204.0,197.55,197.05,203.8,203.55,202.29,211.0,122.15,16586958,"3,355,325,314.30",70433
2021-01-11,EQ,204.0,205.0,201.45,203.55,203.6,203.55,203.64,211.0,122.15,7158427,"1,457,738,791.95",46922
2021-01-12,EQ,201.05,204.75,199.95,203.55,203.7,203.7,203.29,211.0,122.15,17692951,"3,596,802,589.75",85224
2021-01-13,EQ,203.8,206.6,202.6,203.7,205.0,205.0,205.11,211.0,122.15,13383333,"2,745,019,629.50",64347
2021-01-14,EQ,205.95,207.5,203.6,205.0,204.65,205.1,204.83,211.0,122.15,6763881,"1,385,438,292.50",49378
2021-01-15,EQ,203.95,205.75,202.5,205.1,203.0,203.0,203.9,211.0,122.15,7610734,"1,551,847,019.20",37181
2021-01-18,EQ,201.25,202.0,194.55,203.0,194.95,195.75,196.99,211.0,122.15,14691747,"2,894,148,145.55",57393
2021-01-19,EQ,195.55,200.0,195.25,195.75,198.7,199.65,198.14,211.0,122.15,10902844,"2,160,304,183.95",30177
2021-01-20,EQ,200.0,200.6,195.15,199.65,195.45,196.15,198.5,211.0,122.15,11901479,"2,362,495,498.05",40308
2021-01-21,EQ,196.45,197.7,194.15,196.15,195.45,195.15,195.82,211.0,122.15,7036376,"1,377,876,064.10",37195
2021-01-22,EQ,195.0,196.3,193.0,195.15,194.8,194.2,194.76,211.0,122.15,9405228,"1,831,808,927.85",70059
2021-01-25,EQ,194.45,196.8,189.6,194.2,190.0,190.2,190.75,207.5,122.15,5283901,"1,007,884,811.15",51337
2021-01-27,EQ,190.0,194.35,189.3,190.2,191.0,192.35,191.44,207.5,122.15,10617143,"2,032,529,944.70",47856
2021-01-28,EQ,190.95,190.95,185.8,192.35,187.5,187.3,187.41,207.5,122.15,9040763,"1,694,296,673.95",57099
2021-01-29,EQ,188.7,189.0,183.0,187.3,183.9,184.45,185.44,207.5,122.15,7545948,"1,399,308,684.65",42142
