date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,886.30,892.00,883.65,891.15,888.00,887.90,887.62,"1,145.25",793.1,677439,"601,305,852.35",16263
2015-01-02,EQ,888.10,896.05,884.30,887.90,884.95,885.55,889.39,"1,145.25",793.1,1675827,"1,490,461,120.25",31269
2015-01-05,EQ,885.00,890.90,874.10,885.55,875.55,875.85,881.88,"1,145.25",793.1,2309591,"2,036,781,222.75",67035
2015-01-06,EQ,870.00,873.00,832.00,875.85,832.50,836.10,847.60,"1,145.25",793.1,4258043,"3,609,133,016.50",120767
2015-01-07,EQ,837.10,858.80,837.00,836.10,858.00,854.30,849.81,"1,145.25",793.1,4736315,"4,024,972,095.85",125939
2015-01-08,EQ,860.10,862.90,840.15,854.30,843.00,842.05,845.70,"1,145.25",793.1,4542457,"3,841,574,196.75",77800
2015-01-09,EQ,848.40,862.00,845.00,842.05,861.50,860.30,852.15,"1,145.25",793.1,3061366,"2,608,740,826.90",56795
2015-01-12,EQ,860.50,861.00,841.60,860.30,852.50,850.30,847.51,"1,145.25",793.1,2308716,"1,956,661,982.25",59103
2015-01-13,EQ,853.00,854.95,840.50,850.30,845.00,843.15,844.77,"1,145.25",793.1,2274108,"1,921,106,779.10",50755
2015-01-14,EQ,843.00,847.00,831.20,843.15,837.00,834.95,836.09,"1,145.25",793.1,2601286,"2,174,912,516.80",80257
2015-01-15,EQ,840.00,871.10,840.00,834.95,863.00,864.25,857.07,"1,145.25",793.1,3869247,"3,316,204,147.75",78705
2015-01-16,EQ,860.00,875.00,852.05,864.25,867.50,869.70,867.39,"1,145.25",793.1,4374388,"3,794,307,436.85",100057
2015-01-19,EQ,870.20,886.00,858.75,869.70,879.75,879.65,877.24,"1,145.25",793.1,3049291,"2,674,972,253.40",75661
2015-01-20,EQ,881.50,905.55,878.85,879.65,902.55,903.05,894.34,"1,145.25",793.1,3054173,"2,731,470,301.20",66755
2015-01-21,EQ,905.00,911.40,892.05,903.05,907.05,906.75,903.73,"1,145.25",793.1,3905183,"3,529,238,452.00",84816
2015-01-22,EQ,905.15,907.20,879.50,906.75,884.20,883.75,888.39,"1,145.25",793.1,5422365,"4,817,156,238.60",117060
2015-01-23,EQ,890.00,897.80,877.00,883.75,886.85,886.90,887.29,"1,145.25",793.1,4132897,"3,667,065,182.30",96749
2015-01-27,EQ,892.90,896.70,880.50,886.90,887.25,889.05,888.34,"1,145.25",793.1,4100754,"3,642,848,563.55",139067
2015-01-28,EQ,886.10,909.80,886.10,889.05,906.55,906.85,898.00,"1,145.25",793.1,4411227,"3,961,282,114.70",80550
2015-01-29,EQ,907.10,934.50,906.90,906.85,927.95,929.40,926.40,"1,145.25",793.1,8255888,"7,648,230,604.35",171319
2015-01-30,EQ,930.00,931.25,909.00,929.40,916.35,915.25,918.15,"1,145.25",793.1,4970953,"4,564,055,708.45",84169
2015-02-02,EQ,916.05,919.90,905.70,915.25,908.20,908.05,912.65,"1,145.25",793.1,4412275,"4,026,871,185.30",50967
2015-02-03,EQ,913.20,940.85,913.20,908.05,936.30,937.60,930.35,"1,145.25",793.1,3907020,"3,634,896,454.45",93747
2015-02-04,EQ,939.10,943.80,925.90,937.60,926.70,928.80,936.76,"1,145.25",793.1,3216827,"3,013,388,329.45",59577
2015-02-05,EQ,936.00,939.90,917.60,928.80,921.60,923.70,930.11,"1,145.25",793.1,2826578,"2,629,035,297.65",58327
2015-02-06,EQ,924.10,930.00,903.00,923.70,911.15,909.90,916.30,"1,145.25",793.1,2067728,"1,894,667,593.50",50276
2015-02-09,EQ,901.20,918.00,892.00,909.90,894.35,896.70,905.54,"1,145.25",793.1,2020605,"1,829,748,406.05",55988
2015-02-10,EQ,898.00,904.50,861.30,896.70,884.60,882.00,887.96,"1,145.25",793.1,3120391,"2,770,794,073.60",83170
2015-02-11,EQ,886.00,904.75,883.00,882.00,901.50,900.70,894.64,"1,145.25",793.1,2235774,"2,000,218,384.45",43905
2015-02-12,EQ,908.00,913.95,887.25,900.70,912.55,909.15,899.35,"1,145.25",793.1,1990874,"1,790,499,427.45",54081
2015-02-13,EQ,914.00,920.80,909.05,909.15,920.05,917.50,916.17,"1,145.25",793.1,1690071,"1,548,392,962.95",39163
2015-02-16,EQ,918.70,924.20,900.00,917.50,902.15,902.80,910.85,"1,145.25",793.1,2803961,"2,553,974,829.25",75984
2015-02-18,EQ,900.00,908.00,894.40,902.80,901.10,901.65,901.29,"1,145.25",793.1,2248124,"2,026,211,154.90",65950
2015-02-19,EQ,906.95,907.60,887.55,901.65,901.15,902.05,896.86,"1,145.25",793.1,2183115,"1,957,949,746.35",57260
2015-02-20,EQ,895.25,896.00,871.30,902.05,872.80,873.10,876.92,"1,145.25",793.1,4278437,"3,751,837,333.65",111545
2015-02-23,EQ,869.95,876.75,847.10,873.10,848.10,851.45,860.98,"1,145.25",793.1,3224043,"2,775,839,050.45",71325
2015-02-24,EQ,854.25,856.80,837.00,851.45,842.20,841.45,843.77,"1,145.25",793.1,4559370,"3,847,076,140.75",135555
2015-02-25,EQ,848.80,856.50,841.05,841.45,844.55,843.15,847.86,"1,145.25",793.1,3491406,"2,960,207,399.35",77841
2015-02-26,EQ,846.10,850.00,836.60,843.15,848.50,842.00,841.76,"1,145.25",793.1,4905338,"4,129,095,105.75",85739
2015-02-27,EQ,847.55,861.00,844.60,842.00,859.30,855.55,851.92,"1,145.25",793.1,4265220,"3,633,641,409.50",68505
2015-02-28,EQ,862.80,868.40,846.60,855.55,867.00,865.15,860.13,"1,145.25",793.1,2093776,"1,800,926,911.85",45333
2015-03-02,EQ,869.00,875.50,855.55,865.15,864.95,864.25,862.25,"1,145.25",797.15,3332631,"2,873,565,098.20",65921
2015-03-03,EQ,869.00,906.45,867.40,864.25,900.15,900.80,894.08,"1,145.25",797.15,4717254,"4,217,579,279.05",113396
2015-03-04,EQ,906.00,909.65,880.05,900.80,886.25,887.85,894.98,"1,145.25",797.15,3308981,"2,961,479,780.95",74794
2015-03-05,EQ,892.50,898.75,878.15,887.85,886.00,884.95,887.43,"1,145.25",797.15,2449658,"2,173,892,015.30",61861
2015-03-09,EQ,885.10,891.75,864.15,884.95,865.40,869.65,878.60,"1,145.25",831.2,3215112,"2,824,781,475.70",81492
2015-03-10,EQ,868.95,875.80,855.40,869.65,858.00,859.15,863.46,"1,145.25",831.2,3482250,"3,006,776,763.40",106079
2015-03-11,EQ,860.95,869.60,852.40,859.15,853.50,855.95,860.98,"1,145.25",831.2,2659765,"2,289,993,803.30",51290
2015-03-12,EQ,858.00,867.40,855.60,855.95,863.50,863.80,860.09,"1,145.25",831.2,2693254,"2,316,448,274.70",69814
2015-03-13,EQ,869.00,869.60,847.00,863.80,852.40,850.10,856.33,"1,145.25",831.2,2956988,"2,532,146,489.65",65593
2015-03-16,EQ,851.50,853.95,840.30,850.10,843.20,842.10,843.28,"1,145.25",831.2,3163589,"2,667,804,474.75",69775
2015-03-17,EQ,850.55,859.90,841.00,842.10,856.05,856.85,850.60,"1,145.25",831.2,4359100,"3,707,860,505.20",110131
2015-03-18,EQ,857.00,872.25,854.70,856.85,868.95,868.65,863.08,"1,145.25",831.2,2118940,"1,828,813,746.75",53546
2015-03-19,EQ,875.55,876.70,854.10,868.65,854.70,856.15,864.62,"1,145.25",831.2,3185218,"2,754,000,733.35",72258
2015-03-20,EQ,857.90,861.15,848.60,856.15,858.00,854.10,854.68,"1,145.25",831.2,2378572,"2,032,906,711.50",56037
2015-03-23,EQ,856.50,864.00,838.10,854.10,842.00,841.95,846.02,"1,145.25",831.2,3029112,"2,562,699,587.75",84186
2015-03-24,EQ,842.10,854.30,842.10,841.95,848.90,847.95,848.15,"1,145.25",831.2,2111750,"1,791,089,319.50",67428
2015-03-25,EQ,849.00,849.50,841.00,847.95,842.00,844.90,843.72,"1,145.25",831.2,2346393,"1,979,696,499.80",63316
2015-03-26,EQ,841.10,849.25,824.10,844.90,831.00,829.30,835.77,"1,145.25",824.1,4713693,"3,939,543,171.40",81113
2015-03-27,EQ,833.90,835.00,801.45,829.30,810.00,811.70,815.70,"1,145.25",801.45,5332142,"4,349,419,107.05",112001
2015-03-30,EQ,816.60,817.70,796.45,811.70,814.10,810.75,807.78,"1,145.25",796.45,3961481,"3,200,003,963.85",105633
2015-03-31,EQ,818.00,832.90,818.00,810.75,822.90,826.00,826.68,"1,145.25",796.45,4625471,"3,823,772,485.95",125251
2015-04-01,EQ,824.90,839.00,813.10,826.00,835.15,836.05,825.50,"1,145.25",796.45,3334693,"2,752,795,809.60",87280
2015-04-06,EQ,836.00,838.00,821.40,836.05,823.65,824.65,826.20,"1,145.25",796.45,2819367,"2,329,366,263.90",92986
2015-04-07,EQ,826.05,836.10,826.05,824.65,832.15,832.85,831.39,"1,145.25",796.45,4863211,"4,043,217,393.50",76000
2015-04-08,EQ,833.50,869.50,832.90,832.85,863.00,865.90,855.45,"1,145.25",796.45,5673710,"4,853,572,872.10",112110
2015-04-09,EQ,865.50,899.00,858.80,865.90,897.00,895.10,880.85,"1,145.25",796.45,6234931,"5,492,068,190.10",132040
