date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2017-10-03,EQ,735.0,740.0,701.7,700.0,713.3,707.55,725.24,740.0,701.7,35367877,"25,650,324,677.10",920703
2017-10-04,EQ,710.15,710.75,699.0,707.55,702.05,703.65,704.44,740.0,699.0,3613280,"2,545,355,624.35",166791
2017-10-05,EQ,704.55,704.55,686.1,703.65,695.0,694.55,693.13,740.0,686.1,2680742,"1,858,094,198.60",108948
2017-10-06,EQ,693.9,702.0,689.0,694.55,694.1,696.75,695.26,740.0,686.1,1416485,"984,831,093.15",56442
2017-10-09,EQ,694.1,702.5,694.1,696.75,695.5,698.65,699.78,740.0,686.1,951473,"665,822,635.30",45968
2017-10-10,EQ,698.35,701.2,695.55,698.65,697.5,700.0,699.76,740.0,686.1,555002,"388,369,756.95",41515
2017-10-11,EQ,700.0,703.0,686.0,700.0,689.0,689.9,697.67,740.0,686.0,1077409,"751,672,800.35",35472
2017-10-12,EQ,691.1,694.0,685.0,689.9,685.0,687.7,689.08,740.0,685.0,439314,"302,723,205.10",21618
2017-10-13,EQ,688.95,695.05,680.0,687.7,691.25,689.7,687.06,740.0,680.0,1344510,"923,764,485.05",41549
2017-10-16,EQ,686.0,689.45,669.0,689.7,669.75,670.1,673.54,740.0,669.0,971834,"654,564,436.90",65404
2017-10-17,EQ,670.5,674.0,669.0,670.1,671.25,673.05,670.86,740.0,669.0,664335,"445,674,199.55",60160
2017-10-18,EQ,671.0,672.85,664.15,673.05,668.0,668.4,667.84,740.0,664.15,415712,"277,629,647.75",42451
2017-10-19,EQ,666.1,678.25,666.1,668.4,674.0,675.1,674.19,740.0,664.15,93358,"62,940,792.70",3339
2017-10-23,EQ,670.0,673.8,665.0,675.1,665.1,665.8,668.88,740.0,664.15,292330,"195,534,117.55",23506
2017-10-24,EQ,663.8,671.45,663.0,665.8,670.0,665.85,667.83,740.0,663.0,350373,"233,990,935.95",31547
2017-10-25,EQ,667.0,673.45,658.1,665.85,668.05,669.9,664.38,740.0,658.1,583868,"387,912,917.55",27392
2017-10-26,EQ,669.9,669.9,660.5,669.9,665.0,666.85,664.45,740.0,658.1,242175,"160,913,995.30",18428
2017-10-27,EQ,663.2,666.05,659.0,666.85,663.0,662.2,662.06,740.0,658.1,396395,"262,436,754.25",20201
2017-10-30,EQ,665.0,665.0,649.9,662.2,655.8,655.0,654.39,740.0,649.9,1164020,"761,719,173.80",92771
2017-10-31,EQ,655.8,669.0,655.8,655.0,656.85,662.1,664.54,740.0,649.9,1402840,"932,236,614.30",47194
2017-11-01,EQ,664.0,664.85,642.25,662.1,644.0,647.05,652.96,740.0,642.25,859011,"560,898,604.60",25321
2017-11-02,EQ,647.05,653.6,641.2,647.05,643.5,642.75,645.14,740.0,641.2,574130,"370,396,385.75",17527
2017-11-03,EQ,643.05,653.5,641.1,642.75,643.0,642.25,643.34,740.0,641.1,672547,"432,675,212.25",21356
2017-11-06,EQ,642.65,659.9,642.65,642.25,655.0,656.75,654.78,740.0,641.1,483071,"316,306,636.20",25562
2017-11-07,EQ,659.0,659.0,639.55,656.75,642.0,642.35,652.08,740.0,639.55,763293,"497,729,123.40",26717
2017-11-08,EQ,649.0,649.0,629.0,642.35,632.0,631.6,636.27,740.0,629.0,843603,"536,758,284.65",27087
2017-11-09,EQ,633.0,670.4,633.0,631.6,658.6,657.95,648.68,740.0,629.0,356798,"231,448,358.40",20821
2017-11-10,EQ,655.1,679.2,655.1,657.95,674.4,676.55,673.48,740.0,629.0,784443,"528,304,784.70",36201
2017-11-13,EQ,665.0,680.8,663.0,676.55,664.7,665.0,670.2,740.0,629.0,192279,"128,864,479.80",9837
2017-11-14,EQ,655.2,667.75,654.0,665.0,659.55,660.0,657.34,740.0,629.0,350594,"230,458,399.20",8260
2017-11-15,EQ,650.1,660.05,644.4,660.0,648.5,649.35,649.47,740.0,629.0,269314,"174,911,716.45",12835
2017-11-16,EQ,648.6,659.2,642.8,649.35,649.0,649.9,650.04,740.0,629.0,261879,"170,230,659.15",9364
2017-11-17,EQ,653.0,663.7,645.1,649.9,657.0,659.55,652.96,740.0,629.0,3200674,"2,089,923,150.65",63429
2017-11-20,EQ,657.3,665.0,656.5,659.55,661.3,661.45,660.43,740.0,629.0,712433,"470,511,219.25",16572
2017-11-21,EQ,660.0,696.4,660.0,661.45,688.9,687.45,683.17,740.0,629.0,2077453,"1,419,245,723.85",60426
2017-11-22,EQ,689.0,698.95,681.15,687.45,693.5,693.15,693.47,740.0,629.0,669175,"464,052,411.65",24056
2017-11-23,EQ,689.0,689.0,664.0,693.15,667.0,666.3,673.79,740.0,629.0,827451,"557,525,423.60",24788
2017-11-24,EQ,668.0,670.45,655.0,666.3,655.35,655.7,659.03,740.0,629.0,599114,"394,835,920.85",25380
2017-11-27,EQ,655.55,662.7,651.85,655.7,653.0,653.7,655.58,740.0,629.0,239417,"156,956,796.75",8767
2017-11-28,EQ,653.0,666.95,652.0,653.7,654.0,653.45,657.5,740.0,629.0,269211,"177,007,387.25",9384
2017-11-29,EQ,654.05,658.4,650.8,653.45,657.5,656.2,654.44,740.0,629.0,258606,"169,241,877.35",15592
2017-11-30,EQ,665.95,665.95,653.85,656.2,655.5,654.9,655.79,740.0,629.0,316178,"207,345,629.45",19545
2017-12-01,EQ,658.0,658.0,652.25,654.9,656.0,655.9,655.15,740.0,629.0,86648,"56,767,647.25",7293
2017-12-04,EQ,660.0,665.8,653.05,655.9,661.2,661.75,661.42,740.0,629.0,162592,"107,542,413.50",9073
2017-12-05,EQ,660.0,662.15,653.55,661.75,659.25,659.1,657.14,740.0,629.0,125688,"82,594,595.75",10200
2017-12-06,EQ,654.05,660.0,654.05,659.1,655.0,656.1,657.22,740.0,629.0,210799,"138,541,374.50",13980
