date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,268.75,276.0,268.0,266.85,275.75,275.2,272.23,339.85,149.45,36870242,"10,037,366,708.40",203967
2020-12-29,EQ,276.3,279.9,274.7,275.2,277.75,277.9,277.56,339.85,149.45,45032526,"12,499,251,233.65",237470
2020-12-30,EQ,278.0,278.7,272.5,277.9,275.5,276.9,275.47,339.85,149.45,30971894,"8,531,681,482.45",163939
2020-12-31,EQ,275.0,277.25,272.6,276.9,274.4,274.95,275.29,339.85,149.45,29467966,"8,112,160,541.95",183603
2021-01-01,EQ,274.9,280.0,274.4,274.95,279.05,279.4,278.33,339.85,149.45,24531791,"6,827,968,257.80",141601
2021-01-04,EQ,281.85,283.9,277.75,279.4,281.1,281.05,281.41,337.95,149.45,31450608,"8,850,464,058.45",171760
2021-01-05,EQ,278.05,282.45,277.0,281.05,281.4,281.75,279.69,337.95,149.45,27393072,"7,661,574,303.75",155149
2021-01-06,EQ,283.0,289.15,281.4,281.75,283.9,285.05,285.76,337.95,149.45,40765708,"11,649,073,628.10",224327
2021-01-07,EQ,289.0,291.8,287.0,285.05,288.0,287.7,289.15,337.95,149.45,30546600,"8,832,501,855.10",183684
2021-01-08,EQ,290.1,291.4,285.2,287.7,285.9,286.0,288.25,337.95,149.45,32543357,"9,380,501,388.85",169736
2021-01-11,EQ,288.0,288.2,279.6,286.0,282.8,282.5,282.5,335.45,149.45,29703173,"8,391,026,797.05",209864
2021-01-12,EQ,280.0,293.85,277.9,282.5,293.2,292.5,286.89,335.45,149.45,44307145,"12,711,419,183.25",275857
2021-01-13,EQ,296.0,308.0,294.5,292.5,305.95,306.8,301.17,335.45,149.45,78042133,"23,503,978,223.25",413038
2021-01-14,EQ,306.7,309.25,303.8,306.8,307.7,307.25,307.16,335.45,149.45,40123498,"12,324,150,077.50",244731
2021-01-15,EQ,306.8,310.9,301.3,307.25,303.95,303.85,306.2,335.45,149.45,35307601,"10,811,333,841.95",277615
2021-01-18,EQ,303.5,308.65,292.2,303.85,292.45,294.45,299.23,331.9,149.45,54969750,"16,448,326,413.65",332808
2021-01-19,EQ,297.65,302.5,296.4,294.45,298.4,298.6,299.11,331.9,149.45,35803901,"10,709,241,852.55",226098
2021-01-20,EQ,298.8,304.7,296.85,298.6,302.2,302.55,301.07,331.9,149.45,33759304,"10,163,981,891.75",215324
