date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,826.50,830.00,818.10,826.55,822.25,822.20,823.65,932.50,552.55,587479,"483,878,028.35",11923
2015-01-02,EQ,824.00,830.50,824.00,822.20,826.10,826.25,827.44,932.50,552.55,710310,"587,741,492.45",32763
2015-01-05,EQ,826.10,830.70,824.45,826.25,825.00,826.75,827.58,932.50,552.55,792287,"655,678,891.15",22899
2015-01-06,EQ,823.00,824.60,803.70,826.75,811.00,808.55,810.46,932.50,552.55,1709888,"1,385,800,600.15",41359
2015-01-07,EQ,809.10,815.20,800.00,808.55,810.85,809.80,805.48,932.50,552.55,1730518,"1,393,905,200.05",73474
2015-01-08,EQ,815.00,821.00,814.40,809.80,816.55,818.80,817.77,932.50,552.55,943536,"771,597,094.25",37522
2015-01-09,EQ,820.00,836.00,820.00,818.80,833.00,830.05,829.61,932.50,552.55,1766875,"1,465,810,249.85",59609
2015-01-12,EQ,832.45,837.25,830.10,830.05,836.00,835.30,834.49,932.50,552.55,1188646,"991,910,560.70",34480
2015-01-13,EQ,837.05,843.40,826.15,835.30,833.00,833.10,836.85,932.50,552.55,838422,"701,634,940.40",26556
2015-01-14,EQ,831.00,837.75,817.00,833.10,820.20,820.65,825.49,932.50,552.55,996066,"822,244,497.10",47808
2015-01-15,EQ,826.00,833.90,819.40,820.65,824.75,825.90,824.52,932.50,552.55,2224116,"1,833,838,672.55",53527
2015-01-16,EQ,828.90,854.40,826.20,825.90,852.50,849.75,841.27,932.50,552.55,2005202,"1,686,925,788.35",101080
2015-01-19,EQ,855.00,866.15,853.10,849.75,863.05,863.00,861.84,932.50,552.55,1382755,"1,191,710,384.65",32604
2015-01-20,EQ,865.00,874.50,854.50,863.00,873.00,872.30,867.51,932.50,552.55,2053198,"1,781,176,518.95",64715
2015-01-21,EQ,875.00,888.00,873.00,872.30,887.00,885.95,881.90,932.50,552.55,2358508,"2,079,972,154.05",69063
2015-01-22,EQ,885.30,927.35,885.30,885.95,918.00,920.05,915.83,932.50,552.55,4797782,"4,393,966,485.70",109232
2015-01-23,EQ,921.50,938.70,918.00,920.05,927.40,926.80,927.75,938.70,552.55,2835629,"2,630,758,583.95",76244
2015-01-27,EQ,939.90,939.95,901.00,926.80,911.20,914.00,912.34,939.95,552.55,2261868,"2,063,597,785.55",74915
2015-01-28,EQ,915.00,933.10,892.00,914.00,910.00,909.75,915.16,939.95,552.55,1939863,"1,775,292,641.05",56567
2015-01-29,EQ,900.00,933.00,891.00,909.75,912.50,919.80,907.74,939.95,552.55,2668139,"2,421,984,280.45",66429
2015-01-30,EQ,923.50,927.80,910.50,919.80,919.85,917.75,919.27,939.95,552.55,1873464,"1,722,225,850.50",61988
2015-02-02,EQ,925.00,943.55,922.00,917.75,928.00,929.10,931.89,943.55,552.55,1750030,"1,630,838,544.65",55003
2015-02-03,EQ,936.00,947.65,919.05,929.10,944.00,941.25,931.43,947.65,552.55,2275229,"2,119,210,847.10",70995
2015-02-04,EQ,947.50,965.95,946.00,941.25,960.00,958.95,959.07,965.95,552.55,2769365,"2,656,001,510.20",75984
2015-02-05,EQ,960.00,965.90,951.00,958.95,959.70,959.55,958.57,965.95,552.55,1850360,"1,773,695,622.70",53691
2015-02-06,EQ,958.75,962.90,920.25,959.55,931.05,926.85,938.56,965.95,552.55,3120503,"2,928,790,206.15",71660
2015-02-09,EQ,926.80,948.20,915.85,926.85,942.00,941.45,940.70,965.95,552.55,1350099,"1,270,034,331.55",44267
2015-02-10,EQ,942.00,942.00,911.00,941.45,923.00,919.55,923.51,965.95,552.55,1515424,"1,399,514,046.75",47193
2015-02-11,EQ,924.80,937.00,920.20,919.55,925.00,925.85,928.14,965.95,552.55,1046438,"971,245,510.15",29873
2015-02-12,EQ,929.65,932.20,919.00,925.85,922.50,923.60,923.46,965.95,552.55,778562,"718,973,212.95",27144
2015-02-13,EQ,928.00,952.00,928.00,923.60,931.80,940.55,943.00,965.95,552.55,2046667,"1,930,002,649.80",49816
2015-02-16,EQ,918.00,930.90,907.30,940.55,913.90,914.75,917.29,965.95,552.55,2869370,"2,632,047,295.05",88639
2015-02-18,EQ,919.90,927.50,911.75,914.75,917.50,917.80,919.47,965.95,552.55,1309654,"1,204,193,119.40",55522
2015-02-19,EQ,922.70,926.80,909.55,917.80,909.80,916.70,918.68,965.95,552.55,1190354,"1,093,558,582.35",44317
2015-02-20,EQ,914.80,921.60,910.00,916.70,911.00,913.20,914.31,965.95,552.55,1146633,"1,048,378,814.45",29531
2015-02-23,EQ,914.00,924.00,904.25,913.20,910.00,908.65,916.01,965.95,552.55,2440626,"2,235,628,375.15",52004
2015-02-24,EQ,907.00,913.90,905.00,908.65,909.05,910.45,909.84,965.95,552.55,1469026,"1,336,584,075.05",40806
2015-02-25,EQ,913.50,914.65,886.40,910.45,889.50,890.75,900.72,965.95,552.55,1407691,"1,267,928,715.15",54142
2015-02-26,EQ,890.10,894.25,860.20,890.75,869.30,865.70,870.69,965.95,552.55,2614022,"2,275,999,967.30",110427
2015-02-27,EQ,870.15,883.90,868.55,865.70,877.70,878.90,875.81,965.95,552.55,2160310,"1,892,011,846.25",68676
2015-02-28,EQ,884.45,918.40,873.50,878.90,915.20,911.00,892.54,965.95,552.55,1118395,"998,211,243.95",23369
2015-03-02,EQ,912.10,932.00,909.40,911.00,930.10,925.20,918.15,965.95,552.55,2019863,"1,854,537,665.50",59613
2015-03-03,EQ,937.45,951.40,933.10,925.20,941.85,943.05,943.08,965.95,552.55,2114707,"1,994,339,670.35",71306
2015-03-04,EQ,946.90,"1,035.95",937.80,943.05,"1,005.00","1,006.30","1,000.47","1,035.95",552.55,7567230,"7,570,757,770.95",176188
