date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,150.95,151.75,150.35,150.95,150.5,150.7,151.05,177.15,135.25,535692,"80,915,105.70",3852
2015-01-02,EQ,150.9,153.2,150.55,150.7,153.0,152.5,152.42,177.15,135.25,2043127,"311,404,214.40",18737
2015-01-05,EQ,151.65,154.5,151.65,152.5,153.15,152.95,153.03,177.15,135.25,1873161,"286,656,179.80",9788
2015-01-06,EQ,151.95,151.95,147.0,152.95,148.55,148.15,149.17,177.15,135.25,2390258,"356,559,495.65",12182
2015-01-07,EQ,147.2,149.2,146.0,148.15,148.55,148.45,147.66,177.15,135.25,2770541,"409,098,920.50",11069
2015-01-08,EQ,149.9,154.5,149.5,148.45,154.0,153.7,152.7,177.15,135.25,2292977,"350,138,898.40",14435
2015-01-09,EQ,154.5,157.7,153.3,153.7,155.1,155.6,155.1,177.15,135.25,4013444,"622,483,018.80",24558
2015-01-12,EQ,156.35,158.7,155.2,155.6,156.85,157.35,157.28,177.15,135.25,1647105,"259,048,709.55",11530
2015-01-13,EQ,157.55,157.9,154.2,157.35,155.4,155.25,155.12,177.15,135.25,1558189,"241,713,765.30",8690
2015-01-14,EQ,155.05,157.0,153.8,155.25,154.85,154.85,154.73,177.15,135.25,1383172,"214,011,434.75",9027
2015-01-15,EQ,156.6,157.6,154.05,154.85,155.15,155.65,156.1,177.15,135.25,1183917,"184,809,794.00",14749
2015-01-16,EQ,155.0,155.75,153.75,155.65,154.75,154.3,154.48,177.15,135.25,1299810,"200,798,373.95",14227
2015-01-19,EQ,154.3,157.8,154.3,154.3,156.4,156.55,156.32,177.15,135.25,1000172,"156,351,706.85",7495
2015-01-20,EQ,156.8,157.45,155.6,156.55,156.8,156.35,156.48,177.15,135.25,1211357,"189,552,539.65",11284
2015-01-21,EQ,157.4,159.4,156.65,156.35,158.0,158.0,158.11,177.15,135.25,2696995,"426,426,689.85",19549
2015-01-22,EQ,157.1,160.6,157.1,158.0,159.05,158.85,158.8,177.15,135.25,2326838,"369,500,662.30",18186
2015-01-23,EQ,159.15,162.15,156.9,158.85,160.5,161.15,159.7,177.15,135.25,2437301,"389,241,451.70",15494
2015-01-27,EQ,161.0,162.0,158.6,161.15,159.3,159.4,159.95,177.15,135.25,1634586,"261,445,140.50",16325
2015-01-28,EQ,158.8,159.9,157.65,159.4,158.45,158.75,158.62,177.15,135.25,1819031,"288,536,623.85",10775
2015-01-29,EQ,158.95,160.75,157.3,158.75,157.9,158.25,158.54,177.15,135.25,2823390,"447,622,281.15",16943
2015-01-30,EQ,158.95,162.4,154.05,158.25,159.75,158.7,158.51,177.15,135.25,4094370,"649,015,149.00",22613
2015-02-02,EQ,157.9,167.75,157.75,158.7,163.45,163.6,164.13,177.15,135.25,5423705,"890,167,418.50",28803
2015-02-03,EQ,164.0,164.5,159.2,163.6,160.0,160.45,161.42,177.15,135.25,1927234,"311,098,576.55",14237
2015-02-04,EQ,160.7,163.1,157.65,160.45,158.4,158.55,160.54,177.15,135.25,1567779,"251,683,454.95",10874
2015-02-05,EQ,159.25,159.8,153.5,158.55,154.2,154.75,156.37,177.15,135.25,2403931,"375,908,523.70",10917
2015-02-06,EQ,154.4,154.7,151.55,154.75,153.0,152.4,152.74,177.15,135.25,1392578,"212,696,622.95",11001
2015-02-09,EQ,151.5,152.9,148.7,152.4,149.35,149.55,150.24,177.15,135.25,1470539,"220,929,694.55",12840
