date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,494.5,499.45,492.25,495.55,498.55,498.45,496.76,550.7,332.1,934528,"464,233,503.40",12769
2015-01-02,EQ,497.25,517.4,497.25,498.45,513.5,511.8,510.18,550.7,332.1,4148596,"2,116,514,668.95",60297
2015-01-05,EQ,510.1,526.0,506.7,511.8,524.1,523.8,518.6,550.7,332.1,6686952,"3,467,849,662.00",89227
2015-01-06,EQ,514.35,514.35,499.25,523.8,502.0,501.4,504.78,550.7,332.1,7894918,"3,985,170,190.70",160548
2015-01-07,EQ,495.0,500.4,489.2,501.4,493.7,493.85,494.52,550.7,332.1,9134678,"4,517,269,079.10",166649
2015-01-08,EQ,504.0,514.8,501.0,493.85,510.0,512.0,507.92,550.7,332.1,5476843,"2,781,791,592.45",118182
2015-01-09,EQ,521.25,524.95,515.5,512.0,521.0,522.3,520.89,550.7,332.1,4010545,"2,089,058,222.80",65449
2015-01-12,EQ,518.5,524.7,511.25,522.3,520.95,522.3,518.46,550.7,332.1,2533395,"1,313,463,755.80",46938
2015-01-13,EQ,520.35,525.7,515.25,522.3,518.85,519.45,520.21,550.7,332.1,4282874,"2,227,996,719.25",108600
2015-01-14,EQ,521.5,526.65,513.95,519.45,520.2,520.35,519.72,550.7,332.1,6006186,"3,121,545,709.90",150795
2015-01-15,EQ,528.3,536.0,523.75,520.35,529.05,532.95,530.82,550.7,332.1,6829305,"3,625,152,251.80",103995
2015-01-16,EQ,531.1,535.8,522.4,532.95,525.5,525.75,526.46,550.7,332.1,4205034,"2,213,792,796.35",116101
2015-01-19,EQ,526.5,539.6,523.15,525.75,536.95,538.5,533.54,550.7,332.1,4568341,"2,437,370,243.70",80811
2015-01-20,EQ,538.75,561.0,534.75,538.5,559.95,559.2,548.76,561.0,332.1,6075180,"3,333,843,231.05",113370
2015-01-21,EQ,556.85,558.45,546.0,559.2,550.45,551.5,551.8,561.0,332.1,6452158,"3,560,310,824.35",96859
