date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,628.25,635.35,626.60,622.30,634.00,632.65,631.53,649.45,250.85,10480517,"6,618,711,447.95",108035
2020-12-29,EQ,637.85,639.65,621.05,632.65,630.60,632.20,629.60,649.45,250.85,10416326,"6,558,122,778.40",117972
2020-12-30,EQ,632.95,643.95,624.05,632.20,641.05,640.45,633.27,649.45,250.85,11514428,"7,291,736,643.40",104168
2020-12-31,EQ,636.55,653.50,636.55,640.45,642.55,643.65,645.14,653.50,250.85,17713012,"11,427,411,341.05",168389
2021-01-01,EQ,645.00,649.70,640.00,643.65,641.35,643.10,644.73,653.50,250.85,8411396,"5,423,065,210.75",87340
2021-01-04,EQ,649.00,699.90,646.45,643.10,696.90,693.00,673.91,699.90,250.85,38184955,"25,733,402,949.80",329926
2021-01-05,EQ,687.00,693.85,675.10,693.00,681.00,680.55,683.00,699.90,250.85,21545254,"14,715,494,860.60",220898
2021-01-06,EQ,684.00,696.65,675.00,680.55,684.15,683.80,685.30,699.90,250.85,19610522,"13,439,123,541.60",193951
2021-01-07,EQ,693.00,731.50,691.70,683.80,719.90,722.80,719.13,731.50,250.85,38232194,"27,493,977,739.90",376960
2021-01-08,EQ,727.00,727.25,703.10,722.80,713.00,713.15,716.26,731.50,250.85,19329313,"13,844,858,404.60",188934
2021-01-11,EQ,712.00,712.00,688.20,713.15,695.00,695.65,695.60,731.50,250.85,17024509,"11,842,214,437.50",215060
2021-01-12,EQ,695.00,724.50,691.10,695.65,696.55,694.90,707.89,731.50,250.85,24525484,"17,361,337,025.50",274251
2021-01-13,EQ,701.45,714.55,693.00,694.90,709.90,709.15,705.31,731.50,250.85,19353871,"13,650,428,133.55",200667
2021-01-14,EQ,710.00,714.45,697.10,709.15,707.00,706.35,704.43,731.50,250.85,11540858,"8,129,743,383.70",131859
2021-01-15,EQ,712.00,721.50,697.65,706.35,707.00,705.90,711.02,731.50,250.85,20688437,"14,709,952,194.75",216787
2021-01-18,EQ,708.00,708.75,659.50,705.90,665.00,666.70,675.22,731.50,250.85,25045226,"16,910,913,557.45",283335
2021-01-19,EQ,672.00,683.95,647.00,666.70,682.35,681.10,669.37,731.50,250.85,31245118,"20,914,543,317.35",296952
2021-01-20,EQ,690.15,699.50,682.60,681.10,687.50,690.15,690.58,731.50,250.85,23313150,"16,099,594,807.05",229129
2021-01-21,EQ,691.00,694.75,661.60,690.15,669.80,666.70,678.20,731.50,250.85,16117867,"10,931,160,261.75",208993
2021-01-22,EQ,670.00,675.80,633.65,666.70,646.85,647.00,652.42,731.50,250.85,23715665,"15,472,468,751.50",280136
2021-01-25,EQ,651.00,661.85,631.00,647.00,651.15,651.95,650.01,731.50,250.85,16348473,"10,626,667,746.20",168973
2021-01-27,EQ,650.90,651.15,623.80,651.95,624.05,626.00,635.87,731.50,250.85,14918084,"9,486,023,640.00",196801
2021-01-28,EQ,618.00,630.60,612.60,626.00,623.90,623.70,622.48,731.50,250.85,17091752,"10,639,282,318.45",188317
2021-01-29,EQ,630.05,633.80,596.00,623.70,602.90,601.00,609.77,731.50,250.85,26826575,"16,357,917,554.45",290798
2021-02-01,EQ,604.90,640.00,597.45,601.00,637.80,636.10,617.62,731.50,250.85,21084694,"13,022,325,499.30",245588
2021-02-02,EQ,643.00,648.00,624.10,636.10,642.50,641.65,638.27,731.50,250.85,18048957,"11,520,140,268.85",203280
2021-02-03,EQ,644.90,664.30,637.25,641.65,651.45,653.15,652.43,731.50,250.85,14846381,"9,686,252,654.00",174344
2021-02-04,EQ,654.00,663.50,638.60,653.15,658.00,655.95,654.43,731.50,250.85,14764995,"9,662,636,397.35",150126
2021-02-05,EQ,656.90,690.60,651.40,655.95,688.65,685.05,671.25,731.50,250.85,29100888,"19,533,828,165.75",331556
2021-02-08,EQ,694.00,704.90,682.70,685.05,703.50,702.95,694.87,731.50,250.85,21462169,"14,913,385,592.90",245226
2021-02-09,EQ,706.50,716.45,691.60,702.95,701.55,699.20,706.55,731.50,250.85,29337028,"20,728,056,511.00",313624
2021-02-10,EQ,710.00,724.50,680.05,699.20,691.65,690.25,697.91,731.50,250.85,57397919,"40,058,574,746.75",586586
2021-02-11,EQ,687.60,704.60,682.85,690.25,693.45,694.70,693.98,731.50,250.85,16340705,"11,340,162,734.30",183590
2021-02-12,EQ,695.00,697.90,678.50,694.70,679.80,680.50,687.24,731.50,250.85,14705479,"10,106,213,808.70",173303
2021-02-15,EQ,687.10,688.00,670.00,680.50,670.50,672.15,678.28,731.50,250.85,13171672,"8,934,100,604.35",155303
2021-02-16,EQ,672.15,708.60,668.30,672.15,697.65,699.20,699.14,731.50,250.85,33661838,"23,534,500,614.35",358185
2021-02-17,EQ,697.65,703.50,687.50,699.20,695.40,696.80,695.72,731.50,250.85,15957483,"11,101,975,793.90",164188
2021-02-18,EQ,700.00,711.00,694.00,696.80,695.95,697.75,703.63,731.50,250.85,14856147,"10,453,237,241.55",162453
2021-02-19,EQ,696.00,696.00,655.95,697.75,669.40,670.70,675.46,731.50,250.85,22392386,"15,125,221,823.40",234654
2021-02-22,EQ,672.90,697.90,670.85,670.70,680.00,684.55,686.85,731.50,250.85,28149109,"19,334,301,377.25",314287
2021-02-23,EQ,689.60,736.00,682.20,684.55,734.05,729.30,712.93,736.00,250.85,38907071,"27,737,881,117.25",396721
2021-02-24,EQ,735.00,745.00,720.00,729.30,727.25,727.70,733.32,745.00,250.85,21676789,"15,896,063,821.90",257379
2021-02-25,EQ,735.20,753.00,731.95,727.70,744.50,742.90,743.89,753.00,250.85,21901596,"16,292,369,953.50",249061
