date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,"2,567.00","2,567.00","2,541.00","2,558.25","2,550.00","2,545.55","2,548.51","2,839.70","1,999.50",183415,"467,434,456.15",8002
2015-01-02,EQ,"2,551.00","2,590.95","2,550.60","2,545.55","2,588.40","2,579.45","2,568.19","2,839.70","1,999.50",462870,"1,188,740,109.50",27585
2015-01-05,EQ,"2,581.00","2,599.90","2,524.65","2,579.45","2,538.10","2,540.25","2,563.94","2,839.70","1,999.50",877121,"2,248,885,540.95",43234
2015-01-06,EQ,"2,529.10","2,529.10","2,440.00","2,540.25","2,450.05","2,446.60","2,466.90","2,839.70","1,999.50",1211892,"2,989,615,356.45",84503
2015-01-07,EQ,"2,470.00","2,479.15","2,407.45","2,446.60","2,426.90","2,417.70","2,433.96","2,839.70","1,999.50",1318166,"3,208,362,462.05",101741
2015-01-08,EQ,"2,442.40","2,449.00","2,420.55","2,417.70","2,446.00","2,443.80","2,434.81","2,839.70","1,999.50",782704,"1,905,739,344.95",47699
2015-01-09,EQ,"2,455.00","2,519.90","2,450.00","2,443.80","2,510.00","2,512.30","2,490.01","2,839.70","1,999.50",1598821,"3,981,082,206.10",81743
2015-01-12,EQ,"2,517.00","2,528.00","2,480.25","2,512.30","2,527.95","2,509.70","2,497.82","2,839.70","1,999.50",798003,"1,993,265,997.00",58810
2015-01-13,EQ,"2,520.00","2,530.40","2,480.10","2,509.70","2,498.00","2,497.90","2,509.40","2,839.70","1,999.50",734216,"1,842,440,372.80",49993
2015-01-14,EQ,"2,516.00","2,531.80","2,500.50","2,497.90","2,525.05","2,521.95","2,517.54","2,839.70","1,999.50",893548,"2,249,546,195.85",69237
2015-01-15,EQ,"2,533.00","2,581.75","2,523.25","2,521.95","2,542.05","2,539.10","2,550.97","2,839.70","1,999.50",2504960,"6,390,076,185.10",96363
