date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,381.3,382.55,377.8,381.65,379.9,379.8,380.2,425.0,202.45,269753,"102,560,672.65",4287
2015-01-02,EQ,379.8,388.5,379.8,379.8,383.55,382.8,385.21,425.0,202.45,623981,"240,364,318.15",9150
2015-01-05,EQ,384.0,389.6,382.8,382.8,385.4,385.9,386.89,425.0,202.45,551576,"213,398,072.20",9970
2015-01-06,EQ,382.2,383.4,369.2,385.9,372.9,372.7,377.48,425.0,202.45,519159,"195,970,891.80",9117
2015-01-07,EQ,372.9,377.4,370.0,372.7,376.2,374.6,373.83,425.0,202.45,397373,"148,551,697.90",7595
2015-01-08,EQ,380.0,380.0,368.75,374.6,372.8,372.9,372.94,425.0,202.45,672501,"250,802,509.20",9985
2015-01-09,EQ,376.0,376.9,369.4,372.9,373.0,372.9,371.95,425.0,202.45,985975,"366,734,829.90",11787
2015-01-12,EQ,373.25,378.5,370.6,372.9,378.05,376.8,374.72,425.0,202.45,344364,"129,039,150.20",7513
2015-01-13,EQ,375.85,384.0,370.8,376.8,372.25,372.2,378.25,425.0,202.45,715002,"270,447,793.20",11618
2015-01-14,EQ,373.05,376.95,369.0,372.2,372.05,371.6,371.92,425.0,202.45,404068,"150,281,599.85",7011
2015-01-15,EQ,373.7,379.0,369.7,371.6,376.85,375.9,375.41,425.0,202.45,648144,"243,320,574.95",7852
2015-01-16,EQ,380.0,394.0,376.95,375.9,387.7,387.2,387.12,425.0,202.45,1387070,"536,958,533.95",19614
2015-01-19,EQ,389.2,395.5,389.2,387.2,394.0,394.5,393.17,425.0,202.45,913385,"359,111,149.05",13283
2015-01-20,EQ,397.0,398.9,390.45,394.5,394.15,393.6,394.52,425.0,202.45,603286,"238,008,132.50",8409
2015-01-21,EQ,394.6,408.55,390.45,393.6,407.0,406.95,402.19,425.0,202.45,1885665,"758,395,284.35",27381
2015-01-22,EQ,407.0,409.2,393.1,406.95,401.9,399.75,401.52,425.0,202.45,785747,"315,496,822.30",10936
2015-01-23,EQ,403.15,405.45,394.0,399.75,399.0,398.85,398.71,425.0,202.45,709214,"282,767,852.55",9405
2015-01-27,EQ,399.0,407.0,393.25,398.85,399.6,400.65,402.47,425.0,202.45,1306898,"525,993,054.00",20601
2015-01-28,EQ,409.4,437.8,404.0,400.65,429.6,433.25,422.58,437.8,202.45,6282139,"2,654,710,692.90",78177
2015-01-29,EQ,427.8,444.0,425.65,433.25,441.5,441.8,437.25,444.0,202.45,3488597,"1,525,376,231.65",52775
2015-01-30,EQ,441.95,442.85,428.75,441.8,430.0,430.6,433.09,444.0,202.45,970722,"420,407,795.90",18519
2015-02-02,EQ,430.0,437.8,427.35,430.6,433.35,433.2,432.0,444.0,217.1,1106879,"478,169,494.00",24340
2015-02-03,EQ,435.9,448.4,430.55,433.2,432.35,432.3,440.06,448.4,217.1,2245302,"988,075,302.75",26811
2015-02-04,EQ,434.5,443.95,427.0,432.3,429.7,430.05,436.07,448.4,217.1,1392064,"607,037,109.15",18062
2015-02-05,EQ,431.9,431.9,413.35,430.05,419.0,417.8,422.54,448.4,217.1,1040089,"439,474,985.70",16587
2015-02-06,EQ,425.9,427.0,409.1,417.8,418.5,416.7,418.02,448.4,217.1,1116247,"466,615,828.60",21967
2015-02-09,EQ,409.1,421.6,409.1,416.7,412.05,412.25,415.27,448.4,223.6,813004,"337,619,131.45",15348
2015-02-10,EQ,409.85,430.6,409.8,412.25,425.5,425.2,420.65,448.4,223.6,1092699,"459,644,337.90",17567
2015-02-11,EQ,428.3,433.75,423.1,425.2,425.7,426.25,427.35,448.4,223.6,1113419,"475,816,317.55",16456
2015-02-12,EQ,429.0,433.9,423.5,426.25,425.25,425.75,427.79,448.4,223.6,1131467,"484,027,209.30",20212
2015-02-13,EQ,427.5,432.0,423.65,425.75,427.45,426.7,428.33,448.4,223.6,935029,"400,496,963.90",17757
2015-02-16,EQ,432.4,432.4,414.95,426.7,417.0,417.5,419.72,448.4,225.15,842771,"353,727,002.95",19024
2015-02-18,EQ,419.15,432.5,416.3,417.5,429.75,429.75,427.11,448.4,225.15,1093702,"467,133,294.55",19216
2015-02-19,EQ,434.85,442.7,430.8,429.75,431.7,432.75,435.7,448.4,225.15,1517003,"660,953,046.10",23762
2015-02-20,EQ,434.0,439.0,422.5,432.75,432.55,435.35,430.13,448.4,225.15,1033950,"444,734,874.00",17877
2015-02-23,EQ,435.3,435.35,418.0,435.35,419.75,419.75,425.45,448.4,231.5,1004925,"427,549,561.55",19494
2015-02-24,EQ,421.25,426.45,418.0,419.75,423.05,422.45,421.67,448.4,231.5,748836,"315,763,718.20",21227
2015-02-25,EQ,424.4,428.0,418.5,422.45,421.15,422.25,422.81,448.4,231.5,788068,"333,204,929.50",16022
