date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,346.2,346.2,338.45,346.55,341.5,341.6,341.35,388.7,176.6,525154,"179,262,313.75",8520
2015-01-02,EQ,341.75,355.25,341.75,341.6,350.0,352.25,349.43,388.7,176.6,2323652,"811,963,060.85",44577
2015-01-05,EQ,350.0,354.0,345.1,352.25,346.9,345.7,348.51,388.7,176.6,970159,"338,108,150.75",22583
2015-01-06,EQ,342.95,342.95,326.1,345.7,327.9,328.95,337.04,388.7,176.6,1380745,"465,363,035.55",28338
2015-01-07,EQ,327.9,334.6,315.3,328.95,323.75,323.05,325.97,388.7,176.6,2480122,"808,457,451.50",32330
2015-01-08,EQ,326.05,334.65,323.9,323.05,333.1,332.8,330.69,388.7,176.6,1494112,"494,082,900.35",22809
2015-01-09,EQ,334.9,338.45,327.3,332.8,330.9,332.35,331.55,388.7,176.6,2060313,"683,097,727.35",27990
2015-01-12,EQ,332.8,334.95,328.05,332.35,330.8,330.6,331.59,388.7,176.6,900701,"298,662,069.75",15190
2015-01-13,EQ,332.0,357.4,332.0,330.6,345.0,344.75,346.57,388.7,176.6,4629859,"1,604,572,972.60",70554
2015-01-14,EQ,345.8,359.9,343.0,344.75,357.5,358.2,353.81,388.7,176.6,2878372,"1,018,386,996.90",56138
2015-01-15,EQ,363.0,365.0,353.6,358.2,361.0,362.5,360.28,388.7,176.6,1983289,"714,548,610.85",46905
2015-01-16,EQ,361.5,373.95,358.95,362.5,367.6,370.15,367.78,388.7,176.6,1853314,"681,612,571.85",28862
2015-01-19,EQ,370.7,374.5,367.25,370.15,371.2,371.05,370.95,388.7,176.6,1490704,"552,983,302.80",29528
2015-01-20,EQ,372.0,375.2,369.1,371.05,370.3,371.35,372.0,388.7,176.6,1252342,"465,873,074.30",49962
2015-01-21,EQ,372.8,372.8,357.1,371.35,362.85,364.3,362.32,388.7,176.6,1639284,"593,938,231.80",49402
2015-01-22,EQ,363.05,367.6,357.0,364.3,359.05,360.35,360.86,388.7,176.6,1148951,"414,606,214.15",26251
2015-01-23,EQ,363.75,365.55,356.3,360.35,357.3,358.05,359.99,388.7,176.6,1025195,"369,056,463.00",34082
2015-01-27,EQ,359.0,363.0,349.0,358.05,351.75,350.65,353.76,388.7,176.6,1327359,"469,570,253.10",38104
