date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2015-01-01,EQ,552.55,554.4,550.5,555.2,552.25,552.4,552.7,621.9,474.7,202978,"112,185,873.50",4196
2015-01-02,EQ,553.4,560.25,553.0,552.4,558.9,557.3,557.56,621.9,474.7,787304,"438,968,022.15",18950
2015-01-05,EQ,557.05,565.0,555.5,557.3,558.55,558.3,559.97,621.9,474.7,719738,"403,030,862.50",20731
2015-01-06,EQ,555.0,556.4,542.1,558.3,545.5,545.25,547.07,621.9,474.7,2324381,"1,271,592,434.10",45205
2015-01-07,EQ,543.2,545.0,538.35,545.25,541.5,541.1,541.38,621.9,474.7,1557297,"843,090,242.70",30061
2015-01-08,EQ,556.15,558.9,543.2,541.1,545.0,545.0,546.12,621.9,474.7,1461025,"797,893,825.85",29393
2015-01-09,EQ,549.2,560.0,543.25,545.0,552.5,553.5,552.34,621.9,474.7,2547585,"1,407,120,685.00",43372
2015-01-12,EQ,550.0,559.0,547.7,553.5,556.0,556.05,552.2,621.9,474.7,829086,"457,819,168.25",44506
2015-01-13,EQ,557.1,566.7,555.0,556.05,565.7,563.5,560.7,621.9,474.7,1183627,"663,660,916.80",37389
2015-01-14,EQ,566.0,569.5,550.0,563.5,550.15,551.95,557.74,621.9,474.7,1823224,"1,016,881,912.45",39421
2015-01-15,EQ,560.0,564.0,551.25,551.95,561.9,559.5,560.35,621.9,474.7,1311267,"734,764,331.05",25715
2015-01-16,EQ,560.8,563.4,552.9,559.5,555.9,555.05,557.41,621.9,474.7,1557128,"867,959,911.65",36585
2015-01-19,EQ,591.1,598.5,582.35,555.05,584.45,584.2,589.31,621.9,474.7,6062665,"3,572,785,176.20",94050
2015-01-20,EQ,586.1,594.0,582.9,584.2,588.8,590.4,587.85,621.9,474.7,2510737,"1,475,946,435.85",47453
2015-01-21,EQ,589.6,595.0,576.65,590.4,592.0,588.7,587.35,621.9,474.7,3319015,"1,949,436,934.10",74636
2015-01-22,EQ,590.0,597.7,584.7,588.7,592.95,594.55,592.24,621.9,474.7,3648498,"2,160,797,847.85",42487
2015-01-23,EQ,599.2,604.0,590.25,594.55,599.75,601.8,598.46,621.9,474.7,3614595,"2,163,182,479.70",74035
2015-01-27,EQ,602.4,605.75,595.0,601.8,595.5,598.55,600.74,621.9,474.7,2955854,"1,775,696,986.40",57094
2015-01-28,EQ,596.0,612.0,595.75,598.55,611.55,607.25,602.19,621.9,474.7,3144370,"1,893,499,112.80",38112
2015-01-29,EQ,608.0,614.5,599.8,607.25,603.0,602.7,605.44,621.9,474.7,2529061,"1,531,187,098.75",49123
2015-01-30,EQ,606.9,610.05,597.15,602.7,606.3,606.55,603.74,621.9,474.7,1761224,"1,063,328,634.15",50109
2015-02-02,EQ,612.0,627.7,609.0,606.55,626.7,625.1,619.77,627.7,474.7,2990374,"1,853,352,325.55",64008
2015-02-03,EQ,624.0,628.05,617.75,625.1,620.3,621.55,622.08,628.05,474.7,1587289,"987,419,957.55",45717
2015-02-04,EQ,623.2,629.9,616.25,621.55,619.1,619.2,623.45,629.9,474.7,1673112,"1,043,103,699.10",26136
2015-02-05,EQ,620.95,643.1,620.9,619.2,639.0,638.25,635.48,643.1,474.7,2299427,"1,461,231,892.15",50772
2015-02-06,EQ,638.0,654.7,636.0,638.25,643.95,643.25,646.49,654.7,474.7,2076434,"1,342,398,121.40",49620
2015-02-09,EQ,639.9,650.0,635.6,643.25,648.05,647.8,643.21,654.7,474.7,1273983,"819,444,571.35",32607
2015-02-10,EQ,641.0,652.0,637.35,647.8,643.65,642.6,642.15,654.7,474.7,2088859,"1,341,362,480.20",37412
2015-02-11,EQ,646.0,649.0,633.15,642.6,640.9,638.4,637.41,654.7,474.7,2656220,"1,693,104,521.80",45373
2015-02-12,EQ,643.5,653.0,641.25,638.4,646.7,646.8,646.62,654.7,474.7,1807455,"1,168,740,023.10",39704
2015-02-13,EQ,648.0,663.9,646.8,646.8,660.8,660.7,657.85,663.9,474.7,1732344,"1,139,619,226.85",33086
2015-02-16,EQ,660.9,667.25,660.0,660.7,663.85,661.5,663.52,667.25,474.7,959525,"636,661,329.20",24679
2015-02-18,EQ,662.0,671.0,655.5,661.5,668.7,669.0,662.23,671.0,474.7,1133545,"750,665,696.90",28222
2015-02-19,EQ,669.0,669.0,655.0,669.0,659.55,659.5,660.68,671.0,474.7,1384133,"914,468,802.70",31282
2015-02-20,EQ,659.5,661.0,647.5,659.5,650.05,650.0,651.08,671.0,474.7,909333,"592,047,738.80",19827
2015-02-23,EQ,650.0,658.0,643.55,650.0,649.05,649.75,651.67,671.0,474.7,1066850,"695,231,778.95",23752
2015-02-24,EQ,652.5,659.8,649.6,649.75,652.95,653.0,653.33,671.0,474.7,1581301,"1,033,106,800.90",29443
2015-02-25,EQ,653.55,665.6,652.1,653.0,661.6,663.8,659.84,671.0,474.7,1842951,"1,216,055,151.40",37135
