date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
24-Dec-2021,EQ,141.55,141.6,137.2,140.5,138.15,138.5,138.53,172.75,86.6,5657495,"783,724,307.20",35888
23-Dec-2021,EQ,138.5,141.0,137.15,136.8,140.5,140.5,139.53,172.75,86.6,6324169,"882,393,564.95",46292
22-Dec-2021,EQ,137.4,137.95,135.3,136.05,137.0,136.8,136.36,172.75,86.6,4968143,"677,452,809.75",39893
21-Dec-2021,EQ,135.05,136.85,133.8,134.0,135.3,136.05,135.38,172.75,86.6,8615570,"1,166,416,140.30",69101
20-Dec-2021,EQ,137.5,137.65,131.65,139.4,134.4,134.0,133.99,172.75,86.6,17238729,"2,309,854,971.30",101395
17-Dec-2021,EQ,144.2,145.1,138.5,145.35,139.7,139.4,140.94,172.75,86.6,17667617,"2,490,040,329.50",81243
16-Dec-2021,EQ,145.3,146.25,144.55,143.95,145.5,145.35,145.33,172.75,86.6,12156709,"1,766,743,848.40",56920
15-Dec-2021,EQ,146.3,147.7,143.6,146.9,144.15,143.95,145.29,172.75,86.6,10361033,"1,505,340,387.15",76576
14-Dec-2021,EQ,144.25,147.45,143.95,145.95,146.35,146.9,145.82,172.75,86.6,12331999,"1,798,243,953.85",67673
13-Dec-2021,EQ,148.95,150.5,145.35,147.55,146.2,145.95,147.75,172.75,86.6,13595587,"2,008,703,142.10",74964
10-Dec-2021,EQ,146.25,148.0,145.55,147.35,147.7,147.55,146.96,172.75,86.6,10324085,"1,517,239,121.25",53043
09-Dec-2021,EQ,149.5,149.9,146.35,148.4,147.5,147.35,147.83,172.75,86.6,7989291,"1,181,046,316.80",48750
08-Dec-2021,EQ,147.0,150.35,146.8,145.9,148.5,148.4,148.49,172.75,86.6,12266948,"1,821,534,393.55",74964
07-Dec-2021,EQ,145.0,146.25,144.5,143.35,146.15,145.9,145.73,172.75,86.6,10253663,"1,494,281,699.30",73230
06-Dec-2021,EQ,145.8,145.85,142.75,145.9,143.6,143.35,144.17,172.75,86.6,7749262,"1,117,222,600.75",74001
03-Dec-2021,EQ,144.0,146.85,143.15,144.0,145.8,145.9,145.75,172.75,77.05,10690334,"1,558,119,330.05",64188
02-Dec-2021,EQ,140.5,144.65,140.4,142.25,144.0,144.0,142.77,172.75,77.05,8561767,"1,222,380,607.75",71874
01-Dec-2021,EQ,142.4,143.65,139.65,142.1,142.3,142.25,141.22,172.75,77.05,14278744,"2,016,472,665.40",87668
30-Nov-2021,EQ,143.35,147.75,141.1,144.1,142.4,142.1,143.34,172.75,77.05,22980651,"3,294,048,881.45",107133
29-Nov-2021,EQ,145.0,146.05,141.9,147.1,144.4,144.1,144.02,172.75,77.05,18736522,"2,698,426,387.90",100327
26-Nov-2021,EQ,152.25,152.25,146.25,155.1,147.75,147.1,148.83,172.75,71.8,23135841,"3,443,337,067.35",161796
25-Nov-2021,EQ,154.0,156.0,152.55,153.45,155.15,155.1,153.99,172.75,71.8,11554142,"1,779,271,231.15",75739
24-Nov-2021,EQ,149.0,155.85,149.0,146.7,152.95,153.45,153.44,172.75,71.8,36294271,"5,568,985,596.30",201127
23-Nov-2021,EQ,145.8,147.7,143.4,146.55,146.85,146.7,145.83,172.75,71.8,21216047,"3,094,021,167.05",113879
22-Nov-2021,EQ,151.25,153.7,146.0,154.3,147.9,146.55,149.02,172.75,71.8,21558590,"3,212,744,173.10",127921
18-Nov-2021,EQ,157.0,157.0,153.7,157.4,154.45,154.3,154.78,172.75,70.7,18351511,"2,840,442,524.30",121942
17-Nov-2021,EQ,157.0,159.25,156.6,157.15,157.6,157.4,157.96,172.75,70.7,11420415,"1,803,916,179.40",87941
16-Nov-2021,EQ,159.4,159.7,156.8,157.8,157.6,157.15,158.09,172.75,70.7,12956283,"2,048,312,194.35",79937
15-Nov-2021,EQ,156.45,162.25,156.0,154.65,158.45,157.8,158.77,172.75,70.7,45750584,"7,263,673,044.75",215045
12-Nov-2021,EQ,154.0,155.6,153.3,153.5,154.8,154.65,154.61,172.75,67.8,10552485,"1,631,557,585.35",67860
11-Nov-2021,EQ,156.6,156.85,153.05,157.7,153.65,153.5,153.86,172.75,67.8,14158749,"2,178,442,966.35",82425
10-Nov-2021,EQ,156.7,158.7,156.45,156.65,157.85,157.7,157.58,172.75,67.8,13900618,"2,190,489,138.85",77496
09-Nov-2021,EQ,156.5,158.15,155.0,154.9,156.55,156.65,156.43,172.75,67.8,13601954,"2,127,711,156.55",73822
08-Nov-2021,EQ,152.95,155.55,151.7,152.05,155.2,154.9,153.98,172.75,67.8,16568525,"2,551,217,515.45",138774
04-Nov-2021,EQ,152.0,152.85,151.25,152.0,152.0,152.05,152.26,172.75,64.2,1114216,"169,648,937.50",18134
